mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version
Facebook:post:872c9cea5ee255af45ad8f2ecdf77d61,Facebook:post:872c9cea5ee255af45ad8f2ecdf77d61,872c9cea5ee255af45ad8f2ecdf77d61,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/108838784608732/UzpfSVNDOjg4MjY4NTgyNzU5NzAzOA==/?view_single=false&__cft__[0]=AZYmVJksPyEaka3oBLsdhhE7K-3HifBcUZyUUz0484QTcD6pOnWWjV8Rww0RfHrJNbxwCqk3rONS7MmeVJQMVyzQTmBdm5fgQ9h-O5xFnd5Qixf7wa8z8j9clY_LbxGRXTAcNxS0nC15QrHuACu4jJIwfVgUoZpOhrSDcCDzaP5upO50ZsTVXerDeknvqONWvRJCrRtVoqWKhfFFzRSxigPv&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"AI voice scams are becoming more convincing, and it only takes a few seconds of audio for scammers to try to imitate someone you know.…",,en,0,0,11,-1,,,"McDowell County Sheriff's Office, North Carolina",,0,false,false,true,25,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,Facebook:post:pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,Facebook,post,fb_message_data.txt,https://www.facebook.com/john.stansbury.923/posts/pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml?__cft__[0]=AZaK0Bpnx3xGJqXasL8MibDTfm1vECrwdx_9JnaDg2vUrvNIh84zyC5GF3ARwCqzex7z4X5xWtiUBQbCEnxsgAUqZotZ-g37-vCBYismbjot5fLChYoZzBtb7GchnPFTIqMGA_rLuoPGMZs2Z0vGx3cbVNuK8FFk7Y7zqygtTBiVddxWIJ9MZVsaW0MKi2nV1JUEgbytifkWX_n2Q4JsDNGRDSfbfbkrjeqDXH6hYIpp_g&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,watch and be aware_AI Voice Scam — We Spoke to a Victim Who Got the Call,2026-06-23T16:38:47+00:00,en,0,0,0,-1,,john.stansbury.923,John Stansbury,,0,false,true,false,15,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0k92etE6d4ygP9YwdB7jFGzscqQ5iUAoc6PVwPDqWpFFQTFHUWGS9CyGqSk2h7D9zl,Facebook:post:pfbid0k92etE6d4ygP9YwdB7jFGzscqQ5iUAoc6PVwPDqWpFFQTFHUWGS9CyGqSk2h7D9zl,pfbid0k92etE6d4ygP9YwdB7jFGzscqQ5iUAoc6PVwPDqWpFFQTFHUWGS9CyGqSk2h7D9zl,Facebook,post,fb_message_data.txt,https://www.facebook.com/MrMikeVendetti/posts/pfbid0k92etE6d4ygP9YwdB7jFGzscqQ5iUAoc6PVwPDqWpFFQTFHUWGS9CyGqSk2h7D9zl?__cft__[0]=AZYk2YIirpyNZwy_0cH-Df_WeLAJzdA0dyMJmQjf9ci0gvXuN9Q3yowI3KtlFdx0Trdc_t9WfgIh7Q_aaRVw6f3YxyYTYCgliDemuHiDD-xiithUNWDyCZpe5X-x7_pIg6vscbnzQsoU4ola1Lqi_B0ljRTk7_SDrTHX0zXaiPbaUNd094OygmpXQYbnrw4gQZQ&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI robocall || AI scam call || voice cloning scam,"can these ai scams carry on a conversation_Yes, AI scams can now absolutely carry on a real-time, interactive conversation. The days of rigid, pre-recorded robocalls or obvious soundboard tricks are largely over. _Cybercriminals are now combining voice cloning tools (like the TTS engines we discussed) with large language models (like ChatGPT) to create automated voice bots that can listen to your responses, think of an answer, and r…",2026-06-24T02:38:46+00:00,en,0,0,0,-1,,MrMikeVendetti,Michael Vendetti,,0,false,true,true,70,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:79b1e4629acc8bd67c64fc138813f443,Facebook:post:79b1e4629acc8bd67c64fc138813f443,79b1e4629acc8bd67c64fc138813f443,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/114619311490314/UzpfSVNDOjk5MzMxNjc3MzYwMjA4Nw==/?view_single=false&__cft__[0]=AZafvE_sNi90RAzvrjzoMOoj5vHgUWc51I-7VNgoHO1SsVdpn8uFb5OUNUboL-da3wBgqzdslmGzDYn4JOgXSbBEUV77u_cxN5MLTduwG9gTAW_tR7YCEpaEbtytrH1yURDvydScYXMT4wWH5FWNvBmSUGGdy9WIWcJMqTJfuLYA8oNjUWv10Jn5qWrfjP1akT1_YZxF5qosA0SQsmsUHLyN&__tn__=%3C%3C%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,IVF tax credit,"The IVF Access and Affordability Act would provide up to a $20,000 tax credit for individuals or $40,000 for couples to help offset the cost of fertility treatments. It…",,en,0,0,31,-1,,,Rep. Mike Lawler,,0,false,true,true,31,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02uCf2rSjjsxEqCANkdPVrsLcxWxUYougEoiSLvhpBfuUSCCSTrrSu3rCcXRTbTFRCl,Facebook:post:pfbid02uCf2rSjjsxEqCANkdPVrsLcxWxUYougEoiSLvhpBfuUSCCSTrrSu3rCcXRTbTFRCl,pfbid02uCf2rSjjsxEqCANkdPVrsLcxWxUYougEoiSLvhpBfuUSCCSTrrSu3rCcXRTbTFRCl,Facebook,post,fb_message_data.txt,https://www.facebook.com/peoplemag/posts/pfbid02uCf2rSjjsxEqCANkdPVrsLcxWxUYougEoiSLvhpBfuUSCCSTrrSu3rCcXRTbTFRCl?__cft__[0]=AZaeujkrPd0h8ItdKsifZeCDGrSgXyjNz0SxwkmhGLP6AjG1ycKdFvdKI8EQtbb85OEqtfAVmdGyxsv3Ai8iNeupmaf8aZwF8yEN_M9sDsX0BLTmNjFvPktW9emI_22RQd4vIj65fwxtIEWkEvTxF0cyK8FvN0ob9-Jcm8Aj7v3N_wevgXdkCLOlae7MGzlNhV4&__tn__=%2CO%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,in vitro fertilization,A Florida couple's IVF embryo mix-up made headlines after giving birth to a daughter last year who is not genetically related to them — and now they are sharing an upda…,2026-06-24T01:24:31+00:00,en,0,-1,98,-1,,peoplemag,People,,0,false,false,true,32,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02RuSLLNLyJfVRDtjcBKwjiadidUgADZ7nqS4AMbkVhw7JEFgRfuQoSstaEDkVjCG3l,Facebook:post:pfbid02RuSLLNLyJfVRDtjcBKwjiadidUgADZ7nqS4AMbkVhw7JEFgRfuQoSstaEDkVjCG3l,pfbid02RuSLLNLyJfVRDtjcBKwjiadidUgADZ7nqS4AMbkVhw7JEFgRfuQoSstaEDkVjCG3l,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid02RuSLLNLyJfVRDtjcBKwjiadidUgADZ7nqS4AMbkVhw7JEFgRfuQoSstaEDkVjCG3l&id=61586544500639,,,信用卡滞纳金是否应被限制？,credit card late fees,The CFPB's rule capping credit card late fees at $8 — down from an average of $32 — is now in effect after surviving a legal challenge this week.…,2026-05-30T19:01:00+00:00,en,0,0,0,-1,61586544500639,,CHKD OUT,,0,true,true,false,28,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02QvRtWaNchSPBbUCKeeFJXShCudcHiqs2L1kRaGmXSqRihnsawE652oY79huy1UuAl,Facebook:post:pfbid02QvRtWaNchSPBbUCKeeFJXShCudcHiqs2L1kRaGmXSqRihnsawE652oY79huy1UuAl,pfbid02QvRtWaNchSPBbUCKeeFJXShCudcHiqs2L1kRaGmXSqRihnsawE652oY79huy1UuAl,Facebook,post,fb_message_data.txt,https://www.facebook.com/jeannette.pina.1/posts/pfbid02QvRtWaNchSPBbUCKeeFJXShCudcHiqs2L1kRaGmXSqRihnsawE652oY79huy1UuAl?__cft__[0]=AZZfqo9oRX3N-L2zqke-mgwxnzywPuVlMKb-QmzfKw-OUy4pdA85uwVueE4BZnIAMwvgIP1eJTszTOjKdp2E2vgExoDQ2mJD-O-iKoOjSYuQWmke6Ma4ztZuAWxpL7-YRhwDJ_N0NYUorWpWcr1rJVxwY9ZU4Xup06ppiCiqGoSrVDVbpE8py-owBch5eMES4lYpF9CjH5LzRvKwlZQjaor7LOwQ0AMmffQOoH3XFpGxmQ&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,medical debt,"Come on! This is HUGE: Governor Gretchen Whitmer has announced a second round of medical debt relief, bringing Michigan's debt relief total to over $200 million across … _HUGE: Governor Gretchen Whitmer has announced a second round of medical debt relief, bringing Michigan's debt relief total to over $200 million across more than 280,000…",2026-06-24T02:53:45+00:00,en,0,-1,-1,-1,,jeannette.pina.1,Jeannette Piña,,0,true,true,false,56,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl,Facebook:post:pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl,pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl,Facebook,post,fb_message_data.txt,https://www.facebook.com/NedLamontCT/posts/pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl?__cft__[0]=AZbFgOBL-woXm6Kpnd36Lt6JJ_9epgJvc8u6AdowA1ElUYudrcBv-vXEMmnY4NpqM5SuKLfZbHQ20yetHwxV_3do2m4nQNZr26_uDPCZCuRD-SNN74oJf-l91mRBVUDWanbX8biKKB-YB61OpGxzAH0lNTPcWqcLQqzj43m30ugopS8GSK4eU0wcy7IxdT-vT3s&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,medical debt,"No one should have to choose between their health and their financial future. Medical debt can follow families for years, which is why my administration has cancelled $…",2026-06-23T19:15:56+00:00,en,0,0,200,-1,,NedLamontCT,Ned Lamont,,0,true,true,false,27,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0qVqkM25DD1NiRZXZ5nZWNwnQ7Lmbkg3VG1DC44wSmG6fJz9HbWv2vifTtbND1ufSl,Facebook:post:pfbid0qVqkM25DD1NiRZXZ5nZWNwnQ7Lmbkg3VG1DC44wSmG6fJz9HbWv2vifTtbND1ufSl,pfbid0qVqkM25DD1NiRZXZ5nZWNwnQ7Lmbkg3VG1DC44wSmG6fJz9HbWv2vifTtbND1ufSl,Facebook,post,fb_message_data.txt,https://www.facebook.com/repscholtenMI03/posts/pfbid0qVqkM25DD1NiRZXZ5nZWNwnQ7Lmbkg3VG1DC44wSmG6fJz9HbWv2vifTtbND1ufSl?__cft__[0]=AZZshTbhS9xaCu6JnS6WnLf2lFLVchu5lASZHais5NHksQ-6JO5NhE5c8Yh2Yg7LREIsh5D5PuBUZfYH-kKRLcoE1xerhhMnpRFKRUVi_jR3eAi2E2M7tqpw9kc_WhwrxHeBQHYuRt8tlKMT2ZjN8yvcZmHJniQJ57rUnG-MlsajddA6qlv7pfLtyhZ7Wh0D7OE&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,medical debt,Good news for thousands of Michiganders: $74 million in medical debt is being forgiven across our state._Michigan is showing what's possible when we put families first. I'll keep fighting in Congress to lower health care costs and make sure getting sick never means going broke.,2026-06-24T01:15:56+00:00,en,0,0,0,-1,,repscholtenMI03,Rep. Hillary Scholten,,0,true,true,false,48,false,false,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0225VYKovqibATggB1Jh2JL4iuctyq1CCNz7FC9htbN9tkCDquBN1f81WTuB4BXz23l,Facebook:post:pfbid0225VYKovqibATggB1Jh2JL4iuctyq1CCNz7FC9htbN9tkCDquBN1f81WTuB4BXz23l,pfbid0225VYKovqibATggB1Jh2JL4iuctyq1CCNz7FC9htbN9tkCDquBN1f81WTuB4BXz23l,Facebook,post,fb_message_data.txt,https://www.facebook.com/NutriPerspective/posts/pfbid0225VYKovqibATggB1Jh2JL4iuctyq1CCNz7FC9htbN9tkCDquBN1f81WTuB4BXz23l?__cft__[0]=AZYHh4blZ1Is21TZaUNNUBMEr2cANJ2QHYO8tFWzGK7-4PmZSQIIhw-jyl8oi0nVjRlXDnkOXgSAk4M7tdQjAIeatD7iwe7WMAH77xj62h_Z3M6iHTLd8hR1pZ6zBjR3KxymZLY0rKdgSLiVpjklWkmLOsli30aOx7teX5wgmF6nOyLIGBMGvqkfHcEqnyDw5MxqIpL3xc0TCiosGHhpe4XY&__tn__=%2CO%2CP-R,,,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,Most people think food insecurity looks like having no food at all.…,2026-06-07T23:26:00+00:00,en,0,0,0,-1,,NutriPerspective,The NutriPerspective,,0,false,true,false,12,false,true,1,false,weakly_relevant,0.65,"Multiple keyword tokens match, but the post does not clearly discuss the topic.",rule,rule_v1.3_multi_platform_2026-07-02
