mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3072381236591999024,Instagram:post:3072381236591999024,3072381236591999024,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/CqjSnTdpDgw/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Scammers are using voice-cloning technology to swindle people out of their hard-earned money. The US Federal Trade Commission has issued a warning on this emerging voice cloning scam, reminding people that the voice of a friend or relative asking for money may actually be an AI simulacrum wielded by a scammer. Geriatrics in Canada are a particularly vulnerable demographic, with at least eight senior citizens targeted by these voice cloning scams, making away with a total $200,000 CAD in just a three-day window. Protect yourself by reaching out to your supposed relative by using a phone number you know belongs to them and watch out for hard-to-trace means of sending money. #datafunction #VoiceCloningScam #FTC #ProtectYourself #Scammers #AI #EmergingThreat",2023-04-02T23:00:06+00:00,en,3,0,-1,-1,54657788325,datafunction.ca,Data Function Inc.,,-1,true,true,true,124,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly discusses AI voice cloning scams and related policy issues.,true,oppose,voice cloning scams,Post warns against scams and advises protection measures.,high,Raises awareness of a controversial tech issue with clear action steps.,true,true,"Strongly relevant, has stance, and high discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-bd4cd8c14df148338122fb9ba3a8d493,616,136,752,,2026-07-24T07:30:08,66ed6c2f15c13cdcd947239c6f0642ddfa3226a4
Instagram:post:3150783557613167294,Instagram:post:3150783557613167294,3150783557613167294,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/Cu51PO7rKK-/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน •••••••••••••••••••••••••••••••••••••••••••••• 💌 ด้วยความห่วงใย จากตำรวจไซเบอร์ ☎️ ปรึกษาสอบถามโทร 1441 หรือ 081-866-3000 🌐 แจ้งความออนไลน์ www.thaipoliceonline.com 📱 Line:@police1441 แชทบอทกับหมวดขวัญดาว ตลอด 24 ชั่วโมง",2023-07-20T03:11:31+00:00,th,1,0,-1,-1,8043428192,prathai_police,สภ.ประทาย นครราชสีมา,,-1,true,true,true,165,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"Post discusses AI voice scam methods and prevention, directly related to topic.",false,neutral_or_factual,none,Post provides factual information and warnings without expressing a position.,medium,"Includes prevention tips and contact info, may invite questions or sharing experiences.",false,false,Factual warning with no clear stance on policy debate.,0.95,false,../../../models/Qwen3-32B,chatcmpl-6a0fd1e507fb47ddae973993b9cca089,978,141,1119,,2026-07-24T07:30:08,8141ae89b7b6f2e5005d0242b813f307e1ccba4c
Instagram:post:3153310031291230330,Instagram:post:3153310031291230330,3153310031291230330,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/CvCzsQ5yih6/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน •••••••••••••••••••••••••••••••••••••••••••••• 💌 ด้วยความห่วงใย จากตำรวจไซเบอร์ ☎️ ปรึกษาสอบถามโทร 1441 หรือ 081-866-3000 🌐 แจ้งความออนไลน์ www.thaipoliceonline.com 📱 Line:@police1441 แชทบอทกับหมวดขวัญดาว ตลอด 24 ชั่วโมง",2023-07-23T14:51:10+00:00,th,1,0,-1,-1,21660617159,plaengyao_rtp,RTP CYBER VILLAGE,,-1,true,true,true,165,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice scams and police warnings about the issue.,false,neutral_or_factual,none,Post is a factual warning from police about AI voice scams.,medium,"Provides information on scam methods and prevention, which may invite discussion.",false,false,Post is relevant but lacks a clear stance.,0.85,false,../../../models/Qwen3-32B,chatcmpl-0088bd987e54434a85f352b82d9a62e9,978,136,1114,,2026-07-24T07:30:08,897641efe55d54966ccb8af97e566ff5217d99d0
Instagram:post:3214745065158009310,Instagram:post:3214745065158009310,3214745065158009310,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/CydEZq0LuHe/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน •••••••••••••••••••••••••••••••••••••••••••••• 💌 ด้วยความห่วงใย จากตำรวจไซเบอร์ ☎️ ปรึกษาสอบถามโทร 1441 หรือ 081-866-3000 🌐 แจ้งความออนไลน์ www.thaipoliceonline.com 📱 Line:@police1441 แชทบอทกับหมวดขวัญดาว ตลอด 24 ชั่วโมง",2023-10-16T09:11:37+00:00,th,1,0,-1,-1,59785851666,banphotphisai_policestation,สถานีตำรวจภูธรบรรพตพิสัย นครสวรรค์,,-1,true,true,true,165,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"Post discusses AI voice scam methods and prevention, directly related to topic.",false,neutral_or_factual,none,Post provides factual information and warnings without expressing a position.,medium,"Includes prevention tips and contact info, may invite questions or sharing experiences.",false,false,Factual warning with no clear stance on policy debate.,0.95,false,../../../models/Qwen3-32B,chatcmpl-966390d48f2a42c7afec3c992a67075e,978,141,1119,,2026-07-24T07:30:08,669dcf16f1ccbeb4754f021c4726ea1a11930a2b
Instagram:post:3223255581701779615,Instagram:post:3223255581701779615,3223255581701779615,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/Cy7Td-_oTCf/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน ••••••••••••••••••••••••••••••••••••••••••••••",2023-10-28T03:00:30+00:00,th,0,0,-1,-1,56457541894,thammasala_police,Thammasala Police,,-1,true,true,true,139,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice scam methods and prevention directly related to the topic.,true,neutral_or_factual,AI voice scam,Post presents factual information about scam methods and prevention without taking a position.,medium,Provides information that could lead to discussion on AI voice scam awareness and prevention.,true,true,"Strongly relevant, factual stance on AI voice scam, medium discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-a0881b23b4914adab067b49e6b4a0187,876,150,1026,,2026-07-24T07:30:08,27e389beafb99804fb6d10b79d62c91ef4ec05a1
Instagram:post:3286201797306177066,Instagram:post:3286201797306177066,3286201797306177066,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C2a7x-kr1Yq/,,,AI 语音诈骗是否应强制披露或限制？,AI robocall,"🚨 Breaking News: AI's Unsettling Role in Politics 🚨 In a turn of events that's shaking up the political world, a recent AI Robocall in New Hampshire has sparked major concerns. 🤖📞 An artificial voice, eerily similar to President Biden's, was used in an attempt to mislead voters ahead of the primary elections. But what's the real story behind this AI-generated call? Investigations are underway, and questions about AI ethics, election security, and digital misinformation are at the forefront. 🕵️‍♂️🔍 This incident isn't just about a misleading phone call; it's a wake-up call about the power and potential misuse of AI in our democratic processes. How did this AI Robocall work? What impact could it have on future elections? And most importantly, what measures can be taken to prevent such incidents in the future? We're diving deep into these pressing questions. 🌐👀 Don't miss out on the full story behind this AI Robocall saga in New Hampshire. Explore the intricate details, expert insights, and the implications for our democracy. The link to the complete article is in our bio! 🔗📖 #AIRobocall #NewHampshireElection #ElectionIntegrity #PoliticalAI #DigitalMisinformation #ElectionSecurity #TechEthics #Deepfake #DemocracyUnderThreat",2024-01-22T23:23:23+00:00,en,6,1,-1,-1,62607406714,nform_ai,NformAI,,-1,true,true,true,193,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI robocall in political context with election security implications,true,neutral_or_factual,AI robocall regulation,Presents facts and questions about AI robocall impact and regulation needs,high,Raises multiple questions about AI robocall technology and election security,true,true,Strongly relevant to AI robocall topic with factual stance and high discussion potential,0.95,false,../../../models/Qwen3-32B,chatcmpl-48175ba285d54afab09b5ad8c20c4f27,733,151,884,,2026-07-24T07:30:09,9c5a66748d452bebc20701d25a77ffcd5ee11590
Instagram:post:3287823217463225857,Instagram:post:3287823217463225857,3287823217463225857,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C2gscvxLW4B/,,,AI 语音诈骗是否应强制披露或限制？,AI robocall,An AI-generated robocall impersonating President Joe Biden raises serious concerns about deepfake technology's potential for misuse in elections. Read more at analyticsdrift.com #joebiden #deepfake #electionsecurity #misinformation #usa #uselection #airobocall #deepfaketechnology #ai #artificialintelligence,2024-01-25T05:04:51+00:00,en,1,0,-1,-1,28365164618,analyticsdrift,Analytics Drift,,-1,false,true,true,35,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,Mentions AI robocall but does not discuss policy implications,false,neutral_or_factual,none,States facts without expressing opinion,low,Factual summary unlikely to invite debate,false,false,Weak relevance and no stance expressed,0.75,false,../../../models/Qwen3-32B,chatcmpl-ceaac4b500c1468e9db3dd77d30dac3b,525,121,646,,2026-07-24T07:30:07,7889f860aa6621751136f52634ee3e66f359aed6
Instagram:post:3303103866990837885,Instagram:post:3303103866990837885,3303103866990837885,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C3W-3doNUB9/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,AI Voice Cloning Scam: Mom called and asked for money? Read this report before sending વધુ વિગતવાર વાંચો👉https://panchat.in #AIVoiceCloning #ScamAlert #VoiceCloningScam #FraudPrevention #OnlineScams #SecurityAlert #ScamAwareness #VoiceCloningFraud #CyberSecurity #ScamPrevention #AIinScams #PhoneScams #FraudAlert #ScamDetection #AIManipulation #FinancialScams #OnlineSafety #VoiceImpersonation #TechScams #ScamAware #ArtificialIntelligenceScam #panchat #news,2024-02-15T07:04:47+00:00,en,2,0,-1,-1,60080183147,panchat.in,Panchat,,-1,true,true,true,47,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and fraud prevention.,false,neutral_or_factual,none,Post is a factual alert without expressed position or evaluation.,medium,Raises awareness of scam issue which may invite public discussion.,false,false,Post is relevant but lacks clear stance.,0.85,false,../../../models/Qwen3-32B,chatcmpl-1bae242d4f464f1a9f9c7631e65506d9,602,132,734,,2026-07-24T07:30:08,6414508a4d60bfb1bfceddf2b517b99648370ddf
Instagram:post:3347527518461504658,Instagram:post:3347527518461504658,3347527518461504658,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C50zorFviyS/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Beware of Voice Cloning Scams! 🚨 A recent study conducted by McAfee reveals that Indians are the most vulnerable group to voice cloning scams, with 38% unable to distinguish between real and cloned voices of their loved ones. These scams often involve impersonating distressed friends or authorities to extort money or sensitive information. Voice cloning technology has made it easier for scammers to deceive unsuspecting victims, leading to significant financial losses. It's crucial to stay vigilant and adopt precautionary measures to avoid falling prey to these fraudulent schemes. Here are some tips to spot fake AI calls: 1️⃣ Verify the caller's identity with verification questions. 2️⃣ Cross-check information with other trusted sources. 3️⃣ Be cautious when asked for sensitive information or urgent financial assistance. Let's spread awareness and protect ourselves and our loved ones from falling victim to voice cloning scams! #VoiceCloningScam #ScamAlert #FraudPrevention #StaySafe #McAfeeStudy #IndiaToday Source: India Today",2024-04-16T14:06:38+00:00,en,1,0,-1,-1,7332749417,themultitalentedkrish,Satya Krishna,,-1,false,true,true,153,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"Post discusses voice cloning scams and their impact, directly related to the topic.",false,neutral_or_factual,none,Post presents facts and warnings without expressing a position on mandatory disclosure or regulation.,medium,"Raises awareness about scams, which may prompt discussion on prevention and policy.",false,false,Post is relevant but lacks a clear stance on the policy question.,0.85,false,../../../models/Qwen3-32B,chatcmpl-c5cf807e288b4c98bd225c7b631a1f36,673,147,820,,2026-07-24T07:30:08,bd2f2125b39fcd420a2843ac73aa05453655aad6
Instagram:post:3357053034989142795,Instagram:post:3357053034989142795,3357053034989142795,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6WpfLqrMML/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Don't Fall Victim to Voice Cloning Scams! Crooks are getting crafty, mimicking loved ones or trusted institutions like your bank to dupe you into sharing personal info or money. Remember: If you suspect a scam, hang up immediately. If you're worried that maybe a family member or friend are acctually in trouble, try calling back or texting their known number. You can also ask them a personal question the answer to which only they, and not a scammer, would know. Stay vigilant, stay safe. #VoiceCloningScam #ScamAlert #StaySafe #ReadyWhenStuffHappens #ReadyLiving",2024-04-29T17:32:09+00:00,en,2,2,-1,-1,48903939013,ready.when.stuff.happens,Ready When Stuff Happens,,-1,false,true,false,91,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"Post directly addresses voice cloning scams, a core aspect of the topic.",false,neutral_or_factual,none,Provides factual information and warnings without expressing a position.,low,Informs about scams but does not invite debate or public discussion.,false,false,Relevant but lacks stance and discussion potential.,0.95,false,../../../models/Qwen3-32B,chatcmpl-77e407396ddf40f2aad24f965e839883,587,137,724,,2026-07-24T07:30:08,e155085c6b93c88786780a3c2a988c0c0d3c1f4e
