mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3400201148492551066,Instagram:post:3400201148492551066,3400201148492551066,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C8v8O30xhOa/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,वॉयस क्लोनिंग स्कैम (Voice Cloning Scam) से रहें सावधान ! साइबर फ्रोड का शिकार होने पर Helpline 1930 या http://cybercrime.gov.in पर शिकायत करें। #voicecloningscam #fraud #CyberSecurity #cyberdost #cybersafety #RajsamandPolice @policerajasthan,2024-06-28T06:19:44+00:00,en,68,0,-1,-1,11086948735,rajsamandpolice,Rajsamand Police Rajasthan,,-1,true,true,false,48,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Mentions voice cloning scam with context of cyber fraud and reporting,false,neutral_or_factual,none,Provides warning and reporting info without expressing opinion,medium,Raises awareness about scam and provides resources for reporting,false,false,Relevant but lacks clear stance on policy question,0.75,true,../../../models/Qwen3-32B,chatcmpl-da8d417cf1684669b2f4a8cff123e24e,579,130,709,,2026-07-24T07:30:08,08f42367505d5d29fc86ea199792de9b5003625f
Instagram:post:3933848929283771573,Instagram:post:3933848929283771573,3933848929283771573,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaX1sI-Aoy1/,,,AI 语音诈骗是否应强制披露或限制？,vishing,Better late than never Here is my TS Academy Practice Task for class 1 week 2 @tsacademyone #tsacademy #cybersecuritytraining #cybersecurity #vishing #securityawareness,2026-07-04T13:22:37+00:00,en,7,0,-1,-1,7210070379,adeogun.aishat,aishat_tashia,,-1,true,true,false,22,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,insufficient_context,Mentions keyword but lacks context on AI voice fraud topic.,false,neutral_or_factual,none,No position or evaluation expressed.,low,Announcement of training task with low debate potential.,false,false,Insufficient context and no stance on AI voice fraud topic.,0.75,true,../../../models/Qwen3-32B,chatcmpl-89b5f5607f4a4bafa50a5f82c1a6fcfe,492,130,622,,2026-07-24T07:30:12,8d381578b2aaef56afcf2587b7f04d3808228890
Instagram:post:3929810175368444533,Instagram:post:3929810175368444533,3929810175368444533,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaJfYiRjTp1/,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,in vitro fertilization,In response to a subscriber's question. Head on over to the Substack! https://substack.com/home/post/p-204033967 #IVF #reproductivetechnologies #InVitroFertilization #RomanCatholic #RomanCatholicism #EasternOrthodox #EasternOrthodoxy #Prolife #Prolifemovement #silentsorrows #surrogacy #surrogatemotherhood #restorativereproductivemedicine #RRM #Fertilityawarenessbasedmethods #FABMs #NaProTechnology #NaturalProcreativeTechnology #bioethics #abortion #embryoadoption,2026-06-28T23:38:20+00:00,en,1,0,-1,-1,38848259479,katherinebreckenridgewriter,Katherine Breckenridge,,-1,false,false,true,41,true,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,Mentions IVF but does not discuss public support policy,false,neutral_or_factual,none,No opinion expressed on IVF public support,low,Link-only with no clear discussion invitation,false,false,Weak relevance and no stance on policy question,0.65,true,../../../models/Qwen3-32B,chatcmpl-47b4bbdb15c64b678a4879dfbc64f159,598,125,723,,2026-07-24T07:30:23,e08e3ec15e4d773515c973ff05c60194101e0722
Instagram:post:3904592595787855497,Instagram:post:3904592595787855497,3904592595787855497,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DYv5kdIjjaJ/,,,信用卡滞纳金是否应被限制？,junk fees,New York City Mayor Zohran Mamdani has officially enacted a strict ban on hidden hotel junk fees and surprise credit card holds across the five boroughs. The landmark consumer protection rule enforces transparent pricing upfront and is projected to save travelers over forty-six million dollars now.#Headlines360 #ZohranMamdani #NYCNews #JunkFees #ConsumerProtection,2026-05-25T04:35:31+00:00,en,1,0,-1,-1,78934538810,dailyheadlines360,Daily Headlines360,,-1,true,true,false,52,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses NYC policy on credit card fees directly related to topic,false,neutral_or_factual,policy,Factual news summary without evaluative language,medium,Presents policy change that could invite debate on consumer protection,false,false,Factual summary lacks clear stance despite policy relevance,0.75,true,../../../models/Qwen3-32B,chatcmpl-f383d209ebdc4ec09a907a0e6856a62d,527,132,659,,2026-07-24T07:30:27,b5881e9f26cbbdb41bd836c4178d21d617b9dd66
Instagram:post:3933980307267751396,Instagram:post:3933980307267751396,3933980307267751396,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaYTj8QE43k/,,,医疗债务是否不应影响个人信用记录？,credit report,"Interesting Follow me on TikTok, IG, and Facebook for daily car fixes + credit fixes."" CAR or CREDIT Comment HELP if you need the blueprint Save this video — you'll need it later. Your mechanic won't tell you this. This is why your car keeps breaking down This sensor is draining your wallet. Fix your car AND fix your credit — watch this. ""If your car is doing this, STOP driving it If your Audi 2.0T is misfiring, check the EGR — here's why. If your credit report shows collections, dispute the verification first If your car shakes at idle, check vacuum leaks before replacing parts Follow me on TikTok, IG, and Facebook — I drop daily car + credit fixes. • #mechanic • #carrepair • #autorepair • #fixyourcar • #creditrepair • #creditreport • #fyp • #diymechanic Most mechanics replace parts you don't need. DM me CAR or CREDIT",2026-07-04T17:43:39+00:00,en,0,1,-1,-1,12762352724,respectabletradesman,Philip Tranquada,,-1,true,true,false,140,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses credit report fixes and related policy issues.,true,unclear,credit report policy,Post mentions credit report fixes but does not clearly express a stance.,medium,Credit report issues can invite discussion on policy and personal finance.,false,true,Post lacks clear stance despite topic relevance and discussion potential.,0.75,true,../../../models/Qwen3-32B,chatcmpl-53d01667a50b4c269b72a42d155d0eec,649,136,785,,2026-07-24T07:30:32,865efb1149d20663c7b118e7ccde84f627a42dba
Instagram:post:3934654132842313231,Instagram:post:3934654132842313231,3934654132842313231,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaasxZOFrYP/,,,医疗债务是否不应影响个人信用记录？,medical bills,"Are you feeling completely overwhelmed by the non-stop spike in your monthly medical bills? 💔 Standard health insurance premiums keep climbing higher without delivering more value, leaving hard-working people to foot the bill. Impact Health Sharing gives you a much-needed break with a modern, budget-friendly alternative that actually keeps your household finances in mind. 🤝 Drop a 🙋♀️ in the comments if you are ready to stop overpaying for your healthcare! #impacthealthsharing #healthcarecosts #budgetfriendly #medicalbills #financialrelief #healthcarealternative #smartspending #savemoney #communityovercorporations #healthshares",2026-07-05T16:02:38+00:00,en,0,0,-1,-1,28759181091,lowcosthealth.4u,John Schuurman,,-1,true,true,false,82,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses medical bills and healthcare costs as central topic.,false,neutral_or_factual,none,Post presents information without taking a position on the topic.,medium,Post invites engagement with question and call to action.,false,false,Post lacks clear stance on the topic despite relevance and engagement.,0.75,true,../../../models/Qwen3-32B,chatcmpl-3abd4b685387436084c38ad51ef46c1d,578,134,712,,2026-07-24T07:30:34,572146d362e2083a69d3356d1eca52f055db2355
Instagram:post:3934169822699259282,Instagram:post:3934169822699259282,3934169822699259282,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaY-pwQDQWS/,,,AI 语音诈骗是否应强制披露或限制？,vishing,"🚨 **सोशल इंजीनियरिंग (Social Engineering) से सावधान!** 🚨 साइबर अपराधी तकनीक से पहले **आपके विश्वास पर हमला करते हैं।** वे खुद को बैंक अधिकारी, पुलिस, सरकारी कर्मचारी, कंपनी सपोर्ट या आपके परिचित के रूप में प्रस्तुत करके आपकी निजी जानकारी, OTP, पासवर्ड या पैसे हासिल करने की कोशिश करते हैं। ✅ सुरक्षित रहने के लिए: • किसी भी कॉल, ईमेल, SMS या WhatsApp संदेश पर तुरंत भरोसा न करें। • OTP, PIN, CVV, पासवर्ड या बैंकिंग जानकारी किसी के साथ साझा न करें। • किसी भी लिंक पर क्लिक करने से पहले उसकी सत्यता जांचें। • पहचान की पुष्टि किए बिना कोई भुगतान या जानकारी साझा न करें। • संदिग्ध गतिविधि होने पर तुरंत **1930** पर शिकायत करें और साइबर क्राइम पोर्टल पर रिपोर्ट करें। **याद रखें:** **साइबर हमले की सबसे कमजोर कड़ी तकनीक नहीं, बल्कि इंसान हो सकता है।** **सतर्क रहें, सुरक्षित रहें।** **Tech Guardians** के साथ जुड़ें और रोज़ाना साइबर सुरक्षा से जुड़ी महत्वपूर्ण जानकारी प्राप्त करें। #SocialEngineering #CyberCrime #CyberSecurity #CyberAwareness #ScamAlert #Phishing #Vishing #Smishing #OnlineFraud #DigitalSafety #StaySafeOnline #CyberSecurityIndia #CyberJagrukta #TechGuardians #CyberFouji #CyberEducation #साइबर_सुरक्षा #सोशल_इंजीनियरिंग #साइबर_जागरूकता #फिशिंग #ऑनलाइन_ठगी #डिजिटल_सुरक्षा #सतर्क_रहें #सुरक्षित_रहें #TechGuardiansIndia",2026-07-05T00:00:12+00:00,hi,3,1,-1,-1,70346939489,_tech_guardians,TECH GUARDIANS,,-1,true,true,false,322,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 543 (char 542)",2026-07-24T07:30:37,f069e1afb66b5e91050ea526be12c9b4b9986683
Instagram:post:3938463144888363479,Instagram:post:3938463144888363479,3938463144888363479,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaoO10ICenX/,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Cybersecurity Alert: Voice Phishing (Vishing) Is Evolving Cybercriminals are now calling Microsoft 365 users while pretending to be IT support. Their goal is to convince employees to enroll an attacker-controlled passkey, giving them unauthorized access to company accounts without stealing a password. This emerging technique is known as vishing (voice phishing). Protect your organization by: - Never approving unexpected security requests - Verifying IT requests through trusted internal channels - Providing ongoing security awareness training for employees - Monitoring Microsoft 365 identity and authentication activity Cybersecurity is no longer just about protecting passwords. It is about protecting identities. If your business would like help strengthening Microsoft 365 security or improving employee cybersecurity awareness, Memphis Computer Support is here to help. 901-496-8949 www.memphiscomputersupport.com #CyberSecurity #Microsoft365 #Vishing #IdentitySecurity #BusinessSecurity #CyberAwareness #MemphisBusiness #ManagedIT #MemphisComputerSupport #womanowned",2026-07-10T22:10:15+00:00,en,1,0,-1,-1,291031248,memphiscomputerhelp,Memphis Computer Support,,-1,true,true,false,133,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 625 (char 624)",2026-07-24T07:30:41,4e773043c28d9d170feae7b06279c31f8a21a4e5
Instagram:post:3931596410810874152,Instagram:post:3931596410810874152,3931596410810874152,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaP1hrqlTko/,,,医疗债务是否不应影响个人信用记录？,medical debt,"🌟 STAFF SPOTLIGHT Meet Ariel Zhao, MA 👏 As a Policy and Research Intern at The Cadence Institute, Ariel is exploring how AI, healthcare, mental health, and public policy can work together to improve lives. 📚 Her latest research, Visibility Without Protection, examines why millions of Americans continue to struggle with medical debt despite greater healthcare price transparency. Because great policy starts with great research. We're proud to have Ariel on our team as we continue building research that informs policy and strengthens communities. 👏 Join us in celebrating Ariel! #StaffSpotlight #CadenceInstitute #PolicyResearch #HealthPolicy #MedicalDebt",2026-07-01T10:47:16+00:00,en,3,0,-1,-1,22106166631,cadenceinstitute4policy,Cadence Institute for Policy,,-1,true,true,false,92,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 583 (char 582)",2026-07-24T07:30:51,96284942f195a72e82eb1a2128ea56c1485cf5a9
Instagram:post:3933475211597392112,Instagram:post:3933475211597392112,3933475211597392112,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaWgt1QESjw/,,,医疗债务是否不应影响个人信用记录？,medical bills,Crowdfunding Campaign Launched For Shaun Glass' Medical Bills And His Son's Future Shaun Glass died on July 1 due to complications from a stroke he experienced at the end of May. A crowdfunding campaign has been launched to cover Glass' medical bills and to support his son's future. Via The PRP riffwiremag.com #shaunglass #crowdfunding #death #medicalbills #heavymetal #metalnews #rocknews #riffwiremag #metal #rock,2026-07-04T01:00:15+00:00,en,0,0,-1,-1,17564774409,riffwiremag,riffwire,,-1,true,true,false,65,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 518 (char 517)",2026-07-24T07:30:52,ad103a9e9c668c479d1bf2c83c95d15907ca462e
