topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
是否应加强警察问责并限制 qualified immunity？,139,136,3,0.0216,76,0.5468,76,0.5468,115,0.8273,119,13,4,0,0
是否应提供带薪家庭假和育儿假？,196,194,2,0.0102,76,0.3878,76,0.3878,144,0.7347,149,44,0,0,1
政府是否应保护堕胎服务的可及性？,160,154,6,0.0375,74,0.4625,74,0.4625,140,0.875,120,31,1,0,2
是否应提高联邦最低工资？,122,120,2,0.0164,62,0.5082,62,0.5082,106,0.8689,95,25,0,0,0
大学生是否应更容易获得 SNAP 食品援助？,182,179,3,0.0165,60,0.3297,60,0.3297,125,0.6868,125,33,16,0,5
是否应扩大免费学校餐？,118,116,2,0.0169,59,0.5,59,0.5,101,0.8559,88,28,0,0,0
美国是否应扩大可负担住房供给？,135,132,3,0.0222,59,0.437,59,0.437,104,0.7704,80,52,0,0,0
美国是否应加强移民执法和庇护限制？,106,100,6,0.0566,54,0.5094,54,0.5094,96,0.9057,87,13,0,0,0
医疗债务是否不应影响个人信用记录？,123,120,3,0.0244,52,0.4228,52,0.4228,89,0.7236,89,27,4,0,0
是否应恢复或强化网络中立性规则？,114,108,6,0.0526,52,0.4561,52,0.4561,78,0.6842,90,13,4,0,1
小费收入是否应免税？,73,72,1,0.0137,50,0.6849,50,0.6849,70,0.9589,62,10,0,0,0
美国是否应扩大液化天然气 LNG 出口？,117,115,2,0.0171,48,0.4103,48,0.4103,92,0.7863,74,39,1,0,1
美国是否应征收或避免征收碳税？,108,105,3,0.0278,47,0.4352,47,0.4352,88,0.8148,64,41,0,0,0
美国是否应对芬太尼采取更严格管制和刑事打击？,87,86,1,0.0115,47,0.5402,47,0.5402,70,0.8046,72,8,6,0,0
避孕服务是否应免除自付费用？,82,81,1,0.0122,44,0.5366,44,0.5366,70,0.8537,60,17,4,0,0
高校是否应为高学费和学生债务承担更多责任？,88,82,6,0.0682,42,0.4773,42,0.4773,68,0.7727,71,11,0,0,0
是否应延续或扩大医保保费补贴？,105,102,3,0.0286,41,0.3905,42,0.4,89,0.8476,75,20,7,0,0
信用卡滞纳金是否应被限制？,68,66,2,0.0294,39,0.5735,39,0.5735,59,0.8676,59,5,2,0,0
AI 语音诈骗是否应强制披露或限制？,136,132,4,0.0294,36,0.2647,36,0.2647,60,0.4412,74,6,52,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,168,163,5,0.0298,35,0.2083,35,0.2083,100,0.5952,110,31,21,0,1
数据经纪商是否应被禁止出售敏感个人数据？,111,109,2,0.018,35,0.3153,35,0.3153,66,0.5946,77,22,10,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,75,74,1,0.0133,34,0.4533,34,0.4533,67,0.8933,70,2,2,0,0
政府是否应进一步压低处方药价格？,96,94,2,0.0208,34,0.3542,34,0.3542,78,0.8125,74,16,4,0,0
美国是否应加强边境技术和监控？,109,108,1,0.0092,34,0.3119,34,0.3119,76,0.6972,83,7,18,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,165,162,3,0.0182,32,0.1939,32,0.1939,60,0.3636,97,14,51,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,145,142,3,0.0207,28,0.1931,28,0.1931,115,0.7931,94,43,5,0,0
跨性别运动员是否应参加女子体育项目？,60,54,6,0.1,28,0.4667,28,0.4667,47,0.7833,49,3,2,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,72,1,0.0137,25,0.3425,25,0.3425,40,0.5479,66,2,0,0,4
是否应扩大心理健康服务可及性？,53,53,0,0.0,25,0.4717,25,0.4717,37,0.6981,46,7,0,0,0
演唱会和体育赛事门票是否应强制显示全价？,45,43,2,0.0444,24,0.5333,25,0.5556,29,0.6444,34,3,0,0,6
是否应扩大儿童税收抵免或改成按月发放？,64,60,4,0.0625,16,0.25,16,0.25,35,0.5469,34,26,0,0,0
政府是否应补贴儿童照护费用？,51,50,1,0.0196,13,0.2549,13,0.2549,26,0.5098,29,9,12,0,0
是否应继续补贴 EV 充电基础设施？,27,27,0,0.0,8,0.2963,8,0.2963,23,0.8519,23,4,0,0,0
气候变化是否应作为公共健康问题治理？,15,12,3,0.2,8,0.5333,8,0.5333,12,0.8,7,5,0,0,0
是否应延续低收入家庭宽带补贴？,56,55,1,0.0179,7,0.125,7,0.125,30,0.5357,37,15,2,0,1
枪支遗失或被盗后是否应强制上报？,48,46,2,0.0417,7,0.1458,8,0.1667,25,0.5208,28,16,2,0,0
是否应要求更严格的枪支安全存储？,8,8,0,0.0,3,0.375,3,0.375,7,0.875,5,3,0,0,0
