mid,native_id,url,topic,keyword,source_file,reason
Instagram:post:3299101361272329964,3299101361272329964,https://www.instagram.com/p/C3IwzVspRbs/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3378654883396891872,3378654883396891872,https://www.instagram.com/p/C7jZLcvgrTg/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3096574332197630599,3096574332197630599,https://www.instagram.com/p/Cr5PfLjO3KH/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3280938551788327333,3280938551788327333,https://www.instagram.com/p/C2IPDrNOlGl/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3050361885980005679,3050361885980005679,https://www.instagram.com/p/CpVD_lKOpUv/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3270829233986532505,3270829233986532505,https://www.instagram.com/p/C1kUdvUuvSZ/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3301266733804540250,3301266733804540250,https://www.instagram.com/p/C3QdJqBO9Fa/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3245425955396366629,3245425955396366629,https://www.instagram.com/p/C0KEbYgO7El/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3372930942719470389,3372930942719470389,https://www.instagram.com/p/C7PDtJkt6s1/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
Instagram:post:3296209533394385552,3296209533394385552,https://www.instagram.com/p/C2-fRtHOnqQ/,大学生是否应更容易获得 SNAP 食品援助？,student food insecurity,ig_message_data.txt,mid_topic_already_in_historical_rule_pairs
