platform,commenter_id,commenter_username,post_mid,thread_id,post_url,root_comment_url,topic,topic_relevance,training_grade,source_excel_row
facebook,1629106608,jennifer.woolleyweust,Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,id:1668915787648234,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iSyLT1CGWGmX82yqJXfZQqh1CdE8SnFjj8L9UykvcJEiVcQMaSask7KzaLyQ5AU3l?comment_id=1668915787648234&__cft__[0]=AZa0Xk4Rp8MCWVf62CJAp8-s38Di809n_vbZip8R9TIJhg80BGEwwsktBVY0w9svPjPG8p4oKN-O-2BtymMzW4hxZrvKEAR8kI2GlplxgABvNsGt9iXhyFMUeaEYuWYfxMo&__tn__=R]-R,Should AI-generated voice content used in scams be subject to mandatory disclosure or restrictions?,relevant,generally_usable,2
facebook,100000107047721,di.johnsondobbs,Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,id:1668915787648234,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iSyLT1CGWGmX82yqJXfZQqh1CdE8SnFjj8L9UykvcJEiVcQMaSask7KzaLyQ5AU3l?comment_id=1668915787648234&__cft__[0]=AZa0Xk4Rp8MCWVf62CJAp8-s38Di809n_vbZip8R9TIJhg80BGEwwsktBVY0w9svPjPG8p4oKN-O-2BtymMzW4hxZrvKEAR8kI2GlplxgABvNsGt9iXhyFMUeaEYuWYfxMo&__tn__=R]-R,Should AI-generated voice content used in scams be subject to mandatory disclosure or restrictions?,relevant,generally_usable,2
facebook,1308194210,doug.nehas,Facebook:post:pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,id:1024010590210138,https://www.facebook.com/CongressmanRaja/posts/pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,https://www.facebook.com/CongressmanRaja/posts/pfbid0SriJruFRCT1DpFPsRKNGq4LmEXq7ve2PowEuQUbYZKpwkTrpJUJPoqYrCYkoe8xol?comment_id=1024010590210138&__cft__[0]=AZb6kWSAaDRRHvEZTkvCqCX5ZPOPiDc3blCd3ip0cmjh2awNw1l71ee58a320lDvAv02CG11-gyVQyYCl57ys_10N6OXv4uOS26HXq9dC8TCte945D8oNISkYbDISYnvlZt8Vs2q5v0LwmgRbO5Hmu-G1YYDBXrj502PrgLcoeBfyQ&__tn__=R]-R,Should IVF and other assisted-reproduction treatments receive greater public support?,strongly_relevant,core_usable,6
facebook,1489625396,mrmcshirtless,Facebook:post:pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,id:1002110515560628,https://www.facebook.com/CongressmanRaja/posts/pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,https://www.facebook.com/CongressmanRaja/posts/pfbid0SriJruFRCT1DpFPsRKNGq4LmEXq7ve2PowEuQUbYZKpwkTrpJUJPoqYrCYkoe8xol?comment_id=1002110515560628&__cft__[0]=AZb6kWSAaDRRHvEZTkvCqCX5ZPOPiDc3blCd3ip0cmjh2awNw1l71ee58a320lDvAv02CG11-gyVQyYCl57ys_10N6OXv4uOS26HXq9dC8TCte945D8oNISkYbDISYnvlZt8Vs2q5v0LwmgRbO5Hmu-G1YYDBXrj502PrgLcoeBfyQ&__tn__=R]-R,Should IVF and other assisted-reproduction treatments receive greater public support?,strongly_relevant,core_usable,11
facebook,1369771889,patrick.smith.3994,Facebook:post:pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,id:1002110515560628,https://www.facebook.com/CongressmanRaja/posts/pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,https://www.facebook.com/CongressmanRaja/posts/pfbid0SriJruFRCT1DpFPsRKNGq4LmEXq7ve2PowEuQUbYZKpwkTrpJUJPoqYrCYkoe8xol?comment_id=1002110515560628&__cft__[0]=AZb6kWSAaDRRHvEZTkvCqCX5ZPOPiDc3blCd3ip0cmjh2awNw1l71ee58a320lDvAv02CG11-gyVQyYCl57ys_10N6OXv4uOS26HXq9dC8TCte945D8oNISkYbDISYnvlZt8Vs2q5v0LwmgRbO5Hmu-G1YYDBXrj502PrgLcoeBfyQ&__tn__=R]-R,Should IVF and other assisted-reproduction treatments receive greater public support?,strongly_relevant,core_usable,11
facebook,100001869706728,bob.pellicane.5,Facebook:post:pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,id:1029624666310207,https://www.facebook.com/AsmDePhillips/posts/pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,https://www.facebook.com/AsmDePhillips/posts/pfbid02E2t8YYVNUixF8mKgD8PnrXzERoskTuaaFKAJUFQGTErZDPM9hCL3LphvCMsbViJAl?comment_id=1029624666310207&__cft__[0]=AZa5lpl5CkBJWkqTHLr_zAy_WH5op30cW0HphH4INuOXs4x7TF1Ok3073rGoLopMWb-FC3Sj5yWFpKcYe5HrMWtZlVEwVWIOaLNYh5g9ZTaYkwYNiGwhskzpC4K2nH9BgoxcaHu6S__KAJWo_N2Gh2BtbesJf5S6yEa5FlcdosvNRw&__tn__=R]-R,Should credit-card late fees be capped?,relevant,generally_usable,19
facebook,1158683017,jim.neubig,Facebook:post:pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,id:1018410777446105,https://www.facebook.com/AsmDePhillips/posts/pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,https://www.facebook.com/AsmDePhillips/posts/pfbid02E2t8YYVNUixF8mKgD8PnrXzERoskTuaaFKAJUFQGTErZDPM9hCL3LphvCMsbViJAl?comment_id=1018410777446105&__cft__[0]=AZa5lpl5CkBJWkqTHLr_zAy_WH5op30cW0HphH4INuOXs4x7TF1Ok3073rGoLopMWb-FC3Sj5yWFpKcYe5HrMWtZlVEwVWIOaLNYh5g9ZTaYkwYNiGwhskzpC4K2nH9BgoxcaHu6S__KAJWo_N2Gh2BtbesJf5S6yEa5FlcdosvNRw&__tn__=R]-R,Should credit-card late fees be capped?,strongly_relevant,core_usable,21
facebook,620260382,judy.stilleheyboer,Facebook:post:pfbid036woKyFNzHHTBKpsxFtivmUWAYEVuTDiesXgmks5fJLwNRifhfBQomYnu17Lfcd2Fl,id:2430861930673072,https://www.facebook.com/StateRepRigas/posts/pfbid036woKyFNzHHTBKpsxFtivmUWAYEVuTDiesXgmks5fJLwNRifhfBQomYnu17Lfcd2Fl,https://www.facebook.com/StateRepRigas/posts/pfbid036bcNNz9Cv4nBEidJTepZR1FYQV6TkZPDLaSPgdme38pprqqDyYSrTJGjxhyhWkmcl?comment_id=2430861930673072&__cft__[0]=AZYbCUFGjZTGPHYM_eceDzBBqzk-NxQN2alRUbEs-nqbH7rsTdxALiFlJlTB3wDyKmeq8ToNyulDyjlMyxE_dkgX9kr5nn2Z8QYbJM5wAeWopnH7R9F7PqN5Uu1zY5_3--_HdVIaMesqRdaz88sHHCbXV67iX7YTBJHh9KSenfCCew&__tn__=R]-R,Should medical debt be excluded from personal credit records?,strongly_relevant,generally_usable,29
facebook,100027707205638,timndee.wink.92,Facebook:post:pfbid036woKyFNzHHTBKpsxFtivmUWAYEVuTDiesXgmks5fJLwNRifhfBQomYnu17Lfcd2Fl,id:999064299583235,https://www.facebook.com/StateRepRigas/posts/pfbid036woKyFNzHHTBKpsxFtivmUWAYEVuTDiesXgmks5fJLwNRifhfBQomYnu17Lfcd2Fl,https://www.facebook.com/StateRepRigas/posts/pfbid036bcNNz9Cv4nBEidJTepZR1FYQV6TkZPDLaSPgdme38pprqqDyYSrTJGjxhyhWkmcl?comment_id=999064299583235&__cft__[0]=AZYbCUFGjZTGPHYM_eceDzBBqzk-NxQN2alRUbEs-nqbH7rsTdxALiFlJlTB3wDyKmeq8ToNyulDyjlMyxE_dkgX9kr5nn2Z8QYbJM5wAeWopnH7R9F7PqN5Uu1zY5_3--_HdVIaMesqRdaz88sHHCbXV67iX7YTBJHh9KSenfCCew&__tn__=R]-R,Should medical debt be excluded from personal credit records?,strongly_relevant,generally_usable,34
facebook,1660054370,debra.iaconiello,Facebook:post:pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl,id:1546187733518487,https://www.facebook.com/NedLamontCT/posts/pfbid07v3aVJWM6R4vZQwegvvqvojAZDrCDhjDYRR39AVQMM9yXqXjHeNbMgSFtzqEXU4pl,https://www.facebook.com/NedLamontCT/posts/pfbid02BbTLNrU8QJWUTdYPyDqFMmuQrceLTehLiCqoR4PrCueDazviT4Yar6dzWa5UdZg3l?comment_id=1546187733518487&__cft__[0]=AZaFFeJCxKnyFja2rN8J7pGuJQrmpDzWaWKpy2D6L31x6RLvPAo_BbeKb_IsevbX_r_ikyPSQZNjJN4IDGiN7NjSWjDX39DrJFsqWbE7ygWHcRPByQnO-l4KMP77RMT5m30cx9RUci08kHbVjPAvs_-zioJbiD5niBMe0issbcv-iQ&__tn__=R]-R,Should medical debt be excluded from personal credit records?,relevant,relevant_context_only,42
