mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3931596410810874152,Instagram:post:3931596410810874152,3931596410810874152,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaP1hrqlTko/,,,医疗债务是否不应影响个人信用记录？,medical debt,"🌟 STAFF SPOTLIGHT Meet Ariel Zhao, MA 👏 As a Policy and Research Intern at The Cadence Institute, Ariel is exploring how AI, healthcare, mental health, and public policy can work together to improve lives. 📚 Her latest research, Visibility Without Protection, examines why millions of Americans continue to struggle with medical debt despite greater healthcare price transparency. Because great policy starts with great research. We're proud to have Ariel on our team as we continue building research that informs policy and strengthens communities. 👏 Join us in celebrating Ariel! #StaffSpotlight #CadenceInstitute #PolicyResearch #HealthPolicy #MedicalDebt",2026-07-01T10:47:16+00:00,en,3,0,-1,-1,22106166631,cadenceinstitute4policy,Cadence Institute for Policy,,-1,true,true,false,92,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 605 (char 604)",2026-07-24T07:51:36,96284942f195a72e82eb1a2128ea56c1485cf5a9
Instagram:post:3924004187532778703,Instagram:post:3924004187532778703,3924004187532778703,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DZ03QSvCVzP/,,,小费收入是否应免税？,no tax on tips,"No Tax on Tips — but what does that actually mean for servers, stylists, and drivers? Our new guide cuts through the headlines to explain eligibility, limits, the income phase-out, and the New Jersey twist you need to know. Link in Bio #NoTaxOnTips #OBBBA #TaxTips #ServiceWorkers #Servers #SalonPros #GigWorkers #Taxes2026",2026-06-20T23:24:05+00:00,en,0,0,-1,-1,34389328288,taxes_zen_pro,TaxesZenPro,,-1,true,true,false,50,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 541 (char 540)",2026-07-24T07:51:35,abea9e55632382377c30435c04fde260516de709
Instagram:post:3580313155708285914,Instagram:post:3580313155708285914,3580313155708285914,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DGv09iGpnPa/,,,平台是否应强制移除非自愿 AI 伪造私密影像？,deepfake porn,"Melania Trump is set to speak today for the first time since her husband took office, supporting Sen. Ted Cruz's ""Take It Down Act,"" which targets deepfake and revenge porn. The bill was partly inspired by an incident involving an Aledo High School student. Click the link in bio to look at Texas' current deepfake porn law and the proposed legislation.",2025-03-03T18:30:11+00:00,en,4,1,-1,-1,5957123565,versustexas,Varghese Summersett PLLC,,-1,true,true,false,62,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 532 (char 531)",2026-07-24T07:51:36,ac7662b6bc2c2aaddefd1764fdd6ec4ed878b9a6
Instagram:post:3921212449395230962,Instagram:post:3921212449395230962,3921212449395230962,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DZq8fJ_Csjy/,,,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,"As of May 19, 2026, the Take It Down Act is in effect, providing stronger protections for survivors of image-based abuse. This federal law criminalizes the nonconsensual sharing of intimate images, including AI-generated content and deepfakes, and requires online platforms to remove such images within 48 hours of a request. The National Network to End Domestic Violence has created a Know Your Rights Guide to help individuals understand these protections and how to use them. Learn more and share this resource: 🔗 https://buff.ly/lI5cCHu #TakeItDownAct #SurvivorSupport #OnlineSafety",2026-06-17T02:56:12+00:00,en,8,0,-1,-1,3106977394,star.alaska,STAR Alaska,,-1,true,true,false,90,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 597 (char 596)",2026-07-24T07:51:35,4b33391eea8450e5ed4d6294dd7dfe20d645cbc1
Instagram:post:3940712495095769577,Instagram:post:3940712495095769577,3940712495095769577,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DawOSKwIGnp/,,,平台是否应承担更严格的儿童网络安全保护责任？,KOSA,Za par sekundi nestanu svi žuti tonovi! Lartistas Miracle Fresh-up Drops! Naruči odmah na www.lartistas.rs #lartistas_rs #kosa #plavakosa #frizer #hairproducts,2026-07-14T00:39:24+00:00,hr,2,0,-1,-1,57296750090,lartistas_rs,lartistas. Srbija,,-1,true,true,false,23,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 510 (char 509)",2026-07-24T07:51:36,a51eb3e4bb24be11bdd7c7ec11fdb4a698db9168
Instagram:post:3556320521663664417,Instagram:post:3556320521663664417,3556320521663664417,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DFalqwZMdEh/,,,政府是否应补贴家庭净水设备以应对 PFAS 等污染？,PFAS water,"PFAS— aka ""forever chemicals""— are showing up in tap water across the U.S. Our latest analysis reveals just how widespread they are and why this matters for your health🚰⁠ ⁠ Curious about your water? We offer lab-certified PFAS testing to help you understand your exposure and take the next steps.⁠ ⁠ Tap the 🔗 in our bio to learn more about PFAS and testing options!",2025-01-29T16:01:07+00:00,en,17,1,-1,-1,16611598593,mytapscore,Tap Score | Home Water Test Kits | Certified Labs,,-1,false,true,true,64,false,true,1,false,relevant,0.78,Multiple keyword tokens match and the text contains topic or public-policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 537 (char 536)",2026-07-24T07:51:35,641716c8cdb33132a940cb2369dfaf9e92c4d792
Instagram:post:3632427826541892825,Instagram:post:3632427826541892825,3632427826541892825,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DJo-dzhRhTZ/,,,政府是否应进一步压低处方药价格？,prescription drug prices,"President Trump has signed an executive order to lower prescription drug prices by tying US medicine costs to lower international prices, aiming to reduce costs by up to 59%. This revives and expands the ""most favored nation"" policy from his previous term, addressing the fact that US drug prices are nearly three times higher than in 33 other high-income countries according to a 2024 RAND Corporation report. The high costs in the US stem from a complex reimbursement system where pharmaceutical companies set prices negotiated by private insurers, rather than government-negotiated price caps common in other nations. Private insurers typically rely on pharmacy benefit managers (PBMs) with limited transparency, while drug makers defend higher US prices as necessary for funding research and development. While branded drugs are more expensive in the US, the system shows some efficiency with unbranded generic medications, which account for 90% of prescription volumes compared to 41% in other advanced nations. These generics tend to cost American patients about two-thirds of what other countries pay, creating a more nuanced pricing landscape than initially apparent. The new executive order requires drug makers to meet price targets within 30 days and aims to restrict the role of PBMs by creating mechanisms for patients to purchase drugs directly from manufacturers. Though pharma stocks initially rebounded as the measures were perceived as less severe than anticipated and likely to face legal challenges similar to those that blocked previous attempts, regulatory pressure on PBMs continues to grow with bipartisan support for reform. via @cnbc video @vox #drugpricing #prescriptioncosts #trumpexecutiveorder #healthcare #pharmanews #medicationaffordability #healthcarereform #drugcostsavings #pharmaceuticalindustry #healthpolicy #mostfavorednation #pbmreform #medicinecosts #healthcareeconomics #drugpricecomparison #pharmastocks #healthcaresystem #medicationaccess #pbmindustry #prescriptiondrugprices #healthequity #marketregulation #healthcarepolicy #patientaffordability #designed2invest",2025-05-14T16:12:42+00:00,en,4,1,-1,-1,4924387,designed2invest,Designed Invested,,-1,true,true,false,283,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 703 (char 702)",2026-07-24T07:51:36,b759bc86b939fb342cddc3e1d33d53a102c5f727
Instagram:post:3931001896966097366,Instagram:post:3931001896966097366,3931001896966097366,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaNuWXgDQnW/,,,数据经纪商是否应被禁止出售敏感个人数据？,data brokers,"In The Data Behind the Deception: Optery's 2026 Enterprise Social Engineering Survey Report, cybersecurity leaders ranked data broker and people-search sites as the #1 source of attacker intelligence for targeted social engineering. In addition to other sources like social media, attackers are relying on structured, searchable personal data from data brokers to identify, profile, target, and impersonate employees. For organizations wanting comprehensive data broker removal, #Optery finds and removes dozens more profiles per person than competitors, and proves it with before-and-after screenshots. #CyberSecurity #DataPrivacy #SocialEngineering #DataBrokers #PrivacyProtection",2026-06-30T15:06:10+00:00,en,1,0,-1,-1,51819344237,opteryhq,Optery,,-1,true,true,false,91,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 505 (char 504)",2026-07-24T07:51:35,4c6da8054d73bafdbc11aac359975a0d4fcdfe57
Instagram:post:3896182706468596524,Instagram:post:3896182706468596524,3896182706468596524,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DYSBYdXFKss/,,,是否应延续或扩大医保保费补贴？,ACA subsidies,"💚 The government may pay most of your health insurance premium. Millions qualify for ACA subsidies and don't even know it — paying full price unnecessarily. You may qualify if you're self-employed, part-time, or within certain income ranges. 📞 Call (972) 884-5322 — find out in 5 minutes what you qualify for. 👉 Visit www.ffmic.com to check your eligibility. #ACASubsidies #AffordableCoverage #HealthInsurance #GovernmentHelp #YouQualify",2026-05-13T14:06:49+00:00,en,0,0,-1,-1,34459970877,financialfreedominsurance,Financial Freedom Insurance,,-1,true,true,false,66,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 538 (char 537)",2026-07-24T07:51:36,3741fa8dde35c5056d128d97cb8da726c8a8582a
Instagram:post:3928166271947056281,Instagram:post:3928166271947056281,3928166271947056281,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaDpml6EySZ/,,,是否应扩大免费学校餐？,free school meals,"☀️ This summer, we're giving back — and it's OPEN NOW! Free holiday club places for Huddersfield children aged 5–12 who receive Free School Meals. Hot food, amazing activities, a safe and fun environment. 🎉 Know a family who needs this? Share this post — let's make sure no child misses out 🤲 💬 Comment BOOK below and we'll send the registration link straight to their DMs! #GiveALittleBack #SummerFunClub #HAF #Huddersfield #FreeSchoolMeals #HolidayClub #HuddersfieldCommunity #FreeActivities #Kirklees",2026-06-26T17:12:26+00:00,en,3,0,-1,-1,74931723432,team.galb,Give A Little Back,,-1,true,true,false,75,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 516 (char 515)",2026-07-24T07:51:35,82446d2f8aa5b9a4c166621e61abbcf8afb9e8c1
