reason,source_file,line_no,platform,record_type,record_id,native_id,native_id_field,theme_id,s_cont,url,cont
empty_text,ig_message_data.txt,88,Instagram,post,Instagram:post:3762851432657000197,3762851432657000197,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VXEKFxcF/,
empty_text,ig_message_data.txt,93,Instagram,post,Instagram:post:3762851339568030620,3762851339568030620,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VVtdjiOc/,
empty_text,ig_message_data.txt,96,Instagram,post,Instagram:post:3762851462889062048,3762851462889062048,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VXgUD76g/,
empty_text,ig_message_data.txt,101,Instagram,post,Instagram:post:3762851403724067127,3762851403724067127,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VWpNjZE3/,
empty_text,ig_message_data.txt,107,Instagram,post,Instagram:post:3762851302372876625,3762851302372876625,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VVK0jSFR/,
empty_text,ig_message_data.txt,115,Instagram,post,Instagram:post:3762851373936067059,3762851373936067059,mid,是否应扩大免费学校餐？,universal school meals,https://www.instagram.com/p/DQ4VWNeDMHz/,
empty_text,ig_message_data.txt,444,Instagram,post,Instagram:post:3931544282649705472,3931544282649705472,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPprHiDbwA/,
empty_text,ig_message_data.txt,446,Instagram,post,Instagram:post:3931544168866588034,3931544168866588034,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPppdkDSWC/,
empty_text,ig_message_data.txt,449,Instagram,post,Instagram:post:3931544380368564233,3931544380368564233,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpsiijTAJ/,
empty_text,ig_message_data.txt,450,Instagram,post,Instagram:post:3931544249959285385,3931544249959285385,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpqpFjYKJ/,
empty_text,ig_message_data.txt,461,Instagram,post,Instagram:post:3931544129935090633,3931544129935090633,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpo5TjaPJ/,
empty_text,ig_message_data.txt,463,Instagram,post,Instagram:post:3931544339750934346,3931544339750934346,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpr8tjVdK/,
empty_text,ig_message_data.txt,464,Instagram,post,Instagram:post:3931544211682082769,3931544211682082769,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpqFcDb_R/,
empty_text,ig_message_data.txt,471,Instagram,post,Instagram:post:3931544095676004326,3931544095676004326,mid,平台是否应承担更严格的儿童网络安全保护责任？,protect children online,https://www.instagram.com/p/DaPpoZZjXfm/,
empty_text,ig_message_data.txt,601,Instagram,post,Instagram:post:3851576401841365470,3851576401841365470,mid,平台是否应承担更严格的儿童网络安全保护责任？,online child safety,https://www.instagram.com/p/DVzjFS5CCHe/,
empty_text,ig_message_data.txt,604,Instagram,post,Instagram:post:3850285140316525674,3850285140316525674,mid,平台是否应承担更严格的儿童网络安全保护责任？,online child safety,https://www.instagram.com/p/DVu9e94iBRq/,
empty_text,ig_message_data.txt,786,Instagram,post,Instagram:post:3861606065851483269,3861606065851483269,mid,是否应加强警察问责并限制 qualified immunity？,qualified immunity,https://www.instagram.com/p/DWXLkHZkkSF/,
empty_text,ig_message_data.txt,789,Instagram,post,Instagram:post:3859232983417441053,3859232983417441053,mid,是否应加强警察问责并限制 qualified immunity？,qualified immunity,https://www.instagram.com/p/DWOv_OKEUsd/,
empty_text,ig_message_data.txt,1455,Instagram,post,Instagram:post:3860011242362907885,3860011242362907885,mid,是否应提高联邦最低工资？,federal minimum wage,https://www.instagram.com/p/DWRg8YSDizt/,
empty_text,ig_message_data.txt,1702,Instagram,post,Instagram:post:3909529315259747969,3909529315259747969,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBcDLbCI6B/,
empty_text,ig_message_data.txt,1718,Instagram,post,Instagram:post:3909529178173143477,3909529178173143477,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBcBLwCPm1/,
empty_text,ig_message_data.txt,1720,Instagram,post,Instagram:post:3909529385153653061,3909529385153653061,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBcEMhCOlF/,
