topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应进一步压低处方药价格？,79,78,1,0.0127,59,0.7468,59,0.7468,72,0.9114,70,4,4,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,78,76,2,0.0256,58,0.7436,58,0.7436,69,0.8846,65,5,6,0,0
是否应加强警察问责并限制 qualified immunity？,70,70,0,0.0,58,0.8286,58,0.8286,67,0.9571,67,2,1,0,0
AI 语音诈骗是否应强制披露或限制？,91,91,0,0.0,48,0.5275,48,0.5275,70,0.7692,81,1,8,0,1
是否应提供带薪家庭假和育儿假？,79,78,1,0.0127,48,0.6076,48,0.6076,62,0.7848,50,26,0,0,2
美国是否应征收或避免征收碳税？,84,79,5,0.0595,39,0.4643,39,0.4643,66,0.7857,58,21,0,0,0
是否应延续或扩大医保保费补贴？,77,76,1,0.013,36,0.4675,36,0.4675,49,0.6364,55,18,0,0,3
数据经纪商是否应被禁止出售敏感个人数据？,68,67,1,0.0147,34,0.5,34,0.5,51,0.75,51,13,2,0,1
美国是否应对芬太尼采取更严格管制和刑事打击？,42,42,0,0.0,34,0.8095,34,0.8095,35,0.8333,41,1,0,0,0
医疗债务是否不应影响个人信用记录？,77,76,1,0.013,32,0.4156,32,0.4156,53,0.6883,49,27,0,0,0
是否应恢复或强化网络中立性规则？,56,56,0,0.0,32,0.5714,32,0.5714,40,0.7143,46,8,2,0,0
政府是否应保护堕胎服务的可及性？,31,31,0,0.0,30,0.9677,30,0.9677,30,0.9677,31,0,0,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,66,66,0,0.0,27,0.4091,27,0.4091,35,0.5303,42,22,1,0,1
美国是否应加强移民执法和庇护限制？,51,47,4,0.0784,27,0.5294,27,0.5294,43,0.8431,44,2,0,0,1
美国是否应加强边境技术和监控？,66,66,0,0.0,25,0.3788,25,0.3788,42,0.6364,47,12,7,0,0
避孕服务是否应免除自付费用？,32,32,0,0.0,19,0.5938,19,0.5938,24,0.75,29,3,0,0,0
枪支遗失或被盗后是否应强制上报？,37,36,1,0.027,18,0.4865,18,0.4865,23,0.6216,29,6,1,0,0
是否应提高联邦最低工资？,25,25,0,0.0,16,0.64,16,0.64,19,0.76,22,3,0,0,0
跨性别运动员是否应参加女子体育项目？,33,28,5,0.1515,16,0.4848,16,0.4848,28,0.8485,27,1,0,0,0
是否应扩大心理健康服务可及性？,26,26,0,0.0,15,0.5769,15,0.5769,17,0.6538,25,1,0,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,33,32,1,0.0303,14,0.4242,14,0.4242,20,0.6061,21,9,2,0,0
信用卡滞纳金是否应被限制？,15,15,0,0.0,13,0.8667,13,0.8667,15,1.0,15,0,0,0,0
演唱会和体育赛事门票是否应强制显示全价？,26,25,1,0.0385,13,0.5,13,0.5,18,0.6923,21,0,0,0,4
大学生是否应更容易获得 SNAP 食品援助？,22,22,0,0.0,11,0.5,11,0.5,16,0.7273,21,1,0,0,0
平台是否应承担更严格的儿童网络安全保护责任？,53,52,1,0.0189,10,0.1887,10,0.1887,13,0.2453,35,1,0,0,16
是否应延续低收入家庭宽带补贴？,10,10,0,0.0,7,0.7,7,0.7,9,0.9,10,0,0,0,0
气候变化是否应作为公共健康问题治理？,14,14,0,0.0,7,0.5,7,0.5,14,1.0,13,1,0,0,0
高校是否应为高学费和学生债务承担更多责任？,11,9,2,0.1818,7,0.6364,7,0.6364,8,0.7273,7,2,0,0,0
美国是否应扩大可负担住房供给？,11,11,0,0.0,6,0.5455,6,0.5455,7,0.6364,9,2,0,0,0
美国是否应扩大液化天然气 LNG 出口？,46,43,3,0.0652,6,0.1304,6,0.1304,29,0.6304,23,18,1,0,1
小费收入是否应免税？,6,5,1,0.1667,5,0.8333,5,0.8333,5,0.8333,5,0,0,0,0
是否应扩大免费学校餐？,41,39,2,0.0488,5,0.122,5,0.122,13,0.3171,32,7,0,0,0
是否应要求更严格的枪支安全存储？,11,7,4,0.3636,5,0.4545,5,0.4545,7,0.6364,7,0,0,0,0
是否应继续补贴 EV 充电基础设施？,15,14,1,0.0667,3,0.2,3,0.2,5,0.3333,13,1,0,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,39,39,0,0.0,1,0.0256,1,0.0256,2,0.0513,15,1,23,0,0
是否应扩大儿童税收抵免或改成按月发放？,11,11,0,0.0,1,0.0909,1,0.0909,6,0.5455,8,3,0,0,0
