mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Facebook:post:pfbid035d8n7SqQF5jEjYFEVqZTyEfCEq5bWhkBQG86XVRXSgYRxstgBp9bmttVCCqzAbful,Facebook:post:pfbid035d8n7SqQF5jEjYFEVqZTyEfCEq5bWhkBQG86XVRXSgYRxstgBp9bmttVCCqzAbful,pfbid035d8n7SqQF5jEjYFEVqZTyEfCEq5bWhkBQG86XVRXSgYRxstgBp9bmttVCCqzAbful,Facebook,post,fb_message_data.txt,https://www.facebook.com/nathan.delcid.52/posts/pfbid035d8n7SqQF5jEjYFEVqZTyEfCEq5bWhkBQG86XVRXSgYRxstgBp9bmttVCCqzAbful?__cft__[0]=AZZeJv3m-pqiLi2D1EuLsavMVepMoG85kx9ccJEMdkNXlq7VDQmGngQ5_eCuARikJtDmzxKsb36tEOpFKnSHMdYX0LqK1_C62TApPbqkLpW-ijBNQ97-sbGsgOTFoKYF0Dy6Ff4Q6SL8CVzS_5P6Y3luIxYxHxe4IcjuXnCuWe_5YnctGGmhVKixFVago4Cc1Rk&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,credit report,Dispute myth busted: You cannot just dispute anything on your credit report and have it removed._Here's what's actually true:_You CAN dispute:…,2026-06-24T00:16:55+00:00,en,0,0,0,-1,,nathan.delcid.52,Nathan Del Cid,,0,true,true,false,25,false,false,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 796 (char 795)",2026-07-12T02:03:10,8acbbd21b0b3b2b397dd98569f83ffbc54f5768c
Facebook:post:pfbid05SypT3SgmVVBkPQQYomEaxr7dhYMT4AETJuGTza161TGomiLawCMvg2P2dp3sVpxl,Facebook:post:pfbid05SypT3SgmVVBkPQQYomEaxr7dhYMT4AETJuGTza161TGomiLawCMvg2P2dp3sVpxl,pfbid05SypT3SgmVVBkPQQYomEaxr7dhYMT4AETJuGTza161TGomiLawCMvg2P2dp3sVpxl,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid05SypT3SgmVVBkPQQYomEaxr7dhYMT4AETJuGTza161TGomiLawCMvg2P2dp3sVpxl&id=61565342885437,,,美国是否应加强边境技术和监控？,border surveillance || border wall,Border Wall Protection Remains a Priority_Su…,2026-06-23T23:52:07+00:00,en,0,0,412,-1,61565342885437,,纽约州 · 纽约,,0,true,true,false,6,false,true,1,false,weakly_relevant,0.72,"Keyword phrase appears, but explicit policy/topic context is limited.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,"The keyword 'border wall' is present, but the post is truncated and lacks sufficient context to determine if it discusses the topic of whether the U.S. should strengthen border technology and surveillance.",false,neutral_or_factual,none,The post is truncated and does not provide enough information to determine if it expresses a stance on the topic.,low,The post is truncated and lacks sufficient context to determine if it would invite public discussion.,false,false,"The post is truncated and lacks sufficient context to determine if it is relevant to the topic, expresses a stance, or has discussion potential.",0.75,true,../models/Qwen3-32B,chatcmpl-1a3e90a06258405c9c4c956ae4a498cb,440,193,633,,2026-07-08T14:25:26,95b7321b933491ddf0278d2e4f3cdf5a1a6be604
Facebook:post:pfbid02ZtNx3UfcfX2qPUxVNbeLeZNw6Y6X5UMVgkPwKx5LTLpotUR7Qcn5Kpaq3sRF85r6l,Facebook:post:pfbid02ZtNx3UfcfX2qPUxVNbeLeZNw6Y6X5UMVgkPwKx5LTLpotUR7Qcn5Kpaq3sRF85r6l,pfbid02ZtNx3UfcfX2qPUxVNbeLeZNw6Y6X5UMVgkPwKx5LTLpotUR7Qcn5Kpaq3sRF85r6l,Facebook,post,fb_message_data.txt,https://www.facebook.com/VentuRank/posts/pfbid02ZtNx3UfcfX2qPUxVNbeLeZNw6Y6X5UMVgkPwKx5LTLpotUR7Qcn5Kpaq3sRF85r6l?__cft__[0]=AZa9VRjhnNPLewQuLpg8ZAW0aE_P9AjM5s8QrlULif9ezeQ5mhz6tKfL2hU7Ud1_8VKF75AIdT2mnyZFH578zis-NuLnOFoO6BX5d42AdzIe2mB8pCameSUcbeRziwPdCNKI5R9fqtvXy-Z7igmNsP5Ii6V7yccIAfdVHUprNlLbNnVXdCpnORFQ8rWxg4GPMAw&__tn__=%2CO%2CP-R,,,是否应恢复或强化网络中立性规则？,net neutrality,Support Startups for Net Neutrality _ _,2026-06-16T18:55:00+00:00,en,0,0,0,-1,,VentuRank,VentuRank,,0,true,true,false,7,false,false,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 900 (char 899)",2026-07-12T02:11:40,e35d8fd2eb45ab582d7494bf1ccc0f9789ae5a4c
Instagram:post:3902884407928720580,Instagram:post:3902884407928720580,3902884407928720580,Instagram,post,ig_message_data(部分).txt,https://www.instagram.com/p/DYp1LDOAIzE/,,,是否应提供带薪家庭假和育儿假？,FMLA,Glow different✨ #fmla,2026-05-22T20:01:39+00:00,zh,212,21,-1,-1,8512726894,fatmars___,𝑭𝒂𝒕𝒎𝒂 𝑨𝒓𝒔𝒍𝒂𝒏✨,,-1,true,true,false,3,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,insufficient_context,The post is too vague and lacks any substantive discussion of the topic or policy context.,false,neutral_or_factual,none,The post does not express or imply a stance on the topic.,low,The post is too vague and lacks any substantive content to invite public discussion.,false,false,"The post is too vague and lacks any substantive discussion of the topic or policy context, and does not express or imply a stance on the topic.",0.85,true,../models/Qwen3-32B,chatcmpl-5f318e4c4c654adf80356130b7545407,436,164,600,,2026-07-08T14:35:28,998780b7d9a8f430b9ac3c20c150cc25867e16ea
Instagram:post:3912820157932198042,Instagram:post:3912820157932198042,3912820157932198042,Instagram,post,ig_message_data(部分).txt,https://www.instagram.com/p/DZNITPfiVia/,,,演唱会和体育赛事门票是否应强制显示全价？,hidden fees,Hidden Fees & How to Avoid Them: 1. High-Interest Rates: Compare mortgage rates from multiple lenders to get the best deal. 2. Private Mortgage Insurance (PMI): Aim for a 20% down payment to avoid this extra cost. 3. Closing Costs: Negotiate with the seller to cover a portion or shop around for lower fees. 4. Home Inspections: Do not skip inspections to avoid costly surprises later. 5. Homeowners Association (HOA) Fees: Be aware of monthly dues and what they cover. 6. Repairs & Maintenance: Budget for ongoing maintenance and unexpected repairs. 7. Title Insurance: Ensure you get a fair rate; you can shop around for this too. Avoid these common pitfalls and make your home-buying journey smoother. #RealEstateTips #HomeBuying #AvoidableCosts #SavvyBuyers #DreamHome #EducationalPost #HiddenFees #AvoidHighInterest #MortgageRates #PMIAvoidance #DownPaymentTips #NegotiateClosingCosts #HomeInspectionImportance #HOAFeesAwareness #MaintenanceBudgeting #TitleInsuranceShopping #HomeBuyerTips #RealEstateAdvice #SmartInvestment #FinancialPlanning #HouseHunting #BudgetingBasics #AvoidingSurprises #CostEffectiveChoices #PropertyOwnership #HomeownershipJourney,2026-06-05T14:01:55+00:00,en,11,0,-1,-1,46379289643,investeamrealtyproperties,InvesTeam Realty,,-1,true,true,false,143,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,insufficient_context,"The post discusses hidden fees in the context of home buying, not concerts or sports events. The topic is about whether tickets for concerts and sports events should be required to show full prices, but the post is focused on real estate and mortgage-related hidden fees. There is no connection to the topic of ticket pricing for events.",false,neutral_or_factual,none,The post provides factual information about hidden fees in home buying without expressing any opinion or stance on the topic of ticket pricing for concerts and sports events.,low,The post is an educational list of hidden fees in home buying with tips to avoid them. It is unlikely to invite public discussion on the topic of ticket pricing for concerts and sports events as it is not related to the topic.,false,false,"The post is not relevant to the assigned topic of whether concert and sports event tickets should be required to show full prices. It discusses hidden fees in home buying instead, which is unrelated to the topic.",0.95,true,../models/Qwen3-32B,chatcmpl-b9fd15432094473d92e01afcb0136349,711,267,978,,2026-07-08T14:57:48,520e288d986e1da36d271919d0092631bc50fe47
X:post:2067369233894580348,X:post:2067369233894580348,2067369233894580348,X,post,x_message_data.txt,https://x.com/ConstitustionX/status/2067369233894580348,,,避孕服务是否应免除自付费用？,contraception access || reproductive healthcare,"🚨 BREAKING: RFK JR. JUST DROPPED A HEALTHCARE BOMBSHELL! 🚨 $75 a month. 24/7 concierge doctor access. No insurance middlemen. No surprise bills. No endless paperwork. Real old-school medicine is BACK — house calls, direct care, prevention-first. HSA's now cover GYM memberships. https://t.co/wZoy2yi4h0",2026-06-17T22:10:09+00:00,en,15007,274,3503,493262,1595674603510435840,ConstitustionX,CONSTITUTIONAL PATRIOT🇺🇸,"Conservative 🇺🇸 Italian Christian MAGA supporter working abroad, Pro Life ULTRA MAGA",8913,false,true,false,47,true,true,10,true,relevant,0.78,Multiple keyword tokens match and the text contains topic or public-policy context.,rule,rule_v1.3_multi_platform_2026-07-02,insufficient_context,The post mentions healthcare but does not specifically address contraception or reproductive healthcare. It discusses a new healthcare model but does not mention contraceptive services or the issue of whether they should be free of out-of-pocket costs.,false,neutral_or_factual,none,"The post presents information about a new healthcare model without expressing a position for or against it. It is descriptive in nature without showing approval, criticism, or concern about the topic.",low,The post provides a factual summary of a healthcare model without presenting a controversial or debatable point that would likely invite public discussion about contraceptive services being free of out-of-pocket costs.,false,false,The post is not sufficiently relevant to the topic of whether contraceptive services should be free of out-of-pocket costs. It lacks a clear stance on the issue and has low discussion potential related to the specific topic.,0.75,true,../models/Qwen3-32B,chatcmpl-0d7bd2e69c6b47188f7525bf9bcd2418,523,242,765,,2026-07-08T15:11:28,16aca5e0b7e49cfb136ea8ebcfb1f8758e4305f7
X:post:2066204031651873094,X:post:2066204031651873094,2066204031651873094,X,post,x_message_data.txt,https://x.com/DigitalDurham/status/2066204031651873094,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Smishing, vishing, and phishing, do you know fraud? Read more below: https://t.co/ItCBfC177Q https://t.co/9UjF8IqFyy",2026-06-14T17:00:04+00:00,en,0,0,0,16,280538710,DigitalDurham,Digital Durham,"Helping to bring faster, more reliable connectivity to residents and businesses in County Durham.",1966,true,true,false,19,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 793 (char 792)",2026-07-12T02:20:06,59daa605f4f93a16ddd9bd7dfc196b654a0da3ea
X:post:1120580738619977728,X:post:1120580738619977728,1120580738619977728,X,post,x_message_data.txt,https://x.com/mrdanwalker/status/1120580738619977728,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,fertility treatment,"I was tempted but then I realised our next story was about fertility treatment and I had to be sensible. I don't think Sally knew she'd said it and, to her credit, @louiseminchin missed it completely 🤣",2019-04-23T06:50:42+00:00,en,467,19,10,-1,47945492,mrdanwalker,Dan Walker,"That tall fella off the telly, President of #EggClub and the bloke off @ClassicFM & @5_news",739386,true,true,false,38,false,false,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,insufficient_context,"The post mentions 'fertility treatment' but does not provide enough context to determine if it is discussing the topic of whether IVF and other assisted reproductive treatments should receive more public support. The text appears to be a personal anecdote about a TV show or similar, without addressing the policy issue or public debate.",false,neutral_or_factual,none,The post does not express a stance on the topic of whether IVF and other assisted reproductive treatments should receive more public support. It is a personal anecdote without any evaluation or position on the issue.,low,The post is a personal anecdote about a TV show and does not present a topic or position that is likely to invite public discussion or debate on the issue of public support for IVF and other assisted reproductive treatments.,false,false,"The post does not meet the criteria for topic relevance, stance, and discussion potential. It mentions the keyword 'fertility treatment' but does not discuss the policy issue or public debate, nor does it express a stance or invite public discussion.",0.75,true,../models/Qwen3-32B,chatcmpl-179fa02baf53466aaf771d297105a938,480,283,763,,2026-07-08T15:29:54,157326796d666de997de14a9d0cc3fce366043ce
X:post:1859405765821464719,X:post:1859405765821464719,1859405765821464719,X,post,x_message_data.txt,https://x.com/ThiaBallerina/status/1859405765821464719,,,是否应扩大免费学校餐？,school lunch debt,"""Biden seeks to cancel over $4.5 billion in Ukraine's debt."" Biden will cancel Ukraine's debt, but he won't cancel your student loan debt, your medical debt, or even your school lunch debt. And guess what? It's on your dime. Fk this ghoul.",2024-11-21T01:17:35+00:00,en,15089,206,3453,283523,4874513699,ThiaBallerina,Thia is with … 😏✌️💋🔥,"Everyone deserves health care, food, education, and shelter. It's not a pony, it's the bare fkn minimum. #sweetandsalty",53804,true,true,false,47,false,false,2,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,relevant,"The post mentions 'school lunch debt', which is related to the topic of whether free school meals should be expanded. However, the primary focus of the post is on the cancellation of Ukraine's debt and the author's frustration with the fact that other debts, including school lunch debt, are not being canceled.",true,oppose,expanding free school meals,"The post expresses frustration and opposition to the fact that school lunch debt is not being canceled, implying that the author believes that the government should be doing more to address this issue, which could be seen as opposing the current policies regarding free school meals.",medium,"The post raises a point about the disparity in debt cancellation policies, which could invite discussion about the fairness of these policies and whether free school meals should be expanded to address this issue.",true,true,"The post is relevant to the topic, expresses a stance, and has medium discussion potential.",0.75,true,../models/Qwen3-32B,chatcmpl-d1b3482c9df34282b74de30e05b0c062,484,253,737,,2026-07-08T15:43:54,b7cf9247f0a4605ed45a34a84f3462f7a34b1f89
X:post:1985673068929327336,X:post:1985673068929327336,1985673068929327336,X,post,x_message_data.txt,https://x.com/RedWavePress/status/1985673068929327336,,,大学生是否应更容易获得 SNAP 食品援助？,SNAP benefits,"Rep. Jared Moskowitz (D-FL): ""I voted against the CR because the CR wasn't going to take care of people's health insurance. Healthcare was going to go up."" Scott Jennings: ""But you did vote against the SNAP benefits?"" Rep. Jared Moskowitz (D-FL): ""I did not vote against the https://t.co/gpuMefc413",2025-11-04T11:38:46+00:00,en,18251,271,2720,1137328,1689361538522497024,RedWavePress,RedWave Press,"Conservative Based News, Media Clips, Political News, Crime Reporting, 📥 DM W/ News Stories",240014,true,true,true,55,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post discusses a political discussion about voting on SNAP benefits, which is directly related to the topic of whether college students should have easier access to SNAP food aid.",true,unclear,SNAP benefits,"The post mentions a political discussion about voting on SNAP benefits, but it does not clearly indicate a stance in favor or against the topic of whether college students should have easier access to SNAP food aid.",medium,"The post discusses a political discussion about voting on SNAP benefits, which could invite discussion about the topic of whether college students should have easier access to SNAP food aid.",false,true,"The post is relevant to the topic, but it does not clearly express a stance on whether college students should have easier access to SNAP food aid.",0.75,true,../models/Qwen3-32B,chatcmpl-49f24ce88efc40c18da213fba121ac01,513,222,735,,2026-07-08T15:47:21,68eb83cd138b247092c8f71af7c0203dc1b07f76
