mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,lang,relevance_label,relevance_confidence,relevance_reason,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,human_label,human_note
Instagram:post:3309862598303133917,Instagram:post:3309862598303133917,3309862598303133917,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C3u_n8rNbDd/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,మీ గొంతుతో మీ వాళ్లకే బెదిరింపు.. అదే వాయిస్ క్లోనింగ్ స్కామ్! WATCH: https://youtu.be/2p05benzA4w #Money9Telugu #Money9 #VoiceCloningScam,te,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,false,31,,
Instagram:post:3935881965374816993,Instagram:post:3935881965374816993,3935881965374816993,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DafD8tYCELh/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 AI व्हॉईस क्लोनिंग: नकली आवाज, खरा धोका! 🚨 फोनवर तुमच्या जवळच्या व्यक्तीचा आवाज ऐकून लगेच पैसे पाठवू नका. सायबर गुन्हेगार AI तंत्रज्ञानाचा वापर करून तुमच्या नातेवाईकांचा खोटा आवाज तयार करू शकतात. कोणत्याही आर्थिक सायबर फसवणुकीची तक्रार करण्यासाठी त्वरित १९३० वर कॉल करा. सतर्क राहा, सुरक्षित राहा! @noorulhasan.ips @mahacyber @dgpmaharashtra #BhandaraPolice #CyberSecurity #VoiceCloningScam #CyberCrimeAwareness #StaySafe",mr,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,true,117,,
Instagram:post:3733618444336193645,Instagram:post:3733618444336193645,3733618444336193645,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DPQejGNgWBt/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,⚠️ 最新诈骗升级🆙： AI「幽灵电话」来了！你说一句话就被克隆❗😱 最新的诈骗手法又升级：骗子用伪基站冒充亲友号码， 接通后沉默等你一开口 —— AI 只要 5 秒就能提取声纹并合成你的「假声音」， 接着冒充你向家人编紧急剧情骗钱。 如何防范？！ 三字口诀：挂、查、认！ 陌生来电别出声、遇沉默电话马上挂断、回拨或视频确认才信。 🛡️ 分享给爸妈、家人，朋友，少一人上当就是多一份安全！🙏 . . 您可能对以下课题感兴趣： 【2025最完整的税务报表截止日期】 https://landco.my/tax-relief/personal-tax-relief-2025_zh/ . 【电子发票 e-Invoice 全指南！】 https://landco.my/information-sharing-zh/e-invoice_zh/ . 【2025年起雇佣合约要缴印花税！中小企业必懂】 https://landco.my/social-zh/lhdn_stamp_duty_update_zh/ . . 如果您希望获得有关商业，财务，会计，税务，审计等更多的信息，您可以通过以下链接订阅我们： https://landco.my/form-cn/ . 感谢您的阅读！ www.landco.my https://m.facebook.com/LANDCOMALAYSIA/ 我们专为世界各地的商家提供所需的马来西亚税务和商业会计专业知识与服务。 . . #马来西亚会计 ⁠#新山会计 ⁠#吉隆坡会计 #槟城会计 ⁠#lncoaccountants #马来西亚 #AI #scamcalls #aiscamcall,zh,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,true,87,,
Instagram:post:3361348194450552013,Instagram:post:3361348194450552013,3361348194450552013,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6l6F-ooDTN/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"#CyberCrimeAlert விழிப்புடன் இருங்கள்! செயற்கை நுண்ணறிவு குரல் குளோனிங் மோசடிகள் குறித்து தமிழ்நாடு காவல்துறையின் சைபர் கிரைம் பிரிவு எச்சரித்துள்ளது. மோசடி செய்பவர்கள் நமக்கு தெரிந்தவர்களின் குரல்களைப் பிரதிபலிக்க AI பயன்படுத்துகின்றனர், UPI மூலம் விரைவான பணப் பரிமாற்றங்களைத் தூண்டுவதற்காக போலி அவசரநிலைகளை உருவாக்குகின்றனர். நீங்கள் செயல்படும் முன் எப்போதும் சரிபார்க்கவும். இந்த மோசடியில் நீங்கள் ஏமாறவேண்டாம், மற்றவர்களுக்கும் இந்த செய்தியை பகிரவும். @tnpoliceofficial | @tncybercrimeoff #VoiceCloningScam | #StayVigilant | #StayAware | #Ai | #SpreadAwareness | #TANGEDCO | #TNEB @tndipr | @cmotamilnadu",ta,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,true,175,,
Instagram:post:3838041397337622902,Instagram:post:3838041397337622902,3838041397337622902,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DVDdlDpjYl2/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"ماہرین کے مطابق اس سال سب سے بڑا سیکیورٹی خطرہ یہ ہو سکتا ہے کہ ہیکرز آپ کے کسی قریبی شخص کی آواز کی نقل بنا کر آپ سے پیسے مانگیں ماہرین کے مطابق 2026 میں ہیکرز اور دھوکہ بازوں کا سب سے بڑا ہتھیار AI سے وائس کلوننگ ہے۔ وہ صرف چند سیکنڈ کی آواز (سوشل میڈیا ویڈیو، وائس میسج یا کال سے) لے کر آپ کے کسی پیارے کی آواز بالکل اصلی کی طرح کلون کر لیتے ہیں۔ پھر وہ گھبراہٹ، رونے یا چیخنے والی آواز میں کال کر کے کہتے ہیں کہ ""میں پھنس گیا ہوں، فوری پیسے بھیجیں"" – جیسے حادثہ، اغوا، گرفتاری یا بیرون ملک پھنس جانا۔ یہ scams بہت تیزی سے بڑھ رہے ہیں۔ امریکہ میں FBI اور FTC نے الرٹ جاری کیا ہے کہ یہ ""family emergency"" scams اب AI کی وجہ سے انتہائی خطرناک ہو گئے ہیں۔ ایک شخص کی آواز کلون کر کے ہزاروں ڈالرز لوٹ لیے جاتے ہیں۔ ماہرین کہتے ہیں کہ 2026 تک یہ scams کا سب سے عام طریقہ بن جائے گا کیونکہ ٹیکنالوجی سستی اور آسان ہو گئی ہے۔ حفاظت کے لیے: کال آنے پر فوراً یقین نہ کریں، پیارے کو دوسرے نمبر سے کال کر کے چیک کریں، کوئی فوری ٹرانسفر نہ کریں، اور خاندان کو یہ خطرہ بتائیں۔ AI کی طاقت کو دیکھتے ہوئے ہوشیار رہیں! #VoiceCloningScam #AIThreat2026 #CyberSecurity #VoiceDeepfake #FamilyEmergencyScam #Newscuff #Newscuffpk",ur,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,true,227,,
Instagram:post:3804638714216061121,Instagram:post:3804638714216061121,3804638714216061121,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DTMysCzjBjB/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"⚠️ AI અને Deepfake કોલથી સાવધાન રહો પરિવારના નામે ફોન કરીને પૈસા માંગવામાં આવે, તો તરત વિશ્વાસ ન કરો. AI અને ડીપફેક ટેકનોલોજીનો ઉપયોગ કરીને ઠગો ઓળખીતા અવાજ જેવી નકલ કરી ભ્રમ ફેલાવે છે અને છેતરપિંડી કરે છે. 🔐 સાવચેતી રાખો: કોલમાં કહેલી વાત તરત ચકાસો પૈસા ટ્રાન્સફર કરતા પહેલા પરિવાર સાથે પુષ્ટિ કરો શંકાસ્પદ કોલ અથવા મેસેજ તરત રિપોર્ટ કરો Cyber Helpline: 1930 Police Helpline: 112 #DeepfakeAlert#AIFraud#VoiceCloningScam #DeepfakeScam#AIPhishing",gu,unclear,0.55,Substantive non-English text lacks enough matching evidence for the English rule baseline.,false,false,true,126,,
Instagram:post:3934211247770696429,Instagram:post:3934211247770696429,3934211247770696429,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaZIEkWt_rt/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"⚠️ Voice Cloning ""Silent Call"" Scam Alert Scammers can now use just a few seconds of someone's voice to create a fake audio message that sounds real. You may receive a short urgent voice note saying things like: ""I need help…"" ""Send money quickly…"" ""Don't call me, just transfer…"" Because the voice sounds familiar, it can feel believable — but pause before acting. ✅ Call the person back on a trusted number. ✅ Verify with another family member. ✅ Never send money, gift cards, or personal information under pressure. A familiar voice is not always proof. Pause. Verify. Protect yourself and your loved ones. — Cyber Harassment Support (CHS) www.chssupport.org #VoiceCloningScam #CyberHarassmentSupport #OnlineSafety #FraudPrevention #digitaldignity",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,false,113,,
Instagram:post:3634210922413382467,Instagram:post:3634210922413382467,3634210922413382467,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DJvT5Q9S1tD/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 AI Scams Are Growing — And They're Getting More Dangerous Every Day 🚨 With the rapid rise of AI and generative technologies, scammers have found new, terrifying ways to trick us — using tools that can mimic voices, faces, and even emotions. These aren't just tech gimmicks; they are deeply personal attacks that can devastate families, businesses, and lives. Here's what's happening — and what you need to watch out for: 1. Deepfake Scams: Imagine getting a call or video from your CEO, urgently asking for money — only to find out it's a fake AI-generated impersonation. Real employees have lost thousands this way. 2. AI Voice Cloning: Scammers clone voices of loved ones, begging for help or money. Imagine the pain when a parent believes their child is in trouble… but it's just a machine. 3. Fake Job Offers: Desperate job seekers are being targeted with fraudulent AI job offers, only to lose money or get malware installed. 4. Romance Scams: AI chatbots build fake emotional bonds to steal money and trust. The heartbreak behind these scams is real. 5. Investment Scams: Fake AI-generated charts and endorsements lure people into losing their savings. … and this list goes on. The worst part? These scams prey on our trust and our emotions. They're designed to exploit urgency, fear, and love — things that connect us as humans. How can we protect ourselves? Always verify unexpected calls or messages. Don't rush when asked for money or personal info. Use multi-factor authentication everywhere. Educate your family, especially seniors and children. When in doubt, contact official sources directly. AI is an incredible tool — but it's a double-edged sword. Let's be vigilant, share this knowledge, and protect each other from the dark side of AI. If you found this helpful, please share to spread awareness. Together, we can outsmart the scammers. #AI #CyberSecurity #Deepfake #VoiceCloning #ScamAlert #TechSafety #AIethics #AIAwareness #StaySafeOnline #CyberScamAlert #DigitalSafety #AIandEthics #DeepfakeAwareness #OnlineFraud #ScamPrevention #AIforGood #CyberSecurityTips #VoiceCloningScam #AIRealityCheck #AIscams #OnlineSecurityMatters #ThinkBeforeYouClick #fak",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,true,337,,
Instagram:post:3357053034989142795,Instagram:post:3357053034989142795,3357053034989142795,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6WpfLqrMML/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Don't Fall Victim to Voice Cloning Scams! Crooks are getting crafty, mimicking loved ones or trusted institutions like your bank to dupe you into sharing personal info or money. Remember: If you suspect a scam, hang up immediately. If you're worried that maybe a family member or friend are acctually in trouble, try calling back or texting their known number. You can also ask them a personal question the answer to which only they, and not a scammer, would know. Stay vigilant, stay safe. #VoiceCloningScam #ScamAlert #StaySafe #ReadyWhenStuffHappens #ReadyLiving",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,false,91,,
Instagram:post:3825766911191406564,Instagram:post:3825766911191406564,3825766911191406564,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DUX2rxnAdfk/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 AI Phone Scam Alert 🚨 Criminals are now using AI voice cloning technology to scam victims over phone calls. These fraudsters can copy your voice, fake consent, and set up unauthorised bank payments without you even knowing. 🔴 How the scam works: • Scammers start with fake lifestyle or survey calls • Personal data is collected and analysed • AI is used to clone the victim's voice • Fake phone consent is created for direct debits • Money is silently drained from bank accounts 👵 Older adults and vulnerable people are the primary targets of this AI phone scam. 🛑 Stay safe: • Never share personal details on calls • Verify unknown callers • Check bank statements regularly • Talk to family about scam risks 📢 Awareness is the strongest protection against AI phone scams and voice cloning fraud. #AIPhoneScam #VoiceCloningScam #ScamAlert #CyberFraud #PhoneScam #AIFraud #CyberCrime #FraudAwareness #OnlineScams #DigitalSafety #ScamWarning #StayAlert",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,true,138,,
Instagram:post:3594905068308722831,Instagram:post:3594905068308722831,3594905068308722831,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DHjqxztyvSP/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"⚠️ Beware of Voice Cloning Scams! ⚠️ Scammers are now using AI-powered voice cloning to impersonate your loved ones! They can steal a short audio clip from social media or a phone call and use it to create fake distress calls asking for money or sensitive information. 🔴 How to Stay Safe: ✅ Verify the Caller – Hang up and call the person back directly. ✅ Use a Safe Word – Set up a family code word for emergencies. ✅ Be Skeptical – Unexpected urgent requests for money should raise red flags. ✅ Limit Your Voice Data – Be mindful of sharing voice recordings online. Stay alert, think before you act, and always double-check! 🛡️ #VoiceCloningScam #AIThreat #StayCyberSafe #FraudAwareness #cybercrimes #cyberawareness #cyberthreats",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,false,112,,
Instagram:post:3633087754792601789,Instagram:post:3633087754792601789,3633087754792601789,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DJrUhBmPAi9/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Voice Cloning Fraud in Bihar: पिता की आवाज में आई कॉल, बेटे ने कर दिए 5 ट्रांजेक्शन – पढ़ें पूरी कहानी #VoiceCloningScam #CyberFraud #DarbhangaNews #BiharNews #AIFraud https://deshajtimes.com/news/bihar/darbhanga/bihar-voice-cloning-fraud-son-sends-money-to-fake-fathers-call/153754/?utm_source=instagram-business&utm_medium=jetpack_social",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,false,59,,
Instagram:post:3361349831462345647,Instagram:post:3361349831462345647,3361349831462345647,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6l6dzOIduv/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"#CyberCrimeAlert Stay vigilant! Tamil Nadu Police's Cyber Crime Wing warns of AI voice cloning scams. Fraudsters use AI to mimic voices of loved ones, creating fake emergencies to urge quick money transfers via UPI. Always verify before you act. Be aware by this scam and share this message with others. @tnpoliceofficial | @tncybercrimeoff #VoiceCloningScam | #StayVigilant #Ai | #StayAware | #SpreadAwareness | #TANGEDCO | #TNEB @tndipr | @cmotamilnadu",en,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",false,true,true,62,,
