mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3072381236591999024,Instagram:post:3072381236591999024,3072381236591999024,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/CqjSnTdpDgw/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Scammers are using voice-cloning technology to swindle people out of their hard-earned money. The US Federal Trade Commission has issued a warning on this emerging voice cloning scam, reminding people that the voice of a friend or relative asking for money may actually be an AI simulacrum wielded by a scammer. Geriatrics in Canada are a particularly vulnerable demographic, with at least eight senior citizens targeted by these voice cloning scams, making away with a total $200,000 CAD in just a three-day window. Protect yourself by reaching out to your supposed relative by using a phone number you know belongs to them and watch out for hard-to-trace means of sending money. #datafunction #VoiceCloningScam #FTC #ProtectYourself #Scammers #AI #EmergingThreat",2023-04-02T23:00:06+00:00,en,3,0,-1,-1,54657788325,datafunction.ca,Data Function Inc.,,-1,true,true,true,124,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly discusses AI voice cloning scams and related policy issues.,true,oppose,voice cloning scams,Post warns against scams and advises protection measures.,high,Raises awareness of a controversial tech issue with clear action steps.,true,true,"Strongly relevant, has stance, and high discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-bd4cd8c14df148338122fb9ba3a8d493,616,136,752,,2026-07-24T07:30:08,66ed6c2f15c13cdcd947239c6f0642ddfa3226a4
Instagram:post:3223255581701779615,Instagram:post:3223255581701779615,3223255581701779615,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/Cy7Td-_oTCf/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน ••••••••••••••••••••••••••••••••••••••••••••••",2023-10-28T03:00:30+00:00,th,0,0,-1,-1,56457541894,thammasala_police,Thammasala Police,,-1,true,true,true,139,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice scam methods and prevention directly related to the topic.,true,neutral_or_factual,AI voice scam,Post presents factual information about scam methods and prevention without taking a position.,medium,Provides information that could lead to discussion on AI voice scam awareness and prevention.,true,true,"Strongly relevant, factual stance on AI voice scam, medium discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-a0881b23b4914adab067b49e6b4a0187,876,150,1026,,2026-07-24T07:30:08,27e389beafb99804fb6d10b79d62c91ef4ec05a1
Instagram:post:3286201797306177066,Instagram:post:3286201797306177066,3286201797306177066,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C2a7x-kr1Yq/,,,AI 语音诈骗是否应强制披露或限制？,AI robocall,"🚨 Breaking News: AI's Unsettling Role in Politics 🚨 In a turn of events that's shaking up the political world, a recent AI Robocall in New Hampshire has sparked major concerns. 🤖📞 An artificial voice, eerily similar to President Biden's, was used in an attempt to mislead voters ahead of the primary elections. But what's the real story behind this AI-generated call? Investigations are underway, and questions about AI ethics, election security, and digital misinformation are at the forefront. 🕵️‍♂️🔍 This incident isn't just about a misleading phone call; it's a wake-up call about the power and potential misuse of AI in our democratic processes. How did this AI Robocall work? What impact could it have on future elections? And most importantly, what measures can be taken to prevent such incidents in the future? We're diving deep into these pressing questions. 🌐👀 Don't miss out on the full story behind this AI Robocall saga in New Hampshire. Explore the intricate details, expert insights, and the implications for our democracy. The link to the complete article is in our bio! 🔗📖 #AIRobocall #NewHampshireElection #ElectionIntegrity #PoliticalAI #DigitalMisinformation #ElectionSecurity #TechEthics #Deepfake #DemocracyUnderThreat",2024-01-22T23:23:23+00:00,en,6,1,-1,-1,62607406714,nform_ai,NformAI,,-1,true,true,true,193,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI robocall in political context with election security implications,true,neutral_or_factual,AI robocall regulation,Presents facts and questions about AI robocall impact and regulation needs,high,Raises multiple questions about AI robocall technology and election security,true,true,Strongly relevant to AI robocall topic with factual stance and high discussion potential,0.95,false,../../../models/Qwen3-32B,chatcmpl-48175ba285d54afab09b5ad8c20c4f27,733,151,884,,2026-07-24T07:30:09,9c5a66748d452bebc20701d25a77ffcd5ee11590
Instagram:post:3493289781691588559,Instagram:post:3493289781691588559,3493289781691588559,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DB6qIxXOp_P/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Echoes of Deception The rain drummed against Harriette's apartment windows as she stared at her phone, her hands trembling. What she heard on her voicemail was unmistakably her voice, yet she'd never made that call begging her grandmother for emergency money. Three other friends had just texted, asking about similar suspicious calls they'd received. Her throat tightened as she realized what had happened. Those podcast interviews she'd done for her small business – someone had used them to clone her voice. The AI-generated calls had already convinced her cousin to send $2,000 to a scammer! Harriette's fingers flew across her keyboard as she documented everything. She recorded new voicemails for her contacts, explaining the situation: ""If you get a call from me asking for money, it's not real. It's an AI clone."" Her voice cracked, but she kept recording. She contacted the police, her bank, and the FBI's Internet Crime Complaint Center. Then she did something unexpected – she went public. On her business's social media, she shared her story, explaining how voice cloning worked and warning others. Her post went viral within her community. Local news picked up the story. Instead of hiding in shame, Harriette turned her ordeal into a crusade. She organized workshops with senior centers about AI scam awareness. Her grandmother proudly attended each one. Two months later, on another rainy Sunday, Harriette smiled as she received a different kind of call – a tech journalist wanting to interview her about her advocacy work. This time, when her voice would be recorded, it would be on her own terms, helping others protect themselves from the very technology that had once been used against her. The rain still fell outside, but it no longer felt threatening. She had transformed her fear into power, her silence into a voice of warning and hope for others. #voicecloningscam #protectyourvoice #awareness #staysafe",2024-11-03T16:50:14+00:00,en,1,0,-1,-1,70094804447,steamedchameleon,Steamed Chameleon,,-1,false,true,true,319,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice cloning scam and its impact on individuals.,true,oppose,AI voice cloning scam,Post describes victim's experience and advocacy against the scam.,high,Post details personal experience with AI scam and advocacy efforts.,true,true,"Strongly relevant, has stance, and high discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-8874ad66543e47a891912472bf93d906,855,137,992,,2026-07-24T07:30:08,af6ef3511a9b3f0f315f00dc41ccd5ad29969cf8
Instagram:post:3565868284547946252,Instagram:post:3565868284547946252,3565868284547946252,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DF8gk_gT9cM/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"💡 Tip Tuesday: Protect Yourself from AI Voice Scams 🎙️🚨 Scammers are now using AI to clone voices and trick people into believing their loved ones are in danger. Here's how to stay safe: 1️⃣ Be Skeptical of Urgent Calls: If someone claims to be a family member in distress and asks for money, pause and verify before acting. 2️⃣ Use a Safe Word: Set up a unique phrase with close family members that only they would know in an emergency. 3️⃣ Verify the Caller: Hang up and call the person back on a known number to confirm their identity. 4️⃣ Limit What You Share Online: Scammers use social media to gather voice clips—adjust your privacy settings and be mindful of what you post. Stay alert and don't let AI scammers fool you! 🕵️‍♂️ #TipTuesday #AIScams #StaySafe #VoiceCloningScam",2025-02-11T20:10:47+00:00,en,0,0,-1,-1,57774555163,atlantis_pi,Atlantis Private Investigations,,-1,false,true,true,138,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and safety measures.,true,neutral_or_factual,AI voice cloning scams,Provides factual information and safety tips without explicit endorsement or criticism.,medium,Offers practical advice that may invite discussion on effectiveness of safety measures.,true,true,"Strongly relevant, factual stance, and medium discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-1e9e6a9585be436c9515d95aa574c318,661,141,802,,2026-07-24T07:30:08,930ca22ccc411608a710ff07e416ec979f1b2226
Instagram:post:3594905068308722831,Instagram:post:3594905068308722831,3594905068308722831,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DHjqxztyvSP/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"⚠️ Beware of Voice Cloning Scams! ⚠️ Scammers are now using AI-powered voice cloning to impersonate your loved ones! They can steal a short audio clip from social media or a phone call and use it to create fake distress calls asking for money or sensitive information. 🔴 How to Stay Safe: ✅ Verify the Caller – Hang up and call the person back directly. ✅ Use a Safe Word – Set up a family code word for emergencies. ✅ Be Skeptical – Unexpected urgent requests for money should raise red flags. ✅ Limit Your Voice Data – Be mindful of sharing voice recordings online. Stay alert, think before you act, and always double-check! 🛡️ #VoiceCloningScam #AIThreat #StayCyberSafe #FraudAwareness #cybercrimes #cyberawareness #cyberthreats",2025-03-23T21:41:40+00:00,en,0,0,-1,-1,67462234732,cyber_security_awarenesses,Cyber security awareness,,-1,false,true,false,112,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and safety measures.,true,neutral_or_factual,AI voice cloning scams,Provides factual information and warnings without explicit endorsement or criticism.,medium,Raises awareness of a public issue with potential for debate on solutions.,true,true,"Strongly relevant, factual stance, and medium discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-ba541062dc054ff99d1f46a98e94dc7f,638,140,778,,2026-07-24T07:30:08,82239b669f0f6cc569dd1bcbe8e47ab8de4f9295
Instagram:post:3600870204177206983,Instagram:post:3600870204177206983,3600870204177206983,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DH43F9aRU7H/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🔊 If it looks like a duck and quacks like a duck… it might be AI. Scammers are now using AI voice cloning to imitate your loved ones, coworkers, or bosses, trying to trick you into sending money or revealing sensitive information. 🚨 Stay one step ahead! ✔️ Verify before you act – Call back on a known number. ✔️ Set a safe word – Agree on a phrase only real contacts would know. ✔️ Think before you send – Urgency is a red flag! 🔐 This AI Fools Week, take control of your security. Protect yourself and those around you! Tag a friend to spread awareness. ⬇️ #AIFools #VoiceCloningScam #CyberSecurity #StaySafeOnline #FraudAwareness",2025-04-01T03:13:20+00:00,en,0,0,-1,-1,68292819386,netwk_pro,Network Pro Strategies,,-1,false,true,true,103,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and related security measures.,true,neutral_or_factual,AI voice cloning scams,Provides factual information and security tips without explicit endorsement or criticism.,medium,"Raises awareness of a security issue and suggests actions, which may invite discussion on effectiveness of measures.",true,true,"Strongly relevant topic, factual stance, and medium discussion potential.",0.85,false,../../../models/Qwen3-32B,chatcmpl-a5a89cdedc8148b287dcb294b0343c96,615,149,764,,2026-07-24T07:30:09,fbe18a902cf676e3a4cd30a491ab8b24213f93e0
Instagram:post:3601253220032572064,Instagram:post:3601253220032572064,3601253220032572064,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DH6OLkuReqg/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,🤖 Happy AIpril Fools! Stay one step ahead of AI voice cloning scams by creating a secret safe word with your friends and family. If you get a call from someone who sounds like someone you know but asks for money or personal info — and they don't know the safe word — it could be an AI scam! Protect yourself. Stay smart. Stay safe. 💡🔒 #AIprilFools #VoiceCloningScam #ScamPrevention #AIAwareness #StaySafeOnline,2025-04-01T15:54:21+00:00,en,2,0,-1,-1,5012559111,fvsbank,FVSBank,,-1,false,true,true,68,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and related prevention methods.,true,neutral_or_factual,AI voice cloning scams,Provides factual advice on scam prevention without overt endorsement or criticism.,medium,Offers practical tips that may invite discussion on effectiveness of safe words against AI scams.,true,true,"Strongly relevant to topic, provides factual stance, and has medium discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-eee6b39da4274a7b94ea8e66346b1dc9,560,150,710,,2026-07-24T07:30:08,1f41b30c1eca3a0aaac0f3d09c1dd5746c96308a
Instagram:post:3634210922413382467,Instagram:post:3634210922413382467,3634210922413382467,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DJvT5Q9S1tD/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 AI Scams Are Growing — And They're Getting More Dangerous Every Day 🚨 With the rapid rise of AI and generative technologies, scammers have found new, terrifying ways to trick us — using tools that can mimic voices, faces, and even emotions. These aren't just tech gimmicks; they are deeply personal attacks that can devastate families, businesses, and lives. Here's what's happening — and what you need to watch out for: 1. Deepfake Scams: Imagine getting a call or video from your CEO, urgently asking for money — only to find out it's a fake AI-generated impersonation. Real employees have lost thousands this way. 2. AI Voice Cloning: Scammers clone voices of loved ones, begging for help or money. Imagine the pain when a parent believes their child is in trouble… but it's just a machine. 3. Fake Job Offers: Desperate job seekers are being targeted with fraudulent AI job offers, only to lose money or get malware installed. 4. Romance Scams: AI chatbots build fake emotional bonds to steal money and trust. The heartbreak behind these scams is real. 5. Investment Scams: Fake AI-generated charts and endorsements lure people into losing their savings. … and this list goes on. The worst part? These scams prey on our trust and our emotions. They're designed to exploit urgency, fear, and love — things that connect us as humans. How can we protect ourselves? Always verify unexpected calls or messages. Don't rush when asked for money or personal info. Use multi-factor authentication everywhere. Educate your family, especially seniors and children. When in doubt, contact official sources directly. AI is an incredible tool — but it's a double-edged sword. Let's be vigilant, share this knowledge, and protect each other from the dark side of AI. If you found this helpful, please share to spread awareness. Together, we can outsmart the scammers. #AI #CyberSecurity #Deepfake #VoiceCloning #ScamAlert #TechSafety #AIethics #AIAwareness #StaySafeOnline #CyberScamAlert #DigitalSafety #AIandEthics #DeepfakeAwareness #OnlineFraud #ScamPrevention #AIforGood #CyberSecurityTips #VoiceCloningScam #AIRealityCheck #AIscams #OnlineSecurityMatters #ThinkBeforeYouClick #fak",2025-05-17T03:15:23+00:00,en,1,0,-1,-1,50308779674,start_your_journy,Lets start our new journey,,-1,false,true,true,337,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice cloning scams and their dangers.,true,neutral_or_factual,AI voice cloning scams,Post presents facts about AI scams without taking a position.,high,Post raises awareness and invites vigilance and sharing.,true,true,"Strongly relevant, factual stance, high discussion potential.",0.95,false,../../../models/Qwen3-32B,chatcmpl-6eb10f1da5db49cd8f1b42e29a866346,956,135,1091,,2026-07-24T07:30:11,76494468fefab1cb971f6710240dcfca4db51136
Instagram:post:3637467226902450648,Instagram:post:3637467226902450648,3637467226902450648,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DJ64Su1pVHY/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Voice Cloning Scam: અચાનક આવેલો ફોન ઉપાડશો તો બની જશો ભિખારી, જાણો કેવી રીતે | Daily Dose #VoiceCloningScam #CyberFraud #OnlineSafety #ScamPrevention #CyberSecurity #AIscam #GujaratiTips #DailyDose #linkinbio",2025-05-21T15:05:05+00:00,en,215,2,-1,-1,8296872460,vtv_gujarati_news,Sambhaav Nascent LLP,,-1,true,true,false,34,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scam topic with specific context.,true,neutral_or_factual,AI voice cloning scam,Describes scam scenario without explicit endorsement or criticism.,medium,Raises awareness about scam method which could invite safety discussions.,true,true,Strongly relevant topic with implied stance and medium discussion potential.,0.85,false,../../../models/Qwen3-32B,chatcmpl-4550af2a6b274ca79a809a2d31e01a04,585,139,724,,2026-07-24T07:30:11,8583b8f73f0fda6d344e501aaf3bbaefb84039bb
