mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3934169822699259282,Instagram:post:3934169822699259282,3934169822699259282,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaY-pwQDQWS/,,,AI 语音诈骗是否应强制披露或限制？,vishing,"🚨 **सोशल इंजीनियरिंग (Social Engineering) से सावधान!** 🚨 साइबर अपराधी तकनीक से पहले **आपके विश्वास पर हमला करते हैं।** वे खुद को बैंक अधिकारी, पुलिस, सरकारी कर्मचारी, कंपनी सपोर्ट या आपके परिचित के रूप में प्रस्तुत करके आपकी निजी जानकारी, OTP, पासवर्ड या पैसे हासिल करने की कोशिश करते हैं। ✅ सुरक्षित रहने के लिए: • किसी भी कॉल, ईमेल, SMS या WhatsApp संदेश पर तुरंत भरोसा न करें। • OTP, PIN, CVV, पासवर्ड या बैंकिंग जानकारी किसी के साथ साझा न करें। • किसी भी लिंक पर क्लिक करने से पहले उसकी सत्यता जांचें। • पहचान की पुष्टि किए बिना कोई भुगतान या जानकारी साझा न करें। • संदिग्ध गतिविधि होने पर तुरंत **1930** पर शिकायत करें और साइबर क्राइम पोर्टल पर रिपोर्ट करें। **याद रखें:** **साइबर हमले की सबसे कमजोर कड़ी तकनीक नहीं, बल्कि इंसान हो सकता है।** **सतर्क रहें, सुरक्षित रहें।** **Tech Guardians** के साथ जुड़ें और रोज़ाना साइबर सुरक्षा से जुड़ी महत्वपूर्ण जानकारी प्राप्त करें। #SocialEngineering #CyberCrime #CyberSecurity #CyberAwareness #ScamAlert #Phishing #Vishing #Smishing #OnlineFraud #DigitalSafety #StaySafeOnline #CyberSecurityIndia #CyberJagrukta #TechGuardians #CyberFouji #CyberEducation #साइबर_सुरक्षा #सोशल_इंजीनियरिंग #साइबर_जागरूकता #फिशिंग #ऑनलाइन_ठगी #डिजिटल_सुरक्षा #सतर्क_रहें #सुरक्षित_रहें #TechGuardiansIndia",2026-07-05T00:00:12+00:00,hi,3,1,-1,-1,70346939489,_tech_guardians,TECH GUARDIANS,,-1,true,true,false,322,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 543 (char 542)",2026-07-24T07:30:37,f069e1afb66b5e91050ea526be12c9b4b9986683
Instagram:post:3938463144888363479,Instagram:post:3938463144888363479,3938463144888363479,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaoO10ICenX/,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Cybersecurity Alert: Voice Phishing (Vishing) Is Evolving Cybercriminals are now calling Microsoft 365 users while pretending to be IT support. Their goal is to convince employees to enroll an attacker-controlled passkey, giving them unauthorized access to company accounts without stealing a password. This emerging technique is known as vishing (voice phishing). Protect your organization by: - Never approving unexpected security requests - Verifying IT requests through trusted internal channels - Providing ongoing security awareness training for employees - Monitoring Microsoft 365 identity and authentication activity Cybersecurity is no longer just about protecting passwords. It is about protecting identities. If your business would like help strengthening Microsoft 365 security or improving employee cybersecurity awareness, Memphis Computer Support is here to help. 901-496-8949 www.memphiscomputersupport.com #CyberSecurity #Microsoft365 #Vishing #IdentitySecurity #BusinessSecurity #CyberAwareness #MemphisBusiness #ManagedIT #MemphisComputerSupport #womanowned",2026-07-10T22:10:15+00:00,en,1,0,-1,-1,291031248,memphiscomputerhelp,Memphis Computer Support,,-1,true,true,false,133,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 625 (char 624)",2026-07-24T07:30:41,4e773043c28d9d170feae7b06279c31f8a21a4e5
Instagram:post:3931596410810874152,Instagram:post:3931596410810874152,3931596410810874152,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaP1hrqlTko/,,,医疗债务是否不应影响个人信用记录？,medical debt,"🌟 STAFF SPOTLIGHT Meet Ariel Zhao, MA 👏 As a Policy and Research Intern at The Cadence Institute, Ariel is exploring how AI, healthcare, mental health, and public policy can work together to improve lives. 📚 Her latest research, Visibility Without Protection, examines why millions of Americans continue to struggle with medical debt despite greater healthcare price transparency. Because great policy starts with great research. We're proud to have Ariel on our team as we continue building research that informs policy and strengthens communities. 👏 Join us in celebrating Ariel! #StaffSpotlight #CadenceInstitute #PolicyResearch #HealthPolicy #MedicalDebt",2026-07-01T10:47:16+00:00,en,3,0,-1,-1,22106166631,cadenceinstitute4policy,Cadence Institute for Policy,,-1,true,true,false,92,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 583 (char 582)",2026-07-24T07:30:51,96284942f195a72e82eb1a2128ea56c1485cf5a9
Instagram:post:3933475211597392112,Instagram:post:3933475211597392112,3933475211597392112,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaWgt1QESjw/,,,医疗债务是否不应影响个人信用记录？,medical bills,Crowdfunding Campaign Launched For Shaun Glass' Medical Bills And His Son's Future Shaun Glass died on July 1 due to complications from a stroke he experienced at the end of May. A crowdfunding campaign has been launched to cover Glass' medical bills and to support his son's future. Via The PRP riffwiremag.com #shaunglass #crowdfunding #death #medicalbills #heavymetal #metalnews #rocknews #riffwiremag #metal #rock,2026-07-04T01:00:15+00:00,en,0,0,-1,-1,17564774409,riffwiremag,riffwire,,-1,true,true,false,65,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 518 (char 517)",2026-07-24T07:30:52,ad103a9e9c668c479d1bf2c83c95d15907ca462e
Instagram:post:3936011928854783032,Instagram:post:3936011928854783032,3936011928854783032,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/Dafhf7TFuQ4/,,,医疗债务是否不应影响个人信用记录？,medical bills,"Medical bills piling up after an accident? Health insurance, Medicare, Medicaid, and liens can impact your Florida settlement. Don't let hidden costs surprise you—know your rights before you sign. #BlackRockTrialLawyers #blackrocklaw #PersonalInjury #MedicalBills #FloridaLiens #AccidentSettlement . . 📞 Schedule a Legal Consult 📲 Call/Text 24/7: 813-254-1777 🌎 Protect your rights. Read the full article on our blog here: https://personalinjury.blackrocklaw.com/medical-bills-after-an-accident-health-insurance-medicare/medicaid-and-liens-in-florida-settlements CEO | #AttorneyGilSanchez ✍️ Representing People + Businesses throughout #Florida in 📑 Transactional & ⚖️ Litigation cases. . . This content is for informational purposes only and does not constitute legal advice, and laws and legal interpretations may change after the date of publication.",2026-07-07T13:00:16+00:00,en,0,0,-1,-1,7112831582,blackrocklaw,"Black Rock Trial Lawyers, PLLC",,-1,true,true,false,113,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 598 (char 597)",2026-07-24T07:31:02,d97567ef58f00a4bd83c9f6d78a9c7ab14d5ef58
Instagram:post:3927173673883364342,Instagram:post:3927173673883364342,3927173673883364342,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DaAH6Y7FWv2/,,,大学生是否应更容易获得 SNAP 食品援助？,food stamps,"A federal judge on Monday blocked the Trump administration from allowing five states to ban the purchase of sugary drinks and candy with food stamps. The federal government can't block benefits from the nation's largest food aid program from being used to buy candy, soda and other sugary drinks, a judge ruled. Monday's ruling scuttles restrictions now in place or planned for the federally funded and state-run Supplemental Nutrition Assistance Program in 23 states. President Donald Trump's administration has not said whether it will appeal to a higher court. #FoodStamps #SNAPBenefits #FederalJudge #CourtRuling #PublicPolicy",2026-06-25T08:20:05+00:00,en,3,1,-1,-1,4057062104,pluggedsoundz,Plugged Soundz,,-1,true,true,false,99,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 500 (char 499)",2026-07-24T07:31:05,accba5f5f955a212a9e1dcc1dec513a04344dc6e
Instagram:post:3924004187532778703,Instagram:post:3924004187532778703,3924004187532778703,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DZ03QSvCVzP/,,,小费收入是否应免税？,no tax on tips,"No Tax on Tips — but what does that actually mean for servers, stylists, and drivers? Our new guide cuts through the headlines to explain eligibility, limits, the income phase-out, and the New Jersey twist you need to know. Link in Bio #NoTaxOnTips #OBBBA #TaxTips #ServiceWorkers #Servers #SalonPros #GigWorkers #Taxes2026",2026-06-20T23:24:05+00:00,en,0,0,-1,-1,34389328288,taxes_zen_pro,TaxesZenPro,,-1,true,true,false,50,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 541 (char 540)",2026-07-24T07:31:07,abea9e55632382377c30435c04fde260516de709
Instagram:post:3580313155708285914,Instagram:post:3580313155708285914,3580313155708285914,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DGv09iGpnPa/,,,平台是否应强制移除非自愿 AI 伪造私密影像？,deepfake porn,"Melania Trump is set to speak today for the first time since her husband took office, supporting Sen. Ted Cruz's ""Take It Down Act,"" which targets deepfake and revenge porn. The bill was partly inspired by an incident involving an Aledo High School student. Click the link in bio to look at Texas' current deepfake porn law and the proposed legislation.",2025-03-03T18:30:11+00:00,en,4,1,-1,-1,5957123565,versustexas,Varghese Summersett PLLC,,-1,true,true,false,62,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 523 (char 522)",2026-07-24T07:31:09,ac7662b6bc2c2aaddefd1764fdd6ec4ed878b9a6
Instagram:post:3901929468433183528,Instagram:post:3901929468433183528,3901929468433183528,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DYmcC2glrMo/,,,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,"New 'Revenge Porn' Law Helps Pressure Websites, Apps to Take Down Nudes: The Take It Down Act has been in effect since Tuesday, though the process remains difficult to follow. Source: pcmag #RevengePorn #TakeItDownAct #CyberSafety #OnlinePrivacy #DigitalRights",2026-05-21T12:25:17+00:00,en,0,0,-1,-1,2063724883,andromorphosa,Andri Lesmana,,-1,true,true,false,37,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 506 (char 505)",2026-07-24T07:31:13,1ef453db41ad3ef3ee9e3b22484587f777aa0408
Instagram:post:3921212449395230962,Instagram:post:3921212449395230962,3921212449395230962,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DZq8fJ_Csjy/,,,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,"As of May 19, 2026, the Take It Down Act is in effect, providing stronger protections for survivors of image-based abuse. This federal law criminalizes the nonconsensual sharing of intimate images, including AI-generated content and deepfakes, and requires online platforms to remove such images within 48 hours of a request. The National Network to End Domestic Violence has created a Know Your Rights Guide to help individuals understand these protections and how to use them. Learn more and share this resource: 🔗 https://buff.ly/lI5cCHu #TakeItDownAct #SurvivorSupport #OnlineSafety",2026-06-17T02:56:12+00:00,en,8,0,-1,-1,3106977394,star.alaska,STAR Alaska,,-1,true,true,false,90,true,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,,,,,,,,,,false,,,true,../../../models/Qwen3-32B,,,,,"JSONDecodeError: Expecting ',' delimiter: line 1 column 676 (char 675)",2026-07-24T07:31:15,4b33391eea8450e5ed4d6294dd7dfe20d645cbc1
