mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,Facebook,post,fb_message_data.txt,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl?__cft__[0]=AZajE2RTP_L6jpQku9SX9eF96RmG_szckUGDL6gNW7Q9fmf9AGDGtCA60S4TQl7M4zDGuIPTx5GgVgezEkJBWyMKComWuW8bnQgEq4yPqMFT5JdNTlvWW4YUiSdVdkheErLxRnGYJyDzgOfHZ8LrCTkU&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Apparently, CNO, that owns Bankers Life, Washington National and Colonial Penn, had employees, in an employee personal information record keeping position, who fell for a vishing scam. _As a result, historical employee data: i.e., former employees, personal information was compromised. _What this means is, my name, social security number and other personal identification information was handed over to scammers. _This is a HIPAA breach…",2026-06-23T11:39:45+00:00,en,0,0,0,-1,,di.johnsondobbs,Di Johnson-Dobbs,,0,true,true,false,65,false,false,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post discusses a vishing scam that led to a data breach involving personal information, which is directly related to the topic of AI voice fraud and the need for disclosure or regulation.",true,oppose,current security measures,"The post implies criticism of the current security measures by highlighting a breach caused by employees falling for a vishing scam, suggesting that existing protocols are insufficient.",medium,"The post raises concerns about data security and the effectiveness of current measures against vishing scams, which could invite discussion on the need for stronger regulations or disclosure requirements.",true,true,"The post is strongly relevant to the topic, expresses a stance against current security measures, and has medium discussion potential.",0.95,false,../models/Qwen3-32B,chatcmpl-11784a2415eb472aabb45ffc72f27715,517,211,728,,2026-07-09T14:51:06,d97ce14eb390de8dc81111c6b97f65fdbddf4f4f
Facebook:post:pfbid02y8o9XpNwEx63xLzZY7qBKxS68EQkcSaG124961sbXZKzrFuWzGtzisSsUQJaxyHel,Facebook:post:pfbid02y8o9XpNwEx63xLzZY7qBKxS68EQkcSaG124961sbXZKzrFuWzGtzisSsUQJaxyHel,pfbid02y8o9XpNwEx63xLzZY7qBKxS68EQkcSaG124961sbXZKzrFuWzGtzisSsUQJaxyHel,Facebook,post,fb_message_data.txt,https://www.facebook.com/bryan.hall.969/posts/pfbid02y8o9XpNwEx63xLzZY7qBKxS68EQkcSaG124961sbXZKzrFuWzGtzisSsUQJaxyHel?__cft__[0]=AZaRHJYUgipjgTH-2GYXgH5-nU8EXYHCNR3yum2Gg9359TA_owljwgn9b8Kkpo3wHgVifNNaVD2Bj0851WKSRnwJp9rNRRK1Q8BfCxDDiW85qPl342QW_dkZDAFX97dQa0WAmDa81elLW3pZ-LjHBses0IX30-LkLNhAPEs933fbv58HZQ4Rm-DgIdaSLridWfg&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call || voice cloning scam,"PSA: AI Voice-Cloning Scam Awareness This happened to me on Friday jun 19-2026_I received a phone call on Friday around 1:00 p.m. from someone who sounded exactly like my daughter. She was hysterically crying and said she had been in a car accident._After a few moments, a man got on the phone. He claimed my daughter had hit his vehicle near Walmart. The first thing that struck me as odd was that the call was coming from a random pho…",2026-06-22T11:39:08+00:00,en,0,0,0,-1,,bryan.hall.969,Bryan Hall,,0,false,true,true,85,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post directly discusses a personal experience with an AI voice-cloning scam, which is closely related to the topic of whether AI voice scams should be regulated or disclosed.",true,oppose,AI voice-cloning scams,"The post describes a personal experience of being victimized by an AI voice-cloning scam, which implies a negative stance towards such scams and suggests a need for regulation or disclosure.",high,"The post shares a personal story of being scammed, which is likely to invite discussion about the effectiveness of current measures against AI voice-cloning scams and the need for stronger regulations or disclosures.",true,true,"The post is strongly relevant to the topic, expresses a stance against AI voice-cloning scams, and has high discussion potential.",0.95,false,../models/Qwen3-32B,chatcmpl-f0f479600a154ed1a31ba3f19bf76822,548,223,771,,2026-07-09T14:51:07,76bfbe49ee0aeedc5c856f121d28004d0b15c8d1
Facebook:post:pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,Facebook:post:pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,Facebook,post,fb_message_data.txt,https://www.facebook.com/RetirementWire/posts/pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl?__cft__[0]=AZbaRfD40fKj17EOjAES50YtzcyZFH-ciBpo9KXI4ISYodnyHKEnpZa8ZgF6XCGJTCzn4sQ_8Jte98HbSSSxYYK6E2sHPLShVeeRUxLo963E9OmDoEV3XJZrus1O80VdgY6K-HWuLNSv2bNXyKeO2111lTSSNxTXGQKwHP03_fiInxZNz389_-300-Ii31n5mts&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"A grandmother in Arizona got a call from her daughter. The voice was crying and panicked, saying she had been in an accident and needed bail money fast. She wired $50,000 before she learned the truth: her daughter was fine. The voice was fake, cloned by AI from a few seconds of audio pulled off social media._Scammers can now copy a loved one's voice for under $10. The FBI says Americans over 60 lost $352 million to these AI scams las…",2026-06-20T11:38:55+00:00,en,0,-1,-1,-1,,RetirementWire,The Retirement Wire,,0,false,true,true,84,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post discusses a real-world example of AI voice scams, which is directly related to the topic of whether AI voice fraud should be mandatorily disclosed or restricted.",true,neutral_or_factual,AI voice fraud,"The post presents a factual account of an incident involving AI voice fraud and provides statistics from the FBI, but does not express a clear opinion or stance on whether AI voice fraud should be mandatorily disclosed or restricted.",high,"The post presents a factual account of a scam and provides statistics, which can lead to public discussion on the issue of AI voice fraud and potential measures to address it.",true,true,"The post is strongly relevant to the topic, presents factual information, and has high discussion potential.",0.95,false,../models/Qwen3-32B,chatcmpl-29ce39d19bdc488fb685043fc81a051e,541,220,761,,2026-07-09T14:51:07,cef9dc8fc3f2d4835644e089c97811b261972737
Facebook:post:pfbid0RnzgDdiRxobHfecec9GJPvVCBWS1qzdzA4bJ2zk5MvWBNkWK7J4s27V2SXNCve2ol,Facebook:post:pfbid0RnzgDdiRxobHfecec9GJPvVCBWS1qzdzA4bJ2zk5MvWBNkWK7J4s27V2SXNCve2ol,pfbid0RnzgDdiRxobHfecec9GJPvVCBWS1qzdzA4bJ2zk5MvWBNkWK7J4s27V2SXNCve2ol,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid0RnzgDdiRxobHfecec9GJPvVCBWS1qzdzA4bJ2zk5MvWBNkWK7J4s27V2SXNCve2ol&id=61550310441333,,,AI 语音诈骗是否应强制披露或限制？,vishing,STOP CYBER VISHING _D…,2026-06-15T03:40:00+00:00,de,0,0,0,-1,61550310441333,,PNP- 1st Occidental Mindoro Provincial Mobile Force Company,,0,true,true,false,4,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post directly addresses the topic of vishing, which is a form of AI voice fraud.",true,oppose,vishing,The use of 'STOP' indicates a clear opposition to vishing.,high,The call to action to stop vishing is likely to generate public discussion and debate.,true,true,"The post is strongly relevant to the topic, expresses a clear stance against vishing, and has high potential for public discussion.",0.95,false,../models/Qwen3-32B,chatcmpl-2e77ad913b1a4aecbde5336be1750491,437,164,601,,2026-07-09T14:53:48,4d0e028498166d1399243ab442135e844b5b7b87
Facebook:post:pfbid02UivcPmBb5AiGsgLax7Fwkw7D6izdJSHjpqrF5yBABanmcbhT39YWiasuaYmywBiZl,Facebook:post:pfbid02UivcPmBb5AiGsgLax7Fwkw7D6izdJSHjpqrF5yBABanmcbhT39YWiasuaYmywBiZl,pfbid02UivcPmBb5AiGsgLax7Fwkw7D6izdJSHjpqrF5yBABanmcbhT39YWiasuaYmywBiZl,Facebook,post,fb_message_data.txt,https://www.facebook.com/CouncilmanFrankMorano/posts/pfbid02UivcPmBb5AiGsgLax7Fwkw7D6izdJSHjpqrF5yBABanmcbhT39YWiasuaYmywBiZl?__cft__[0]=AZZeh9fFDELC-m-PCRSykg8gaBEaU4RMeVauN7nVHQfhC8mD0G2tppJ9JUhWENpPzUYRS_m6jxfjlQNRv7fYaq1VezBvrUfmuGjaHW48dqxK3nJJXmH9OqeXndpP_WJTZHy0QPY0l5KzuNVpPzaV6qII-iveyLU5doUniqtkHzcHGk3FNswq1M3z6s7AV6PaZ1E&__tn__=%2CO%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,IVF tax credit,"Have you or someone you love struggled with infertility?_Have you taken on debt, drained your savings, worked extra hours, or delayed treatment because IVF was simply too expensive?_On **Monday, June 15 at 10:00 AM**, the New York City Council's Health Committee will hold a hearing at **City Hall** on my resolution urging Albany to create a refundable tax credit to help families recover the cost of IVF treatments not covered by insu…",2026-05-31T11:03:00+00:00,en,0,0,0,-1,,CouncilmanFrankMorano,Councilman Frank Morano,,0,false,true,true,76,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,The post directly addresses the topic of public support for IVF and other assisted reproductive treatments by discussing a specific policy proposal (a refundable tax credit) aimed at making IVF more affordable. The post also highlights the financial burden of IVF and invites public engagement with the issue.,true,support,IVF tax credit,"The post is promoting a resolution that urges the creation of a refundable tax credit for IVF treatments, indicating a clear stance in support of public financial support for IVF.",high,"The post discusses a specific policy proposal related to public support for IVF, which is likely to invite public discussion and debate. It also includes a call to action for the public to engage with the issue by attending a hearing, which can generate further discussion.",true,true,"The post is strongly relevant to the topic, expresses a clear stance in support of public financial support for IVF through a tax credit, and has high discussion potential due to the policy proposal and call to action.",0.95,false,../models/Qwen3-32B,chatcmpl-2b2a78d0bf1645098a59e6e78d9300a9,538,275,813,,2026-07-09T14:53:59,85d4d0512b774c3d09f9c347788f6008a75afefd
Facebook:post:pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,Facebook:post:pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl,Facebook,post,fb_message_data.txt,https://www.facebook.com/CongressmanRaja/posts/pfbid02WaPT5BqpbCnERsQaV4x5hPn7VT9uUtkwkdjjE7irkNdy821D1LrQ322PjterHVPpl?__cft__[0]=AZYoNlCoLtRU74LwUigj24sNFJi2NdKbOBg_h2lU3TZi9XPUMLPRJ9b8aE32J-1kism80Y8YaKu7574zzUkAer8C0aBDnQ1AAINkZ3kJGkbMmiqNlm0Lp5rQceuVCPkZ4BmhKz8aR0N7zyZ-ibEsCEtZJhAG41YuLFGDjxTEv6im48AGSvGCNb877luuIb9oQ7I&__tn__=%2CO%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,IVF access,"The Trump Administration is quietly redefining frozen embryos as ""children"" in a federal grant program, another step toward fetal personhood that could threaten IVF acc…",2026-06-23T11:21:45+00:00,en,0,0,31,-1,,CongressmanRaja,Congressman Raja Krishnamoorthi,,0,false,true,true,25,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post directly mentions IVF and discusses a policy change that could impact access to IVF, which is central to the topic of whether IVF and other assisted reproductive treatments should receive more public support.",true,oppose,redefining frozen embryos as children,"The post presents the redefinition of frozen embryos as children as a negative development, implying opposition to this policy change.",high,"The post raises a policy issue related to IVF access that is likely to invite public debate and discussion, particularly regarding the implications of redefining frozen embryos as children in federal grant programs.",true,true,"The post is strongly relevant to the topic, expresses a clear stance against the policy change, and has high discussion potential.",0.95,false,../models/Qwen3-32B,chatcmpl-a75bc2aa464b46fa9fad02c885809263,471,219,690,,2026-07-09T14:51:19,1f7c69d0fb82972fd6e5663f81114204e1f4c3bf
Facebook:post:pfbid0EkNLgnSU9aLW72r6QDueg8yEcLURMh24MjRtxMRyuoPtgu8X3ZEHCqT55fpZxYNml,Facebook:post:pfbid0EkNLgnSU9aLW72r6QDueg8yEcLURMh24MjRtxMRyuoPtgu8X3ZEHCqT55fpZxYNml,pfbid0EkNLgnSU9aLW72r6QDueg8yEcLURMh24MjRtxMRyuoPtgu8X3ZEHCqT55fpZxYNml,Facebook,post,fb_message_data.txt,https://www.facebook.com/christinaloreynews/posts/pfbid0EkNLgnSU9aLW72r6QDueg8yEcLURMh24MjRtxMRyuoPtgu8X3ZEHCqT55fpZxYNml?__cft__[0]=AZbcpe3imsh51HNnHL8ZI4a1QqaL5lirqHhjxCGz52QbGuLEeE1wcVPk7oJvB3vOqgNc6Fh3Lw2PxWvm_reLKyy2H8GN2XN-lQZiBO_RAeBY_TfIZkP89m69Z6o5wQLCjl0P14eWkDS3NUL78AB35l60kKyNmSeLr9ex7tC2j-QUM4yCNxY8w24n48NvVI_LMEY&__tn__=%2CO%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,IVF access,"In a word of ""Trump Universities"" — be a COSTCO _ Remember when the current president promised ""free IVF"" if he was reelected_ Me too, but where Trump fails, Costco d…",2026-06-23T21:21:33+00:00,en,0,0,25,-1,,christinaloreynews,Christina Lorey,,0,false,true,true,30,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post mentions 'free IVF' and discusses the policy question of whether IVF and other assisted reproductive treatments should receive more public support, as well as the failure of Trump's promise.",true,oppose,Trump's promise of 'free IVF',"The post implies criticism of Trump's failure to deliver on his promise of 'free IVF', indicating a negative stance towards his promise.",medium,"The post raises the issue of public support for IVF and criticizes Trump's failure to deliver on his promise, which could invite discussion and debate on the topic.",true,true,"The post is strongly relevant to the topic, has a clear stance, and has medium discussion potential.",0.85,false,../models/Qwen3-32B,chatcmpl-f5e52c54010b4db69d476839f5bc9f4e,481,213,694,,2026-07-09T14:51:19,61c95af34eb67a01ca897fd11d039a5e63c0f276
Facebook:post:pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,Facebook:post:pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl,Facebook,post,fb_message_data.txt,https://www.facebook.com/AsmDePhillips/posts/pfbid02Du7ZaA9x2FPpvfaeNvHvoB4Ep3syk9a1G4iqWERNvd5D3zVJu8HhpG9kinEP9mcTl?__cft__[0]=AZZ1enJ42JOd4km3iz0990u-ssMbblz2jrfdETkiaXgu6F_MjSMTh5rNbwHGmbbljvO1FiJG5DDhr-VrKKNSY9sT7MDySbLabGlRJoC9L08NpcVtQgbon-Cm08Lj0-OUlBQBIKF08ld2FYFUq1SL1SPpPhy33e1d0AdHpRNlyAxPybXGuVAPqrUQTGMgGFuZoOI&__tn__=%2CO%2CP-R,,,信用卡滞纳金是否应被限制？,junk fees,"If NJ wants to get serious about ending ""Junk Fees"", the State should start by looking at itself. …",2026-06-23T18:03:28+00:00,en,0,0,16,-1,,AsmDePhillips,Assemblyman Christopher DePhillips,,0,true,true,false,18,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post directly addresses the topic of junk fees, which is related to the assigned topic of whether credit card late fees should be limited. The post mentions the state of New Jersey taking action against junk fees, which is a policy issue directly related to the topic.",true,oppose,junk fees,The post implies a stance against junk fees by suggesting that the state should take action to end them. The use of the term 'end' indicates a position against the existence of these fees.,high,"The post raises a policy issue that could invite public discussion and debate. The suggestion that the state should take action against junk fees is a position that could generate disagreement or agreement from others, leading to discussion.",true,true,"The post is strongly relevant to the topic, expresses a clear stance against junk fees, and has high potential for discussion.",0.95,false,../models/Qwen3-32B,chatcmpl-855e71487db146899013a13838cf642d,450,245,695,,2026-07-09T14:51:24,c14f0b686f76c204ae67e989a20e05bad9fff239
Facebook:post:pfbid02YqDofz1pmx8s62wDV6bnuahrXunDjSx4rjmBiH25hSpbaLc59RvoWpWbArfUPnwNl,Facebook:post:pfbid02YqDofz1pmx8s62wDV6bnuahrXunDjSx4rjmBiH25hSpbaLc59RvoWpWbArfUPnwNl,pfbid02YqDofz1pmx8s62wDV6bnuahrXunDjSx4rjmBiH25hSpbaLc59RvoWpWbArfUPnwNl,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid02YqDofz1pmx8s62wDV6bnuahrXunDjSx4rjmBiH25hSpbaLc59RvoWpWbArfUPnwNl&id=61557813711484,,,信用卡滞纳金是否应被限制？,credit card late fees,The Consumer Financial Protection Bureau tried to cap credit card late fees at $8.Down from $30+.The banks' response? They spent millions lobbying to BLOCK it.And they …,2026-06-11T13:08:00+00:00,en,0,-1,-1,-1,61557813711484,,Dominick Boyd,,0,true,true,false,29,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post discusses the policy of capping credit card late fees, which is directly related to the topic of whether late fees should be limited.",true,oppose,banks' lobbying to block the cap on late fees,"The post implies criticism of banks for spending millions to block the proposed cap on late fees, suggesting a negative stance towards their actions.",high,"The post raises a policy issue related to consumer protection and banking practices, which is likely to invite public debate and discussion about the fairness of late fees and the influence of lobbying.",true,true,"The post is strongly relevant to the topic, expresses a stance against the banks' lobbying efforts, and has high potential for public discussion.",0.95,false,../models/Qwen3-32B,chatcmpl-8cff3878aaa44be6a7f89f0ec0f55756,464,217,681,,2026-07-09T14:52:45,65214aaa24b7fe6fe8f5f3ca548c53ef65a58c11
Facebook:post:pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,Facebook:post:pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,Facebook,post,fb_message_data.txt,https://www.facebook.com/mike.patino.630530/posts/pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl?__cft__[0]=AZYoTDXJpHHKAz2SEZXh0bB8RX2zs70830YoUf3M3ymzQp1McCxRNobe7nCagh49fnXx8rOJcjXOPuKQ_sEwVMt-O6tV6HRr-rNCfL-M0B2lklTGts6pnd95ynp0ALP9H3Blipq0Q8P9wGroQPtEgb-sJdY0OeK5cxt3YSdO773cICQgd2YOA6OnTv0fN84YUAFfn88QAdPFw8J0EmlUS1UnmwS_Cr0e2O7eTdWT5k_veA&__tn__=%2CO%2CP-R,,,信用卡滞纳金是否应被限制？,junk fees,"THANK YOU, NABEELA!!!!!!!_This legislative session, we got things done. We banned rental junk fees, passed significant ticketing reform, made strong progress on prescription drug affordability, …",2026-06-24T01:03:49+00:00,en,0,0,0,-1,,mike.patino.630530,Mike Patino,,0,true,true,false,26,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"The post discusses legislative actions related to banning 'junk fees', which is directly related to the topic of whether credit card late fees should be restricted. The context of policy reform is clear.",true,support,banning junk fees,The post uses 'THANK YOU' and 'we got things done' to express approval and support for the legislative actions taken against junk fees.,medium,"The post highlights policy changes that could invite discussion about the effectiveness of such bans, the impact on consumers, and the broader implications for financial regulations.",true,true,"The post is strongly relevant to the topic, expresses a clear stance of support, and has medium potential for discussion regarding the policy changes related to restricting junk fees.",0.95,false,../models/Qwen3-32B,chatcmpl-7e14588f8cad4d7494a806ccef9ec582,469,219,688,,2026-07-09T14:51:25,283b311e1edfa1a4e6a516e4e220351cbc8afd6f
