excel_row,task_key,topic_relevance,stance_expression,stance_direction,stance_change,is_usable,training_grade,annotation_reason,confidence,matched_topic_terms,annotation_status
2,ae8d87ea9315e583ea1a5e2676f2949de102e1247c97b5f04555f593101ce07f,relevant,implicit_stance,mixed_or_unclear,insufficient_evidence,yes,generally_usable,"The thread discusses a data breach involving employee personal information, which is relevant to the topic of AI-generated voice scams. The stance is implicit, as the commenters express concern about the breach and insufficient training. The thread is generally usable due to its relevance and implicit stance.",medium,indirect_relevance:data breach,completed_relaxed_ai_annotation
3,4b116a929839e0204ceeff1db8154dd9f9500198423ad07c37d16d1daac6800d,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic insult with no policy attitude or stance on IVF support.,high,,completed_relaxed_ai_annotation
5,f197f95b2c35bc0943d65559e50b920db347b12ad1b2b85bb810ea724f0e58f8,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on IVF or public support for assisted-reproduction treatments.,high,,completed_relaxed_ai_annotation
6,718c7965a9f76785b0699a16567716772cc9a8d1513838d91c843088633f5cc2,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,core_usable,Strongly relevant to the topic with explicit stance supporting the post's claim about redefining embryos as children.,high,Life begins at conception,completed_relaxed_ai_annotation
7,64bec1444388ce670437d05abd6306b1b6e1e4803ceb637158ecca76dc61fcb2,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text placeholder with no content to evaluate.,high,,completed_relaxed_ai_annotation
8,826fb8c2e254be80bbe719413dcd526641b04bd724a8a2e6ccb150a48b808587,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text placeholder with no content to evaluate.,high,,completed_relaxed_ai_annotation
9,dafce7ffd953cc0711b67310ea06c91dbc40fccfb034207f13b4efc3f8f73cf0,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The thread discusses media bias rather than IVF policy, making it off-topic.",high,,completed_relaxed_ai_annotation
11,4224d74be8e79160549153df8f93937fb13bf4411f9b8f61a2c66570a86d3420,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,Strongly relevant to IVF policy; explicit stance in both comments; usable as core sample with clear policy debate.,high,IVF | embryos | implantation,completed_relaxed_ai_annotation
12,416054d26314e6a3466b29be5bc7d63a472fbacb5558be3e4120d70cd4a11344,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on IVF or public support for assisted-reproduction treatments.,high,,completed_relaxed_ai_annotation
13,6ea7784d97ba00fdab84620327bfbac893052beae9c03c8c453ce7baef66c822,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment mentions Costco and shopping, but does not address IVF or public support for assisted-reproduction treatments.",high,,completed_relaxed_ai_annotation
14,24c36a551ff7538881330301a1245635f55c5f173bbb4b306bd759f2c9f5844d,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on the policy question.,high,,completed_relaxed_ai_annotation
15,71eaf0c2606ce31a45a7ee905aa4f9f8d6b47ad67d27f2a772344b21880edf99,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text placeholder with no content to evaluate for relevance or stance.,high,,completed_relaxed_ai_annotation
16,b367db4d5a05d4139aa8910fb6c04cbb411a093909783606812970c1a99e8acd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The comment is off-topic, containing a personal attack with no policy attitude about IVF or public support.",high,,completed_relaxed_ai_annotation
17,156f797ec2ce942fd8957d38a690fa9e38c697eeb38e535bcdb38fdec43a5f66,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it mentions a personal detail about Trump without addressing the policy question of public support for IVF.,high,,completed_relaxed_ai_annotation
18,25a937343cefa44ad1b4b61a84379d5cd31aeecb0582b153c5df5892dae5c3d3,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a brief thank you with no stance on capping credit-card late fees.,high,,completed_relaxed_ai_annotation
19,9c475f7e9bc23e8ab15d43568c4ed40180829c376d7874a2443a4da1843aa0e3,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant as it discusses the elimination of fees, but it does not directly mention 'credit-card late fees' or 'capped' as per the topic. The stance is implicit in the rhetorical question implying opposition to fee elimination.",medium,indirect_relevance:junk fees,completed_relaxed_ai_annotation
20,53a584dd66b8ca4c610e874417b867ffd69de6124bc35bf69b2aaf552fc558e4,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no policy attitude or stance on credit-card late fees.,high,,completed_relaxed_ai_annotation
21,e47c57263e61ee445a875f811899f08f0bf452cee2a96c61513349f571a464db,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Strongly relevant to junk fees and NJ, explicit stance opposing with profanity, usable as core sample with clear policy attitude.",high,junk fees | NJ,completed_relaxed_ai_annotation
22,4fb95098bd9285eabfc405e5804e4ce4baae48ed4caa021b72d710f1cb3de338,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it contains only a hashtag with no connection to the topic or post claim.,high,,completed_relaxed_ai_annotation
23,3baa9f2a5c827fa228858dc161dae59f08e4403ac376da46cc96b48ea0db65f7,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment discusses pension issues unrelated to credit-card late fees or junk fees in the context of the post.,high,,completed_relaxed_ai_annotation
24,47a0ec59ae55d1c495c3b891df3d43b8806f6a86b9a08a10e0e82cf4f307ffe9,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it contains only a hashtag with no connection to the topic or post claim.,high,,completed_relaxed_ai_annotation
25,664d4a2d07da2c3a744833a529e29db17596191455fcaeff0d517058f8cd83e9,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it contains only a hashtag with no connection to the topic or post claim.,high,,completed_relaxed_ai_annotation
26,017f1c29093312a70c1e902a06de87efb80c4c5d57fff8a710807591f0ce5ce6,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic attack with no policy stance on credit-card late fees.,high,,completed_relaxed_ai_annotation
28,1786fcfbd4583b74726d655bdf6fbf78d8448318cedf5c547fe2f99c10f3a70b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread asks for bill details and provides a link, but no stance on medical debt exclusion from credit records is expressed.",high,,completed_relaxed_ai_annotation
29,b30fd3e0e8e34af7608e076cc5d57ee4257bd7ee49b81617d11a3f61f504b505,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,generally_usable,Short supportive message with no policy reasoning or stance elaboration.,medium,,completed_relaxed_ai_annotation
31,3d26bf761f60ed53ca7e0c7428627f25ce0d0bb292624eb2db6725b629fc5fa7,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a brief expression of gratitude and does not address the topic of medical debt exclusion from credit records.,low,,completed_relaxed_ai_annotation
32,1e0146272bc4fc2f710b55d725be8375544f1dd4cb310bfe6cefac898bc2869e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The thread discusses immigration policy, not medical debt. No stance on the topic is expressed.",high,,completed_relaxed_ai_annotation
33,21294893e58bfeddd8962eb86a340eb2b61c67779fa7d4d3cc01002decbbcf2a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a brief expression of gratitude with no explicit or implicit stance on the topic of medical debt exclusion from credit records.,medium,,completed_relaxed_ai_annotation
34,24c672f1d88adcdfa56edaca62d8fcd2bcffff05a7ca282ace8ee094ae814e1f,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,generally_usable,The comment is relevant but does not mention any direct topic terms from the conversation text.,medium,indirect_relevance:medical debt legislation,completed_relaxed_ai_annotation
35,70220eb9994ffdf3c2f317007b2e5f7fa43bf84bfd5d178f7084cf2e1c92bc8e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a brief expression of approval but does not mention medical debt or the legislation directly. It is relevant due to context but lacks explicit stance or topic terms.,low,,completed_relaxed_ai_annotation
36,f379444b4767f3279e162502e438bbb3feba64359de6660c4d58500f3d89629a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Short and vague comment with no clear stance or policy attitude.,low,,completed_relaxed_ai_annotation
37,eabe17b188ff4446e9fdd93a7f9994556eacad1906fb48006543c09c150e7c52,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The comment asks about a specific legislator's vote, which is relevant to the medical debt topic but does not express a stance. The reply clarifies the legislative context but also does not express a stance.",medium,,completed_relaxed_ai_annotation
38,42c126c992296d1e8a3ab969d610ead2a0b83f9ac69308cf608950b97c254ddd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic with no stance or policy attitude.,high,,completed_relaxed_ai_annotation
39,9c09ee130662e21168427a9bf402b52504d17dd30248899be8e224916f2ccae7,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Thread discusses health care access and insurance but does not mention medical debt or credit records. No stance on the topic.,high,,completed_relaxed_ai_annotation
40,3895b0708d1add344938b843cdb735b3aebf0e8dfd7103dd428fbd74b41eb111,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Non-text comment with no policy attitude or stance.,high,,completed_relaxed_ai_annotation
41,c15078daa2a9e877455cfc27df4689419a54df9e2fb073dcb9c3ff5e5dc6afcf,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment mentions bipartisan cooperation on measures that do good for people, indirectly relevant to medical debt legislation but no direct terms in comment.",medium,,completed_relaxed_ai_annotation
42,a9e9ef7cf7e149027601ac4449184aa80e3e4ab405a2750fb8526628bc7ef182,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,The thread is relevant to the topic but contains no stance. The question about account selection is relevant to the policy but does not express an attitude.,medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
43,044a53333bb02bbad83bebf70d7dc7a4a4190e19f94846308ac9eb3840198eb5,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"Thread discusses tax implications of debt relief, which is indirectly related to medical debt policy. No explicit stance on whether medical debt should be excluded from credit records.",medium,debt relief,completed_relaxed_ai_annotation
44,0244189239d28f060bbdc8c66cb5521790e821324d10be418b12b598e9765cc4,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it discusses a practical step related to medical debt relief, but it does not express a stance on whether medical debt should be excluded from credit records.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
45,f138d0f5aaace3e10641f87c2db4368214d21dd09bba7aea2fb811b628a8ad16,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,Thread is relevant to medical debt but contains no stance on whether it should be excluded from credit records.,medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
46,d6156640e9b6ba22578a69bcaaf58a71c885794c171f6c611e737c0de9cdda60,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Thread discusses taxes and debt relief but does not address medical debt exclusion from credit records. No stance on the topic.,high,,completed_relaxed_ai_annotation
47,0a5bfc56c9ad0e0de58556bfc3fb4cdc75fe27a2a303b434a791bcf7a0c4c5a2,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"Thread discusses healthcare rights and taxation, relevant to medical debt policy, but no stance on debt exclusion from credit records.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
48,267b50568f00a55f76364ac211aede25a90a84b538fc8db5a5d4765c8904682d,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,generally_usable,"Thread discusses whether Lamont canceled medical debt, addressing the topic directly. Rocky supports the program, others question its legitimacy. Rocky's stance is explicit, others are implicit or opposing.",medium,medical debt,completed_relaxed_ai_annotation
49,783e50a0c974f1db1d7b9948ea3c5a8903058c9ca3de5a804bcbffc342de88f4,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Thread discusses medical debt cancellation, eligibility, and personal experiences, showing relevance and implicit stance. Deb Gerhard's personal story implies opposition to the policy's fairness.",medium,medical debt,completed_relaxed_ai_annotation
50,c4fc00ea7d1dff1fc9267bce4d017f94ec3cdfbc97662dc13a584b488dc8b044,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread discusses tax implications and political criticism, not medical debt exclusion from credit records. No stance on the topic.",high,,completed_relaxed_ai_annotation
52,83c085b32bedf9a0d2943e530a5abd1081cb5e1c3bf4ae055d3a6c3d04ff2324,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread discusses healthcare access for undocumented immigrants, which is indirectly related to medical debt policy but does not address debt exclusion from credit records. No stance is expressed on the core topic.",medium,,completed_relaxed_ai_annotation
53,a6185dffbb2eb696d46e3bef21721cbc8ec514b8998db6d6a60bc906b5d8c6ab,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks stance; no policy attitude is expressed.,high,,completed_relaxed_ai_annotation
54,05f280680df3db0b9be8fa13bba2a31315d389d58aede005450b8c3331910a7b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Thread is off-topic as it does not address the policy question of excluding medical debt from credit records.,high,,completed_relaxed_ai_annotation
55,62de515e6a30221d19b31e83b4d4710f6b6acf34b5f2fa18812b8435969378f0,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, discussing property taxes and deductions for seniors, not medical debt and credit records.",high,,completed_relaxed_ai_annotation
56,34f6be917bb18d96c1b0f5d4ad9170d77bb6114475f14e591eaeac980d77bceb,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, discussing electric rates instead of medical debt and credit records.",high,,completed_relaxed_ai_annotation
57,b9d21bf9dcb9b5ccc7233dd1abed38bf60a6e711ff7879dfbc0ca9c2af0752c1,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The thread discusses general support for helping people in need but does not directly address medical debt or credit records. No stance is expressed on the topic.,medium,,completed_relaxed_ai_annotation
58,8cb57a6486d770491bb63e82f6f201940528c294b81f6fe72f6ac9a61fa0c949,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,The comment is relevant to the topic but does not express a stance. It is a brief expression of gratitude with no policy attitude.,medium,indirect_relevance:healthcare,completed_relaxed_ai_annotation
59,c2f050cfc568b36b7e172d97753646bd8a7099e0827083975f6003d9ab29be50,relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,generally_usable,"The thread is relevant to the topic of debt relief but does not mention 'medical debt' directly in the comments. The conversation shifts to student loans, which is a related but distinct issue.",medium,indirect_relevance:debt,completed_relaxed_ai_annotation
60,ac003f62607b7d1d1e5ff1b69f9bca37af3f3d8abf12d9cd354f145054082a43,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread discusses political spending on medical debt relief, not the policy of excluding it from credit records. No stance on the topic.",high,,completed_relaxed_ai_annotation
61,34ffd7f596cfdfb3d6722effca96c933682cbda090746e050f86afc2303b0225,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no policy attitude or connection to medical debt and credit records.,high,,completed_relaxed_ai_annotation
62,f0f5eebec9f723d7bfdaf99cb7d48770a589597a2749cbeb9e62d1495c804247,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, focusing on the governor's tax policies rather than medical debt and credit records.",high,,completed_relaxed_ai_annotation
63,02c122726150f9bc051d672bd3b69ac8b039c3968809263ec19180e9acad9dab,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,core_usable,"Strongly relevant to medical debt cancellation, explicit request for personal relief, and usable as a core sample with clear stance.",high,cancel my medical debt,completed_relaxed_ai_annotation
64,8a10fe2b266748b4ccc61a7e532eff22d14b6a7a6da370f05bd69b87a20d1c56,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the exclusion of medical debt from credit records but instead criticizes tax use.,high,,completed_relaxed_ai_annotation
65,da00809d73a816157cd3f5316f5bec641daac37758316fd1bd8576a43baa9dcc,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on medical debt exclusion from credit records.,high,,completed_relaxed_ai_annotation
66,5547fc7e3dff4f1d4e42d95b6758f17901c94b6b082ff118fe3d9c333968a1d7,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question of excluding medical debt from credit records.,high,,completed_relaxed_ai_annotation
67,fc9df4baa9e097d6a55dbe9440fdead8e1bd4e65d0fc60404be36ab3de679a74,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The thread discusses debt and mentions 'medical debt' in the post, but the conversation does not directly reference 'medical debt' in the comments. The comments focus on debt holders and political views, not medical debt specifically.",medium,,completed_relaxed_ai_annotation
68,dada9463cda967b0b888a65eac38f6143e269dc17a6941f952fc45fdb1d812ff,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on medical debt exclusion from credit records.,high,,completed_relaxed_ai_annotation
69,130ba36500de859a9c1d9edd1bf2e5144d08d2a1488ededc68ad2c26921ba2a2,strongly_relevant,implicit_stance,supports_post_claim,insufficient_evidence,yes,generally_usable,The comment is relevant to the topic but lacks a direct mention of medical debt or credit records. It expresses support for the policy implicitly through enthusiastic approval.,medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
70,87f81f8070063865d9f2495f16d38f3aeee15fddf70f0771200b4ae20f64add9,relevant,implicit_stance,mixed_or_unclear,insufficient_evidence,yes,generally_usable,"Thread discusses income thresholds and medical debt relief, but no direct terms like 'credit records' appear in the comments. Stance is implicit in the discussion of debt forgiveness and income guidelines.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
71,c937d71f4a7a598bc626eb5e60475ddc7d3613f4d1b4c191298598fe4756f771,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it asks about eligibility for medical debt relief, but it contains no explicit or implicit stance on whether medical debt should be excluded from credit records.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
72,bd0a4d1265886f4a1f7dcca1ba00b93af22f1f81a72ea7689d0d9994123e8c6b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The thread is off-topic as it lacks any direct reference to medical debt or credit records. The conversation is a brief, ambiguous exchange with no policy attitude.",low,,completed_relaxed_ai_annotation
73,c6935964136a0af457d9655778f835a7f3f3bc4bfadc7ee90fdc33c8f4e925b0,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it asks about applying for medical debt relief, but it does not express a stance on the topic.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
74,4d7995552f17dd2534a48cec363139526fea1ff5fbc71d148a01c502d789917f,strongly_relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it references the medical debt relief program, but it does not express a clear stance on whether medical debt should be excluded from credit records.",medium,medical debt,completed_relaxed_ai_annotation
75,f4ece6d9f754b896614a928b46ddab57ac2ffb81514c1fda0a5ff2ba3e13e7e8,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread discusses funding source of medical debt cancellation, not whether it should be excluded from credit records. No direct topic terms in comments.",medium,,completed_relaxed_ai_annotation
76,5aaa7adada226b124e577eaeb156ee56c14b9ae84c48e0320f8765b3e112ffc6,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it references 'residents' in the context of the post about medical debt relief, but it does not express a stance on the topic.",medium,residents,completed_relaxed_ai_annotation
