mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version,llm_topic_relevance,llm_relevance_reason,llm_has_stance,llm_stance_label,llm_stance_target,llm_stance_reason,llm_discussion_potential,llm_discussion_reason,llm_final_keep_model,llm_final_keep,llm_final_keep_reason,llm_confidence,llm_needs_human_review,llm_model,llm_response_id,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_error,llm_processed_at,llm_row_key
Instagram:post:3287823217463225857,Instagram:post:3287823217463225857,3287823217463225857,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C2gscvxLW4B/,,,AI 语音诈骗是否应强制披露或限制？,AI robocall,An AI-generated robocall impersonating President Joe Biden raises serious concerns about deepfake technology's potential for misuse in elections. Read more at analyticsdrift.com #joebiden #deepfake #electionsecurity #misinformation #usa #uselection #airobocall #deepfaketechnology #ai #artificialintelligence,2024-01-25T05:04:51+00:00,en,1,0,-1,-1,28365164618,analyticsdrift,Analytics Drift,,-1,false,true,true,35,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,Mentions AI robocall but does not discuss policy implications,false,neutral_or_factual,none,States facts without expressing opinion,low,Factual summary unlikely to invite debate,false,false,Weak relevance and no stance expressed,0.75,false,../../../models/Qwen3-32B,chatcmpl-ceaac4b500c1468e9db3dd77d30dac3b,525,121,646,,2026-07-24T07:30:07,7889f860aa6621751136f52634ee3e66f359aed6
Instagram:post:3399531840548625055,Instagram:post:3399531840548625055,3399531840548625055,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C8tkDKOh9qf/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,वॉयस क्लोनिंग स्कैम (Voice Cloning Scam) से रहें सावधान ! साइबर फ्रोड का शिकार होने पर Helpline 1930 या cybercrime.gov.in पर शिकायत करें। #voicecloningscam #fraud #CyberSecurity #cyberdost #cybersafety @cyberdosti4c @igpjaipur @policerajasthan,2024-06-27T08:09:57+00:00,en,32,0,-1,-1,8428525034,jaipur_rural_police,Jaipur Rural Police,,-1,true,true,false,48,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Mentions voice cloning scam with context of cyber fraud and reporting,false,neutral_or_factual,none,Provides warning and reporting info without expressing opinion,low,Factual warning with limited room for debate,false,false,Relevant but lacks stance and discussion potential,0.75,false,../../../models/Qwen3-32B,chatcmpl-b4b3823b3a594eacaa9f67d453940e7a,582,128,710,,2026-07-24T07:30:08,e2f486cb6b5f6f70c5d6d4f61724903cc809dee5
Instagram:post:3361349831462345647,Instagram:post:3361349831462345647,3361349831462345647,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6l6dzOIduv/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"#CyberCrimeAlert Stay vigilant! Tamil Nadu Police's Cyber Crime Wing warns of AI voice cloning scams. Fraudsters use AI to mimic voices of loved ones, creating fake emergencies to urge quick money transfers via UPI. Always verify before you act. Be aware by this scam and share this message with others. @tnpoliceofficial | @tncybercrimeoff #VoiceCloningScam | #StayVigilant #Ai | #StayAware | #SpreadAwareness | #TANGEDCO | #TNEB @tndipr | @cmotamilnadu",2024-05-05T15:49:07+00:00,en,12,0,-1,-1,54334187321,tangedco_official,TANGEDCO Official,,-1,false,true,true,62,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,Mentions AI voice cloning scam but does not discuss policy implications.,false,neutral_or_factual,none,Provides factual warning without expressing a position.,low,Factual alert with no clear invitation for debate.,false,false,Factual alert without stance or policy discussion.,0.75,false,../../../models/Qwen3-32B,chatcmpl-a1dcf1c7a7a1456693dc3a36387e200d,576,129,705,,2026-07-24T07:30:08,77de7b2db59ad8d48875cda996e76e552d66c6ca
Instagram:post:3153310031291230330,Instagram:post:3153310031291230330,3153310031291230330,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/CvCzsQ5yih6/,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"🚨ตำรวจไซเบอร์เตือนภัย🚨 . 🔊AI Scam Call : ใช้ AI ปลอมเสียง หลอกยืมเงิน . ในปัจจุบันมีเทคโนโลยีที่สามารถเปลี่ยนเสียงตัวเราเป็นเสียงคนอื่น และนำมาใช้ในการติดต่อสื่อสารผ่านการโทร ขอความช่วยเหลือเพื่อหลอกยืมเงิน . ⚠️ กลลวงมิจฉาชีพ 1. มีการใช้เบอร์แปลกโทรมา เลียนเสียงคล้ายคนรู้จัก และอ้างว่าเปิดเบอร์ใหม่ 2. ชักชวนพูดคุยเพื่อสอบถามข้อมูลส่วนตัว 3. จากนั้นพูดเรื่องเงินๆ ทองๆ ก่อนหลอกยืมเงิน . วิธีป้องกัน ✅ พยายามพูดคุยให้เห็นหน้า เช่น วิดีโอคอล ✅ ตรวจสอบเบอร์โทรศัพท์เดิมที่เคยทำการติดต่อ ✅ ตรวจสอบชื่อบัญชีปลายทางให้ตรงกับบุคคลที่ขอยืมเงิน . ❌ไม่เชื่อ ❌ไม่รีบ ❌ไม่โอน . ""ตำรวจไซเบอร์ ให้ความรู้ รู้ทันความคิดมิจฉาชีพ"" . #ตำรวจไซเบอร์ #เตือนภัยออนไลน์ #AIScamCall #ปลอมเสียงยืมเงิน •••••••••••••••••••••••••••••••••••••••••••••• 💌 ด้วยความห่วงใย จากตำรวจไซเบอร์ ☎️ ปรึกษาสอบถามโทร 1441 หรือ 081-866-3000 🌐 แจ้งความออนไลน์ www.thaipoliceonline.com 📱 Line:@police1441 แชทบอทกับหมวดขวัญดาว ตลอด 24 ชั่วโมง",2023-07-23T14:51:10+00:00,th,1,0,-1,-1,21660617159,plaengyao_rtp,RTP CYBER VILLAGE,,-1,true,true,true,165,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post discusses AI voice scams and police warnings about the issue.,false,neutral_or_factual,none,Post is a factual warning from police about AI voice scams.,medium,"Provides information on scam methods and prevention, which may invite discussion.",false,false,Post is relevant but lacks a clear stance.,0.85,false,../../../models/Qwen3-32B,chatcmpl-0088bd987e54434a85f352b82d9a62e9,978,136,1114,,2026-07-24T07:30:08,897641efe55d54966ccb8af97e566ff5217d99d0
Instagram:post:3400201148492551066,Instagram:post:3400201148492551066,3400201148492551066,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C8v8O30xhOa/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,वॉयस क्लोनिंग स्कैम (Voice Cloning Scam) से रहें सावधान ! साइबर फ्रोड का शिकार होने पर Helpline 1930 या http://cybercrime.gov.in पर शिकायत करें। #voicecloningscam #fraud #CyberSecurity #cyberdost #cybersafety #RajsamandPolice @policerajasthan,2024-06-28T06:19:44+00:00,en,68,0,-1,-1,11086948735,rajsamandpolice,Rajsamand Police Rajasthan,,-1,true,true,false,48,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Mentions voice cloning scam with context of cyber fraud and reporting,false,neutral_or_factual,none,Provides warning and reporting info without expressing opinion,medium,Raises awareness about scam and provides resources for reporting,false,false,Relevant but lacks clear stance on policy question,0.75,true,../../../models/Qwen3-32B,chatcmpl-da8d417cf1684669b2f4a8cff123e24e,579,130,709,,2026-07-24T07:30:08,08f42367505d5d29fc86ea199792de9b5003625f
Instagram:post:3303103866990837885,Instagram:post:3303103866990837885,3303103866990837885,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C3W-3doNUB9/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,AI Voice Cloning Scam: Mom called and asked for money? Read this report before sending વધુ વિગતવાર વાંચો👉https://panchat.in #AIVoiceCloning #ScamAlert #VoiceCloningScam #FraudPrevention #OnlineScams #SecurityAlert #ScamAwareness #VoiceCloningFraud #CyberSecurity #ScamPrevention #AIinScams #PhoneScams #FraudAlert #ScamDetection #AIManipulation #FinancialScams #OnlineSafety #VoiceImpersonation #TechScams #ScamAware #ArtificialIntelligenceScam #panchat #news,2024-02-15T07:04:47+00:00,en,2,0,-1,-1,60080183147,panchat.in,Panchat,,-1,true,true,true,47,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and fraud prevention.,false,neutral_or_factual,none,Post is a factual alert without expressed position or evaluation.,medium,Raises awareness of scam issue which may invite public discussion.,false,false,Post is relevant but lacks clear stance.,0.85,false,../../../models/Qwen3-32B,chatcmpl-1bae242d4f464f1a9f9c7631e65506d9,602,132,734,,2026-07-24T07:30:08,6414508a4d60bfb1bfceddf2b517b99648370ddf
Instagram:post:3443889465941250112,Instagram:post:3443889465941250112,3443889465941250112,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C_LJzkHI1BA/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Tip of the Day: With the rise of AI voice cloning technology, you may have heard of scammers imitating a loved one's voice in distress to scam you out of money. They'll say they've been arrested or stranded and need cash immediately. If you are unsure if you're speaking to who you think you are, call the person you believe is being imitated on another line. If that person answers, you know the caller is a scammer. To be safe, you can always use a code word that only you and that person would know when you call each other. ""Everything has its beauty, but not everyone sees it."" - Confucious #urbanladyprepper #AI #AItechnology #voicecloningscam #personalsafety #prepper #prepping #tips #tipsandtricks #urbanprepper #tipoftheday",2024-08-27T13:00:38+00:00,en,2,2,-1,-1,55997662696,urbanladyprepper,Urban Lady Prepper,,-1,false,true,true,125,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,weak_keyword_match,Mentions AI voice cloning scam but does not address the policy question.,false,neutral_or_factual,none,Provides safety tips without expressing a position on policy.,low,Offers practical advice without inviting debate.,false,false,Lacks stance and discussion potential on the policy issue.,0.75,false,../../../models/Qwen3-32B,chatcmpl-d80caf4c58104efc8c45005e4162a4cd,633,131,764,,2026-07-24T07:30:08,aff364552bf0826d038f8cbba00b7762eff823be
Instagram:post:3407746429043158721,Instagram:post:3407746429043158721,3407746429043158721,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C9Kv1J7uS7B/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Beware of AI-Powered Voice Cloning Scams! 🚨 Scammers are getting smarter with AI voice cloning technology! They can mimic the voices of your loved ones to trick you into sending money under false pretenses. Remember to always verify unfamiliar email addresses and phone numbers. If someone you know reaches out from a new account, contact them through usual methods before taking any action. Stay vigilant and protect yourself! 💡 #AIAwareness #VoiceCloningScam #StaySafeOnline #TechAwareness #VerifyBeforeYouTrust #OnlineSafety #DigitalSecurity",2024-07-08T16:10:55+00:00,en,1,0,-1,-1,67173160817,hubflow.ai,HubFlowAI,,-1,false,true,true,75,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly addresses AI voice cloning scams and their implications.,false,neutral_or_factual,AI voice cloning scams,Provides factual information and warnings without expressing a position.,medium,"Raises awareness about a public concern, potentially prompting discussion on safety measures.",false,false,Post is relevant but lacks a clear stance on the policy question.,0.85,false,../../../models/Qwen3-32B,chatcmpl-1b96cfbd06c44a199be544086554138e,572,141,713,,2026-07-24T07:30:08,58826f31d09816889b87d7eedd40b8194ad15a3b
Instagram:post:3357053034989142795,Instagram:post:3357053034989142795,3357053034989142795,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6WpfLqrMML/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Don't Fall Victim to Voice Cloning Scams! Crooks are getting crafty, mimicking loved ones or trusted institutions like your bank to dupe you into sharing personal info or money. Remember: If you suspect a scam, hang up immediately. If you're worried that maybe a family member or friend are acctually in trouble, try calling back or texting their known number. You can also ask them a personal question the answer to which only they, and not a scammer, would know. Stay vigilant, stay safe. #VoiceCloningScam #ScamAlert #StaySafe #ReadyWhenStuffHappens #ReadyLiving",2024-04-29T17:32:09+00:00,en,2,2,-1,-1,48903939013,ready.when.stuff.happens,Ready When Stuff Happens,,-1,false,true,false,91,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,"Post directly addresses voice cloning scams, a core aspect of the topic.",false,neutral_or_factual,none,Provides factual information and warnings without expressing a position.,low,Informs about scams but does not invite debate or public discussion.,false,false,Relevant but lacks stance and discussion potential.,0.95,false,../../../models/Qwen3-32B,chatcmpl-77e407396ddf40f2aad24f965e839883,587,137,724,,2026-07-24T07:30:08,e155085c6b93c88786780a3c2a988c0c0d3c1f4e
Instagram:post:3583469472674911028,Instagram:post:3583469472674911028,3583469472674911028,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DG7Cn_WPpM0/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Beware of AI Voice Cloning Scams! 🎙️⚠️ Scammers are now using AI to clone voices and trick people into transferring money! With just a few seconds of your voice, they can create fake calls that sound exactly like your loved ones. 😨📞 🚨 Real Incidents in India: 🔴 Mumbai: A businessman lost ₹80,000 after hearing his ""son's"" voice begging for bail! 💸 🔴 Delhi: A CEO almost wired money after getting a fake call from his boss! 🚫 🔴 Madhya Pradesh: A mother was scammed ₹50,000 after hearing her ""daughter"" cry for help! 😢 🛑 How to Stay Safe: ✅ Always verify the caller by calling them back on their known number. 📲 ✅ Use secret passcodes with family for emergencies. 🔑 ✅ Be cautious on social media—scammers use your voice from videos! 🎥 ✅ Don't rush to transfer money based on emotional calls! ⏳ ⚠️ If you get a suspicious call, hang up and double-check! Spread the word to protect your friends & family! 💙 #AIScam #VoiceCloningScam #StaySafe #CyberCrime #FraudAlert #Guwahati #Shillong #Itanagar #Kohima #Imphal #Aizawl #Agartala",2025-03-08T03:01:11+00:00,en,1,0,-1,-1,56897928575,bamelocentral,Mohit Jajodia,,-1,false,true,true,163,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02,strongly_relevant,Post directly discusses AI voice cloning scams and real incidents.,false,neutral_or_factual,AI voice cloning scams,Factual summary of scams without evaluative language.,medium,"Provides safety tips and urges sharing, which may invite discussion.",false,false,Factual summary without clear stance on policy question.,0.85,false,../../../models/Qwen3-32B,chatcmpl-e06e9b46d71f451cae5c3b518d8664c4,755,136,891,,2026-07-24T07:30:08,956e02ad901bebac0dabbdb18b42e46d456e7ec3
