mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version
Facebook:post:e0234cabbe96fcb323f9bbadbfba5186,Facebook:post:e0234cabbe96fcb323f9bbadbfba5186,e0234cabbe96fcb323f9bbadbfba5186,Facebook,post,fb_message_data.txt,https://www.facebook.com/profile.php?id=61590581814100&__cft__[0]=AZZHRDdRFHpXMru1eIpf-ZmmgtHOcLD7iQyVLIF2S_0bJLhpjJTY1CJ81xUdYR94E4q5GxJfJPdDqHbIfiBQofwwSFya0j98zrqL-XsJbansYJRSBTTGg1pm-nCxJTjrxD1vNIYbEsJwi-J8THJDWwL6Q46aXHqJmrylIBvrD99xvp9nra5kvygkVRvZlxiBWdUDyf3G7gotfcRvWntPIFLY&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Vishing: Who's Really on the Line? _A professional voice, a familiar caller ID, and a fabricated corporate emergency—that is all it takes for a vishing (voice phishin…",,en,0,0,0,-1,,,,,0,true,true,false,29,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,Facebook:post:pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl,Facebook,post,fb_message_data.txt,https://www.facebook.com/RetirementWire/posts/pfbid033ztMKJroDuCsgrtgECwnmnhqXqZUhxKwrmsQbR1kf9K8HeyEQgTip4v7FnUiPjeLl?__cft__[0]=AZbaRfD40fKj17EOjAES50YtzcyZFH-ciBpo9KXI4ISYodnyHKEnpZa8ZgF6XCGJTCzn4sQ_8Jte98HbSSSxYYK6E2sHPLShVeeRUxLo963E9OmDoEV3XJZrus1O80VdgY6K-HWuLNSv2bNXyKeO2111lTSSNxTXGQKwHP03_fiInxZNz389_-300-Ii31n5mts&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"A grandmother in Arizona got a call from her daughter. The voice was crying and panicked, saying she had been in an accident and needed bail money fast. She wired $50,000 before she learned the truth: her daughter was fine. The voice was fake, cloned by AI from a few seconds of audio pulled off social media._Scammers can now copy a loved one's voice for under $10. The FBI says Americans over 60 lost $352 million to these AI scams las…",2026-06-20T11:38:55+00:00,en,0,-1,-1,-1,,RetirementWire,The Retirement Wire,,0,false,true,true,84,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:0ba8a6a541062b5f74a26d25693f274f,Facebook:post:0ba8a6a541062b5f74a26d25693f274f,0ba8a6a541062b5f74a26d25693f274f,Facebook,post,fb_message_data.txt,https://www.facebook.com/profile.php?id=61589406719083&__cft__[0]=AZZW9uPdReA1hQuQbVpaUx8q-yunc-tRNKZQbZKaUDkB3xLfdmlyFhnunMR73zGZ5oV1L4bv0iRX9voUkRWRFQ5F-Vd79kE9M8Xd-4HCrIKU-jiNDLJ2Y0_oi4MNfv-KeMyYhWAKLfSCfw-3tai4wb0FqA-T-RA0TD6Dbf-8lDbD-DEpv9rn45c3TRr3tRjejRuuolJFL4VcbJazj8xMoIZI&__tn__=%3C%3C%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,IVF tax credit,"IVF, treatments, procedures—you're paying massive bills with after-tax dollars... and most of it isn't deductible._It's a financial hit on top of an emotional one. But …",,en,0,0,0,-1,,,纽约州 · 纽约,,0,false,true,true,31,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0263J9HEydW1o7ReLFJEpubJCbrGLF17ai9UKwvRPd5nUBZgqs4Tah2DrgXS3gsnYl,Facebook:post:pfbid0263J9HEydW1o7ReLFJEpubJCbrGLF17ai9UKwvRPd5nUBZgqs4Tah2DrgXS3gsnYl,pfbid0263J9HEydW1o7ReLFJEpubJCbrGLF17ai9UKwvRPd5nUBZgqs4Tah2DrgXS3gsnYl,Facebook,post,fb_message_data.txt,https://www.facebook.com/ajrmd/posts/pfbid0263J9HEydW1o7ReLFJEpubJCbrGLF17ai9UKwvRPd5nUBZgqs4Tah2DrgXS3gsnYl?__cft__[0]=AZa6G9537B0DljNnNe38QouNzucq3ETjzljYc6hDLYbFCHzHzV8tJEKWiUATFg6rXfXun40U_E3SR-p27yo5GbV8i5W2b7bq0L4NfAb9gGKevUNHagALtpn8NpW1_mkGbndaXo_6fM6IzpJE8jZ-E01w8gkTkmXuU8WoPx7ij0w5lrxc2qNvZGWEXf2h00OkZYA&__tn__=%2CO%2CP-R,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,fertility treatment,Texas IVF provides specialized reproductive care for individuals and couples facing fertility challenges. Male infertility is evaluated through advanced testing to asse…,2026-06-23T23:22:33+00:00,en,0,-1,-1,-1,,ajrmd,Alfred J. Rodriguez MD - Texas IVF and Infertility,,0,false,true,true,22,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0Uur69FZDLpyMoGt2rxbvRqeZVFSFEUGLcy4rnCh7hziSrxh48HC8v7NfxLAPR4jAl,Facebook:post:pfbid0Uur69FZDLpyMoGt2rxbvRqeZVFSFEUGLcy4rnCh7hziSrxh48HC8v7NfxLAPR4jAl,pfbid0Uur69FZDLpyMoGt2rxbvRqeZVFSFEUGLcy4rnCh7hziSrxh48HC8v7NfxLAPR4jAl,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid0Uur69FZDLpyMoGt2rxbvRqeZVFSFEUGLcy4rnCh7hziSrxh48HC8v7NfxLAPR4jAl&id=61571426390667,,,IVF 等辅助生殖治疗是否应获得更多公共支持？,in vitro fertilization,In vitro fertilization (IVF)…,2026-06-23T18:24:31+00:00,it,0,0,12,-1,61571426390667,,medical 3d animation video,,0,true,true,true,4,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,Facebook:post:pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl,Facebook,post,fb_message_data.txt,https://www.facebook.com/mike.patino.630530/posts/pfbid0EVWsBzA23sbrP7VqJKpN3f9iXF6Q32TUGyXj2GqoRcD5tVtJHvnkXeThHddjRauNl?__cft__[0]=AZYoTDXJpHHKAz2SEZXh0bB8RX2zs70830YoUf3M3ymzQp1McCxRNobe7nCagh49fnXx8rOJcjXOPuKQ_sEwVMt-O6tV6HRr-rNCfL-M0B2lklTGts6pnd95ynp0ALP9H3Blipq0Q8P9wGroQPtEgb-sJdY0OeK5cxt3YSdO773cICQgd2YOA6OnTv0fN84YUAFfn88QAdPFw8J0EmlUS1UnmwS_Cr0e2O7eTdWT5k_veA&__tn__=%2CO%2CP-R,,,信用卡滞纳金是否应被限制？,junk fees,"THANK YOU, NABEELA!!!!!!!_This legislative session, we got things done. We banned rental junk fees, passed significant ticketing reform, made strong progress on prescription drug affordability, …",2026-06-24T01:03:49+00:00,en,0,0,0,-1,,mike.patino.630530,Mike Patino,,0,true,true,false,26,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid033nmFpp5pB2toDbuukaxNrKe2mKiigRJo8fByfo3Bjtt4hvwghsYzm64RWeTY4Zcjl,Facebook:post:pfbid033nmFpp5pB2toDbuukaxNrKe2mKiigRJo8fByfo3Bjtt4hvwghsYzm64RWeTY4Zcjl,pfbid033nmFpp5pB2toDbuukaxNrKe2mKiigRJo8fByfo3Bjtt4hvwghsYzm64RWeTY4Zcjl,Facebook,post,fb_message_data.txt,https://www.facebook.com/fox17online/posts/pfbid033nmFpp5pB2toDbuukaxNrKe2mKiigRJo8fByfo3Bjtt4hvwghsYzm64RWeTY4Zcjl?__cft__[0]=AZb53zylZgAkTayldHugxPTus4n_W8MVW_lTLCB_oEYkkv3w-Z3brsWv4vovxRKLR1aFt8FYFfN1YA2mMV1VJRL3Cdg6VQqv-m67RumIdVhdgVyvH_-Zh0VHeMofgehRE100Ogl86rQTzK_70ZD51DPWQgYcoXRAuwvKVVYRRlw3PEGxigRX2LhsswmTEm1bkaQ&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,medical debt,"More than 71,000 Michiganders will have over $74 million in medical debt forgiven, the State of Michigan announced this week. Read the full story through the link in the comments.",2026-06-24T00:15:56+00:00,en,0,0,396,-1,,fox17online,FOX 17,,0,true,true,false,31,false,true,1,false,relevant,0.88,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid0MjYAtgWLQ1KUhy7E8vtnK5SaBCrRSKzk6U29arn9c2hun37sqRSS3E2S5Byf88MNl,Facebook:post:pfbid0MjYAtgWLQ1KUhy7E8vtnK5SaBCrRSKzk6U29arn9c2hun37sqRSS3E2S5Byf88MNl,pfbid0MjYAtgWLQ1KUhy7E8vtnK5SaBCrRSKzk6U29arn9c2hun37sqRSS3E2S5Byf88MNl,Facebook,post,fb_message_data.txt,https://www.facebook.com/AsiaLowell96/posts/pfbid0MjYAtgWLQ1KUhy7E8vtnK5SaBCrRSKzk6U29arn9c2hun37sqRSS3E2S5Byf88MNl?__cft__[0]=AZb-CyMkXV5UQMwcVYWQfzhT-dzHluzKyVw2j3ULEfiO3c280xKLchFUegqLvF5x8tRSo5rmX17a8VozFXetU-az7gGXYoZrq12Q40ted8WajHYJZCrwuQqG5SiTqLhjP4k_YR4hQNo3XFYqrmfCNkZ6usM757P5qodbBW3r8nYZhIA7xxb10AQBSUrG4Da25QY&__tn__=%2CO%2CP-R,,,医疗债务是否不应影响个人信用记录？,credit report,Most people think their credit report is accurate._It's usually not.…,2026-06-24T02:31:42+00:00,en,0,0,0,-1,,AsiaLowell96,Monique Reneé,,0,true,true,false,12,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:858790f5a47ea4e4d3f962c145b44566,Facebook:post:858790f5a47ea4e4d3f962c145b44566,858790f5a47ea4e4d3f962c145b44566,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/106574924804194/UzpfSVNDOjE1NzY3MTc4OTA0Nzk2NjI=/?view_single=false&__cft__[0]=AZZ4IR93KdR51GRLZymYZo3hilJhIQ3AN3ZSV8NehlW_sZThz2BdgQFeJ-XtgE4d8mz2KccNuS6SOcI5f7sH7jbXc1DhL9H2fFfHMtdW7o_Zp6vDgE1Q8P2i8u9cq_oIAZRy2ZXxLwfRPtICqzMjLaJaeXXIAG8x9eD2D-hUL0f1YFvXRYm3wmU51zXxNmwrwNrsUuRqxLD08RSkgoHTHanJ&__tn__=%3C%3C%2CP-R,,,大学生是否应更容易获得 SNAP 食品援助？,food stamps,"A judge just reopened the candy aisle for SNAP recipients in 23 states. Not because soda and candy are healthy — but because of a legal technicality. Meanwhile, taxpaye…",,en,0,0,61,-1,,,Deezil Greezil,,0,false,false,true,28,false,true,1,false,weakly_relevant,0.6,"Topic token and policy context appear, but the retrieval keyword is absent.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02P3f3Eif63Ba8Hz3utGg2aoa2sxxT8qaUUYyc7GwKxcY3vfPuffBgvKzGLeNstaeUl,Facebook:post:pfbid02P3f3Eif63Ba8Hz3utGg2aoa2sxxT8qaUUYyc7GwKxcY3vfPuffBgvKzGLeNstaeUl,pfbid02P3f3Eif63Ba8Hz3utGg2aoa2sxxT8qaUUYyc7GwKxcY3vfPuffBgvKzGLeNstaeUl,Facebook,post,fb_message_data.txt,https://www.facebook.com/News4SA/posts/pfbid02P3f3Eif63Ba8Hz3utGg2aoa2sxxT8qaUUYyc7GwKxcY3vfPuffBgvKzGLeNstaeUl?__cft__[0]=AZYkDNDswvwtbeHa7YaJjBwWtKvPIN4wruYFxb9WBCm71kawrfeZUPhCk1mqtDhVsXtV_RErRHKPSaFvDjjOkgydY8G1XSg5xzZHSez_fq4xaQaDn9OGVNfmNGEVbmv__VrK8EKk9nHTOuaX0RiFHkr4Iaxn8Rt6VeKApAHaaWEH2NvkVo7o-9LDh8GJ0DCyWWI&__tn__=%2CO%2CP-R,,,大学生是否应更容易获得 SNAP 食品援助？,SNAP benefits,A federal judge has blocked new USDA-approved restrictions that would have barred SNAP recipients in five states from using benefits to buy soda and candy.…,2026-06-23T17:55:57+00:00,en,0,0,83,-1,,News4SA,News 4 San Antonio,,0,false,true,true,26,false,true,1,false,relevant,0.78,Multiple keyword tokens match and the text contains topic or public-policy context.,rule,rule_v1.3_multi_platform_2026-07-02
