topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,1250,1248,2,0.0016,744,0.5952,744,0.5952,1154,0.9232,1014,219,2,0,13
是否应提供带薪家庭假和育儿假？,1550,1547,3,0.0019,646,0.4168,646,0.4168,1140,0.7355,1194,339,3,0,11
是否应加强警察问责并限制 qualified immunity？,1110,1108,2,0.0018,574,0.5171,574,0.5171,954,0.8595,912,170,25,0,1
是否应提高联邦最低工资？,973,973,0,0.0,560,0.5755,560,0.5755,878,0.9024,745,227,1,0,0
大学生是否应更容易获得 SNAP 食品援助？,1460,1458,2,0.0014,476,0.326,476,0.326,1024,0.7014,916,364,159,0,19
是否应扩大免费学校餐？,948,948,0,0.0,474,0.5,474,0.5,806,0.8502,706,238,1,0,3
美国是否应加强移民执法和庇护限制？,848,847,1,0.0012,458,0.5401,458,0.5401,790,0.9316,722,123,0,0,2
美国是否应扩大可负担住房供给？,1077,1074,3,0.0028,452,0.4197,452,0.4197,841,0.7809,702,369,0,0,3
是否应恢复或强化网络中立性规则？,901,901,0,0.0,446,0.495,446,0.495,671,0.7447,774,97,16,0,14
医疗债务是否不应影响个人信用记录？,980,980,0,0.0,415,0.4235,416,0.4245,753,0.7684,769,194,15,0,2
小费收入是否应免税？,578,578,0,0.0,390,0.6747,390,0.6747,556,0.9619,513,65,0,0,0
美国是否应征收或避免征收碳税？,872,869,3,0.0034,380,0.4358,380,0.4358,731,0.8383,548,319,2,0,0
是否应延续或扩大医保保费补贴？,842,841,1,0.0012,364,0.4323,365,0.4335,724,0.8599,651,162,25,0,3
美国是否应对芬太尼采取更严格管制和刑事打击？,693,693,0,0.0,342,0.4935,342,0.4935,561,0.8095,574,76,43,0,0
美国是否应扩大液化天然气 LNG 出口？,929,923,6,0.0065,341,0.3671,341,0.3671,684,0.7363,528,381,6,0,8
信用卡滞纳金是否应被限制？,558,556,2,0.0036,320,0.5735,320,0.5735,501,0.8978,474,69,13,0,0
高校是否应为高学费和学生债务承担更多责任？,720,718,2,0.0028,320,0.4444,320,0.4444,582,0.8083,539,174,2,0,3
数据经纪商是否应被禁止出售敏感个人数据？,884,884,0,0.0,314,0.3552,314,0.3552,567,0.6414,635,149,94,0,6
避孕服务是否应免除自付费用？,662,660,2,0.003,300,0.4532,300,0.4532,512,0.7734,447,158,52,0,3
AI 语音诈骗是否应强制披露或限制？,1077,1076,1,0.0009,283,0.2628,284,0.2637,494,0.4587,596,32,448,0,0
美国是否应加强边境技术和监控？,868,867,1,0.0012,277,0.3191,277,0.3191,616,0.7097,633,104,126,0,4
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,1340,1338,2,0.0015,276,0.206,277,0.2067,789,0.5888,918,255,152,0,13
IVF 等辅助生殖治疗是否应获得更多公共支持？,1333,1331,2,0.0015,274,0.2056,277,0.2078,497,0.3728,763,166,401,0,1
政府是否应进一步压低处方药价格？,776,775,1,0.0013,271,0.3492,271,0.3492,665,0.857,573,169,33,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,599,598,1,0.0017,245,0.409,245,0.409,516,0.8614,537,36,24,0,1
政府是否应扩大纳洛酮等阿片过量急救药的获取？,1161,1158,3,0.0026,242,0.2084,242,0.2084,820,0.7063,735,395,27,0,1
跨性别运动员是否应参加女子体育项目？,482,481,1,0.0021,237,0.4917,237,0.4917,394,0.8174,409,30,42,0,0
是否应扩大心理健康服务可及性？,427,425,2,0.0047,206,0.4824,206,0.4824,325,0.7611,354,69,2,0,0
平台是否应承担更严格的儿童网络安全保护责任？,587,587,0,0.0,199,0.339,201,0.3424,322,0.5486,528,32,0,0,27
演唱会和体育赛事门票是否应强制显示全价？,355,352,3,0.0085,186,0.5239,187,0.5268,220,0.6197,259,28,2,0,63
是否应扩大儿童税收抵免或改成按月发放？,502,501,1,0.002,142,0.2829,142,0.2829,296,0.5896,306,195,0,0,0
政府是否应补贴儿童照护费用？,420,420,0,0.0,120,0.2857,122,0.2905,260,0.619,283,92,42,0,3
枪支遗失或被盗后是否应强制上报？,401,401,0,0.0,93,0.2319,95,0.2369,239,0.596,295,73,31,0,2
是否应延续低收入家庭宽带补贴？,459,459,0,0.0,80,0.1743,80,0.1743,241,0.5251,338,96,17,0,8
是否应继续补贴 EV 充电基础设施？,211,211,0,0.0,61,0.2891,61,0.2891,153,0.7251,170,38,1,0,2
气候变化是否应作为公共健康问题治理？,116,116,0,0.0,48,0.4138,48,0.4138,106,0.9138,73,43,0,0,0
是否应要求更严格的枪支安全存储？,70,70,0,0.0,22,0.3143,22,0.3143,60,0.8571,43,26,1,0,0
