mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version
Facebook:post:40160af14001f3eb9f29c236f3a5abb0,Facebook:post:40160af14001f3eb9f29c236f3a5abb0,40160af14001f3eb9f29c236f3a5abb0,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/122098130187334918/UzpfSVNDOjE0MTM3OTk2NTc0NjAyNjA=/?view_single=false&__cft__[0]=AZb1zvXrpuc74F6L2Ls1WegQNRUBlxo16v6ZwqN5KLG_WoCGUyb0Rvy-86QwFnhX7e8KG03w8qSCREaJF9ZJQkf7uJHUtueV8p7aVXWGoG-oVtOWEFBUD4Q5cbbizV1so6ZJkbKKxAPVzWK2kqb529cNa1u8nx1YWWaHDV8mg148ZPuo1PI0vcz7_J7mrdzvLLiUsf3jvCEMpBqc0PbULLZS&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,How the Voice Clone scam actually works #11 _It sounded exactly like her…,,en,0,-1,-1,-1,,,Actuallyshow,,0,false,true,false,13,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:872c9cea5ee255af45ad8f2ecdf77d61,Facebook:post:872c9cea5ee255af45ad8f2ecdf77d61,872c9cea5ee255af45ad8f2ecdf77d61,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/108838784608732/UzpfSVNDOjg4MjY4NTgyNzU5NzAzOA==/?view_single=false&__cft__[0]=AZYmVJksPyEaka3oBLsdhhE7K-3HifBcUZyUUz0484QTcD6pOnWWjV8Rww0RfHrJNbxwCqk3rONS7MmeVJQMVyzQTmBdm5fgQ9h-O5xFnd5Qixf7wa8z8j9clY_LbxGRXTAcNxS0nC15QrHuACu4jJIwfVgUoZpOhrSDcCDzaP5upO50ZsTVXerDeknvqONWvRJCrRtVoqWKhfFFzRSxigPv&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,"AI voice scams are becoming more convincing, and it only takes a few seconds of audio for scammers to try to imitate someone you know.…",,en,0,0,11,-1,,,"McDowell County Sheriff's Office, North Carolina",,0,false,false,true,25,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:9e08ba5a36a26600bbab800ae77965b4,Facebook:post:9e08ba5a36a26600bbab800ae77965b4,9e08ba5a36a26600bbab800ae77965b4,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/111483027673711/UzpfSVNDOjc2MjYzOTY2MzU3NDE4NQ==/?view_single=false&__cft__[0]=AZbDut7cLgW0f9ZeLTWCGrW1s8n_xJHbGu7Xi77koTzOL_mwmWRDMAz-QWbX8T0v3CuotUSmsDnbk5x-vVSCGPGF5Rjyy1ntqNaL2QpDiFwdOHxzxhW05X3Phq7FAJTg7YRde8NHtAPfWUhHPzXjqWacfTTtPgoftUnwZUaThgatKg1fW2tVszGU5qBaF4qE9j3tAzBMW_BjH0WI6x2QCaNv&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Scammers VOICE CLONED His Nephew, Said ""GUNG GUNG I'M IN JAIL"" _…",,en,0,0,0,-1,,,George Magazine,,0,false,true,false,13,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:d9807c5b8bd17d34496369dcba1c6106,Facebook:post:d9807c5b8bd17d34496369dcba1c6106,d9807c5b8bd17d34496369dcba1c6106,Facebook,post,fb_message_data.txt,https://www.facebook.com/stories/122097463863363595/UzpfSVNDOjE2NDA2ODAzMzAzNzMyNjg=/?view_single=false&__cft__[0]=AZbqx6XwT-NqubjqdtpO0iQhYCNjiUb80pEUXXPnQQTbTxsKXlDjJzqL4gCW7cii8BX93AVc8yjQSdSFc0RmlBJKO3F2cA3_H5aEQeRK5WgoMLoLgNJ0CeIBNhm67WBv00o6iz6_TpV9vsIxsmQrhxu8JTWX5vRJAhCTL7QhmQesSTddMDhFJLaXbZihg8KKPmTL-yVdF4KDiikqry-2dnPv&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,Vishing Scam Exposed!!!_ _ _ _ _ _,,en,0,0,0,-1,,,E-lifeguide,,0,true,true,false,9,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:e0234cabbe96fcb323f9bbadbfba5186,Facebook:post:e0234cabbe96fcb323f9bbadbfba5186,e0234cabbe96fcb323f9bbadbfba5186,Facebook,post,fb_message_data.txt,https://www.facebook.com/profile.php?id=61590581814100&__cft__[0]=AZZHRDdRFHpXMru1eIpf-ZmmgtHOcLD7iQyVLIF2S_0bJLhpjJTY1CJ81xUdYR94E4q5GxJfJPdDqHbIfiBQofwwSFya0j98zrqL-XsJbansYJRSBTTGg1pm-nCxJTjrxD1vNIYbEsJwi-J8THJDWwL6Q46aXHqJmrylIBvrD99xvp9nra5kvygkVRvZlxiBWdUDyf3G7gotfcRvWntPIFLY&__tn__=%3C%3C%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Vishing: Who's Really on the Line? _A professional voice, a familiar caller ID, and a fabricated corporate emergency—that is all it takes for a vishing (voice phishin…",,en,0,0,0,-1,,,,,0,true,true,false,29,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid023fmvo4gQBoQLeLSsTeaPWgfBqnpv2gb2nVBa2esttm6Ka63TwxqA3d1yCVJKjSVul,Facebook:post:pfbid023fmvo4gQBoQLeLSsTeaPWgfBqnpv2gb2nVBa2esttm6Ka63TwxqA3d1yCVJKjSVul,pfbid023fmvo4gQBoQLeLSsTeaPWgfBqnpv2gb2nVBa2esttm6Ka63TwxqA3d1yCVJKjSVul,Facebook,post,fb_message_data.txt,https://www.facebook.com/FinancialIndustryRegulatoryAuthority/posts/pfbid023fmvo4gQBoQLeLSsTeaPWgfBqnpv2gb2nVBa2esttm6Ka63TwxqA3d1yCVJKjSVul?__cft__[0]=AZbdxFhzXoDhaJQZAgt3M775a_xKdYN8glDSQAiJjKBKfno6hjLK2ic0kjg8biWDoLIpC6Weex-t6oipvcxOSWjvYWyT86oVBbHxIfqrzsISeXAdK0O4qGOPSGwbKx3ut_AeGdlqpgnNg6duQi9K346pJ6SMA2iimfpp-6LLJDPF9TYT_dDTlSOd_hV3ryjped0&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,"As artificial intelligence (AI) grows in sophistication, so do cyber threats facing investors today. Deepfakes and vishing scams use AI technology to impersonate the vo…",2026-06-23T21:39:36+00:00,en,0,0,0,-1,,FinancialIndustryRegulatoryAuthority,FINRA,,0,true,true,true,25,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02GCTbycgmZQciw73xrWpo3R5h4rvLTjbfH9JcQF2CmvUAJrEXNnYTdX2UKTGUxwn8l,Facebook:post:pfbid02GCTbycgmZQciw73xrWpo3R5h4rvLTjbfH9JcQF2CmvUAJrEXNnYTdX2UKTGUxwn8l,pfbid02GCTbycgmZQciw73xrWpo3R5h4rvLTjbfH9JcQF2CmvUAJrEXNnYTdX2UKTGUxwn8l,Facebook,post,fb_message_data.txt,https://www.facebook.com/eustace.bwalya.5/posts/pfbid02GCTbycgmZQciw73xrWpo3R5h4rvLTjbfH9JcQF2CmvUAJrEXNnYTdX2UKTGUxwn8l?__cft__[0]=AZbYNfDPhoq8p9hCizTgKo6QM7TU9oM5rrcWoAiRaOjPAHQGn4U5Eh5UZ57z7HrMZpDonsLoY0gLdhGMcAux3YTfsxgrL16RZ2l4c-852jV00pRZgBBRzOjcTW4VYnPm2Y0Vr8DdHdj3-e52kTFkpgeo&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"PUBLIC ALERT_ Beware of AI Voice Cloning Scams_Scammers are now using AI voice cloning technology to imitate the voices of family members, friends, colleagues, or public figures. They may call or send voice messages pretending to be someone you know and urgently request money, mobile money transfers, airtime, banking details, or personal information.…",2026-06-23T11:38:02+00:00,en,0,0,32,-1,,eustace.bwalya.5,Eustace Bwalya,,0,false,true,true,53,false,false,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02iBn3SqYAv9P25nN5rs1r5SwJE3D59MCXKA6sHmyZnUw9tfMmz1TS8iEvsDDacpWyl,Facebook:post:pfbid02iBn3SqYAv9P25nN5rs1r5SwJE3D59MCXKA6sHmyZnUw9tfMmz1TS8iEvsDDacpWyl,pfbid02iBn3SqYAv9P25nN5rs1r5SwJE3D59MCXKA6sHmyZnUw9tfMmz1TS8iEvsDDacpWyl,Facebook,post,fb_message_data.txt,https://www.facebook.com/permalink.php?story_fbid=pfbid02iBn3SqYAv9P25nN5rs1r5SwJE3D59MCXKA6sHmyZnUw9tfMmz1TS8iEvsDDacpWyl&id=61550310441333,,,AI 语音诈骗是否应强制披露或限制？,vishing,CYBERSECURITY TIPS / VISHING SCAMS…,2026-06-23T06:39:45+00:00,de,0,0,0,-1,61550310441333,,PNP- 1st Occidental Mindoro Provincial Mobile Force Company,,0,true,true,false,4,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,Facebook:post:pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl,Facebook,post,fb_message_data.txt,https://www.facebook.com/di.johnsondobbs/posts/pfbid02iKCmUcrr3jc33vZYKX9JotPgJYg27Y7dVfgbw1XFz7enaqBU2jQ9pTtCm96F2jpyl?__cft__[0]=AZajE2RTP_L6jpQku9SX9eF96RmG_szckUGDL6gNW7Q9fmf9AGDGtCA60S4TQl7M4zDGuIPTx5GgVgezEkJBWyMKComWuW8bnQgEq4yPqMFT5JdNTlvWW4YUiSdVdkheErLxRnGYJyDzgOfHZ8LrCTkU&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,vishing,"Apparently, CNO, that owns Bankers Life, Washington National and Colonial Penn, had employees, in an employee personal information record keeping position, who fell for a vishing scam. _As a result, historical employee data: i.e., former employees, personal information was compromised. _What this means is, my name, social security number and other personal identification information was handed over to scammers. _This is a HIPAA breach…",2026-06-23T11:39:45+00:00,en,0,0,0,-1,,di.johnsondobbs,Di Johnson-Dobbs,,0,true,true,false,65,false,false,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Facebook:post:pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,Facebook:post:pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml,Facebook,post,fb_message_data.txt,https://www.facebook.com/john.stansbury.923/posts/pfbid02kXR6tYvFx6wxjUHQkGW4eCV6UqP8MVYmGZXdNVXkYd6wdsUCpmMKosY1WRD86dZml?__cft__[0]=AZaK0Bpnx3xGJqXasL8MibDTfm1vECrwdx_9JnaDg2vUrvNIh84zyC5GF3ARwCqzex7z4X5xWtiUBQbCEnxsgAUqZotZ-g37-vCBYismbjot5fLChYoZzBtb7GchnPFTIqMGA_rLuoPGMZs2Z0vGx3cbVNuK8FFk7Y7zqygtTBiVddxWIJ9MZVsaW0MKi2nV1JUEgbytifkWX_n2Q4JsDNGRDSfbfbkrjeqDXH6hYIpp_g&__tn__=%2CO%2CP-R,,,AI 语音诈骗是否应强制披露或限制？,AI scam call,watch and be aware_AI Voice Scam — We Spoke to a Victim Who Got the Call,2026-06-23T16:38:47+00:00,en,0,0,0,-1,,john.stansbury.923,John Stansbury,,0,false,true,false,15,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
